page_number,metric_name,metric_value,unit,confidence,context,pattern_used
5,eps,2,,0.5,quarter 2024 results snapshot Revenues Net Income EPS 2Q24 $20.1 billion 2Q24 $3.2 billion 2Q24 $1.52 2Q2,"(?:earnings\s+per\s+share|eps)[:\s]+[\$£€]?([\d,\.]+)"
6,eps,1.52,,0.7999999999999999,"4% 6,024 (13)% (for diluted EPS purposes) Diluted EPS $1.52 (4)% 14% $3.10 (12)% Efficiency Ratio (Δ in bps) ","(?:earnings\s+per\s+share|eps)[:\s]+[\$£€]?([\d,\.]+)"
6,net_income,"3,217",,0.7,", as higher revenues and lower expenses more than Net Income 3,217 (5)% 10% 6,588 (12)% offset higher cost of credit ","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
6,revenue,"6,646",,0.7,"ated impacts, revenues were up 3%(4) Non-Interest Revenue 6,646 (13)% 20% 14,243 4% Expenses Down (2) Total Revenu","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
6,roe,6.3,,0.7,iency Ratio (Δ in bps) 66% ( 100) ( 350) 67% 1 10 ROE 6.3% 6.5% RoTCE(2) 7.2% 7.4% CET1 Capital Ratio(3) 13.,"(?:return\s+on\s+equity|roe)[:\s]+([\d,\.]+)%?"
11,shareholders_equity,1,,0.7,r Liabilities(10) 5% (10)% Long Term Debt (2)% 2% Equity 1% (0)% Note: Totals may not sum due to rounding. A,"(?:shareholders?\s+|stockholders?\s+)?equity[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
13,net_income,1.5,billion,0.7999999999999999,"rimarily due to an improved macroeconomic outlook Net Income $1.5 billion, up 21% YoY RoTCE(3) of 23.8%; Year-to-date RoTCE","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
13,revenue,"1,455",,0.7,"Preliminary AUC AUA ($T)(7) 24 1% 9% Non-Interest Revenue 1,455 - 11% ( T E C E N $ in M M ) N e t In t e r e s t ","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
14,net_income,1.4,billion,0.7999999999999999,"utlook, was partially offset by net credit losses Net Income $1.4 billion, up 29% YoY RoTCE(3) of 10.7%; Year-to-date RoTCE","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
14,total_assets,"1,064",,0.7,"491 4,779 4,748 3,366 5,357 5,086 (5)% 6% Average Total Assets 1,064 2% 2% Average Loans 119 (1)% 11% Average VaR(4) ($","total\s+assets[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
15,net_income,406,million,0.7999999999999999,"utlook, was partially offset by net credit losses Net Income $406 million RoTCE(4) of 7.5%; Year-to-date RoTCE(4) of 8.6% K","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
15,revenue,"1,100",,0.7,"M) Net Interest Income 527 (9)% (3)% Non-Interest Revenue 1,100 (5)% 73% ( T E C E N $ in M M In v e s t m C o r p","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
16,net_income,210,million,0.7999999999999999,ease reflecting an improved macroeconomic outlook Net Income $210 million RoTCE(3) of 6.4%; Year-to-date RoTCE(3) of 5.9% K,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
16,revenue,767,,0.7,"M) Net Interest Income 1,047 7% (4)% Non-Interest Revenue 767 8% 13% ( T E C E N $ in M M ) P r iv a t e B a n k","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
17,net_income,121,million,0.7999999999999999,0 million reflecting volume growth in the quarter Net Income $121 million RoTCE(3) of 1.9%; Year-to-date RoTCE(3) of 3.7% K,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
18,revenue,427,,0.7,"Net Interest Income 1,553 (8)% (27)% Non-Interest Revenue 427 (38)% 8% ( T E C E N $ in M M L e g a c y C o r p ","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
23,net_income,2,,0.7,ting non-interest revenue with offsets from Other Net Income 2Q23 Net 4Q23 Net Net Income 1Q24 Net Net Income Ca,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
32,revenue,32,,0.5,in YTD: Year-to-date Principles NIR: Non-Interest Revenue 32,"(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
