page_number,metric_name,metric_value,unit,confidence,context,pattern_used
5,eps,1,,0.5,quarter 2024 results snapshot Revenues Net Income EPS 1Q24 $21.1 billion 1Q24 $3.4 billion 1Q24 $1.58 1Q2,"(?:earnings\s+per\s+share|eps)[:\s]+[\$£€]?([\d,\.]+)"
6,eps,1.58,,0.9999999999999999,"arter Net Income to Common 3,062 NM (29)% Diluted EPS $1.58 NM (28)% Impact on 1Q24: Pretax ($MM) EPS RoTCE E","(?:earnings\s+per\s+share|eps)[:\s]+[\$£€]?([\d,\.]+)"
6,net_income,"3,371",,0.8999999999999999,"edit, more than offset higher net interest income Net Income 3,371 NM (27)% Notable Items in the Quarter Net Income t","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
6,revenue,"7,597",,0.8999999999999999,"es increased more than 3%, driven by Non-Interest Revenue 7,597 NM (6)% growth across Banking, USPB and Services, ","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
6,roe,6.6,,0.8999999999999999, $(251) to regional bank failures from March 2023 ROE 6.6% Restructuring charges related to $(225) RoTCE(2) ,"(?:return\s+on\s+equity|roe)[:\s]+([\d,\.]+)%?"
12,revenue,"1,449",,0.7,"reliminary AUC AUA ($T)(7) 24 2% 11% Non-Interest Revenue 1,449 35% 14% ( T E C E N $ in M M ) N e t In t e r e s ","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
13,net_income,"1,395",,0.7,"t of $200 million, primarily driven by changes in Net Income 1,395 NM (25)% macroeconomic assumptions related to loan","net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
14,net_income,536,million,0.7999999999999999,(129) NM (5)% portfolio composition EBT 659 NM NM Net Income $536 million Net Income 536 NM NM RoTCE(4) of 9.9% Key Metrics,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
14,revenue,"1,140",,0.7,"n MM) Net Interest Income 574 6% 15% Non-Interest Revenue 1,140 NM 75% Note: Banking includes revenues earned by C","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
15,net_income,150,million,0.7999999999999999,ced our data related to margin lending collateral Net Income $150 million RoTCE(3) of 4.6% Key Metrics and Statistics Reven,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
15,revenue,716,,0.7,) Net Interest Income 979 (6)% (13)% Non-Interest Revenue 716 14% 11% ( T E C E N $ in M M ) P r iv a t e B a n ,"(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
16,net_income,347,million,0.7999999999999999,stimulus during the pandemic and are now maturing Net Income $347 million RoTCE(3) of 5.5% Key Metrics and Statistics Key M,"net\s+income[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
17,revenue,687,,0.7,") Net Interest Income 1,698 9% (22)% Non-Interest Revenue 687 47% 59% ( T E C E N $ in M M L e g a c y C o r p o","(?:total\s+)?revenue[:\s]+[\$£€]?([\d,\.]+)\s*(million|billion|m|b|k)?"
