text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
ROTCE was 25%.,quarter,1,Financial Results,Q2_2023,2023-07-14
CET1 capital ratios were 13.8% for Standardized and 13.9% for Advanced.,quarter,1,Financial Results,Q2_2023,2023-07-14
Total Loss-Absorbing Capacity was $494B.,quarter,1,Financial Results,Q2_2023,2023-07-14
Standardized RWA was $1.7T.,quarter,1,Financial Results,Q2_2023,2023-07-14
Cash and marketable securities were $1.4T.,quarter,1,Financial Results,Q2_2023,2023-07-14
Average loans were $1.2T.,quarter,1,Financial Results,Q2_2023,2023-07-14
"Income statement highlights include a 2Q23 net income of $14.5B and EPS of $4.75. Excluding significant items, net income was $13.3B, EPS was $4.37, and ROTCE was 23%.",quarter,1,Financial Results,Q2_2023,2023-07-14
"Managed revenue was $42.4B, with expense of $20.8B and a managed overhead ratio of 49%.",quarter,1,Financial Results,Q2_2023,2023-07-14
"Balance sheet highlights include average loans of $1.2T, up 13% YoY and 10% QoQ. Excluding the First Republic (FR) impact, average loans were $1.1T, up 4% YoY and 1% QoQ.",quarter,1,Financial Results,Q2_2023,2023-07-14
"Average deposits were $2.4T, down 6% YoY and up 3% QoQ. Excluding FR, average deposits were $2.3T, down 8% YoY and up 1% QoQ.",quarter,1,Financial Results,Q2_2023,2023-07-14
"CET1 capital stood at $236B, with a standardized CET1 capital ratio of 13.8% and an advanced CET1 capital ratio of 13.9%.",quarter,1,Financial Results,Q2_2023,2023-07-14
"Capital distributed includes a common dividend of $2.9B or $1.00 per share, and $1.8B of common stock net repurchases.",quarter,1,Financial Results,Q2_2023,2023-07-14
Net payout for the last twelve months (LTM) was 32%.,quarter,1,Financial Results,Q2_2023,2023-07-14
Continued progress on migration: The FDIC and transaction settlement process is on schedule.,quarter,2,Financial Results,Q2_2023,2023-07-14
"Branches: 21 branches were left behind with the FDIC, while the remaining 63 are being evaluated for conversion to Chase, JPM Wealth Management, or consolidation.",quarter,2,Financial Results,Q2_2023,2023-07-14
"Systems integration: The full migration plan to JPMC systems is being developed, with a target for substantial completion in mid-2024.",quarter,2,Financial Results,Q2_2023,2023-07-14
"Employee Engagement: Approximately 5,100 former FRC employees were onboarded on July 2, 2023, with 85% invited and 91% accepting.",quarter,2,Financial Results,Q2_2023,2023-07-14
The focus is on getting the sales force back in the market to win back customers.,quarter,2,Financial Results,Q2_2023,2023-07-14
"Client Retention: Strong client retention has been observed, with $6B in net deposit inflows since the acquisition.",quarter,2,Financial Results,Q2_2023,2023-07-14
Customer fund flows indicate trust in the company's balance sheet and strength.,quarter,2,Financial Results,Q2_2023,2023-07-14
There is an opportunity to outperform original expectations and accelerate the affluent strategy.,quarter,2,Financial Results,Q2_2023,2023-07-14
"Excluding the First Republic (FR) impact, net income was $5.0B, up 61% YoY.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, revenue of $16.4B was up 31% YoY, driven by higher net interest income.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, expense of $8.3B was up 8% YoY, largely due to higher compensation, marketing, wage inflation and headcount growth, partially offset by lower auto lease depreciation.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, credit costs were $1.5B, with net charge-offs (NCOs) of $1.3B, up $640mm YoY, mainly from Card Services.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, a reserve build of $203mm was driven by loan growth in Card Services and macroeconomic factors.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average loans were up 5% YoY and 2% QoQ.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average deposits were down 6% YoY and flat QoQ, while end-of-period deposits were down 6% YoY and 4% QoQ.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Excluding FR, active mobile customers were up 10% YoY, debit & credit card sales volume was up 7% YoY, and client investment assets were up 18% YoY and 7% QoQ.",quarter,5,Financial Results,Q2_2023,2023-07-14
"Net income was $4.1B, up 10% YoY, and revenue was $12.5B, up 4% YoY.",quarter,6,Financial Results,Q2_2023,2023-07-14
"IB revenue of $1.5B was up 11% YoY, while IB fees were down 6% YoY due to lower advisory fees.",quarter,6,Financial Results,Q2_2023,2023-07-14
