row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net interest income,1,Net interest income decreased by $0.1B from the preceding quarter.,Net interest income decreased by $0.7B from the same quarter in the prior year.,23.5,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Noninterest revenue,2,Noninterest revenue increased by $0.5B from the preceding quarter.,Noninterest revenue increased by $4.5B from the same quarter in the prior year.,20.3,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Managed revenue,3,Managed revenue increased by $0.4B from the preceding quarter.,Managed revenue increased by $3.8B from the same quarter in the prior year.,43.7,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Expense,4,Expense increased by $0.2B from the preceding quarter.,Expense decreased by $1.7B from the same quarter in the prior year.,22.8,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Credit costs,5,Credit costs decreased by $0.5B from the preceding quarter.,Credit costs decreased by $0.1B from the same quarter in the prior year.,2.6,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Net income,6,Net income increased by $1.1B from the preceding quarter.,Net income increased by $4.7B from the same quarter in the prior year.,14.0,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
Net income applicable to common stockholders,7,Net income applicable to common stockholders increased by $1.1B from the preceding quarter.,Net income applicable to common stockholders increased by $4.8B from the same quarter in the prior year.,13.7,,,,,,$B,4,Financial Results,Q4_2024,2025-01-15
EPS - diluted,8,EPS - diluted increased by $0.44 from the preceding quarter.,EPS - diluted increased by $1.77 from the same quarter in the prior year.,4.81,,,,,,USD,4,Financial Results,Q4_2024,2025-01-15
ROE,9,ROE increased by 1 percentage point from 16% in the preceding quarter.,ROE increased by 5 percentage points from 12% in the same quarter of the prior year.,17.0,16.0,12.0,,,,%,4,Financial Results,Q4_2024,2025-01-15
ROTCE,10,ROTCE increased by 2 percentage points from 19% in the preceding quarter.,ROTCE increased by 6 percentage points from 15% in the same quarter of the prior year.,21.0,19.0,15.0,,,,%,4,Financial Results,Q4_2024,2025-01-15
