text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
JPMORGAN CHASE & CO.,quarter,1,Title,Q3_2023,2023-10-13
"October 13, 2023",quarter,1,Title,Q3_2023,2023-10-13
ROTCE was 22%.,quarter,2,Financial Results,Q3_2023,2023-10-13
CET1 capital ratios were 14.3% Standard and 14.5% Advanced.,quarter,2,Financial Results,Q3_2023,2023-10-13
Total Loss-Absorbing Capacity was $496B.,quarter,2,Financial Results,Q3_2023,2023-10-13
Standardized RWA was $1.7T.,quarter,2,Financial Results,Q3_2023,2023-10-13
Cash and marketable securities totaled $1.4T.,quarter,2,Financial Results,Q3_2023,2023-10-13
Average loans were $1.3T.,quarter,2,Financial Results,Q3_2023,2023-10-13
3Q23 net income was $13.2B and EPS was $4.33.,quarter,2,Financial Results,Q3_2023,2023-10-13
Managed revenue was $40.7B and the managed overhead ratio was 53%.,quarter,2,Financial Results,Q3_2023,2023-10-13
"Average loans of $1.3T were up 17% YoY and 5% QoQ. Excluding First Republic (FR), average loans were $1.2T, up 4% YoY and 2% QoQ.",quarter,2,Financial Results,Q3_2023,2023-10-13
"Average deposits of $2.4T were down 4% YoY and 1% QoQ. Excluding FR, average deposits were $2.3T, down 6% YoY and 2% QoQ.",quarter,2,Financial Results,Q3_2023,2023-10-13
"CET1 capital was $242B, with a standardized CET1 capital ratio of 14.3% and an advanced CET1 capital ratio of 14.5%.",quarter,2,Financial Results,Q3_2023,2023-10-13
"Distributed $3.1B in common dividends, or $1.05 per share.",quarter,2,Financial Results,Q3_2023,2023-10-13
Completed $2.0B of common stock net repurchases.,quarter,2,Financial Results,Q3_2023,2023-10-13
Net payout for the last twelve months was 35%.,quarter,2,Financial Results,Q3_2023,2023-10-13
"3Q23 Tax rate: Effective rate: 21.4%, Managed rate: 25.0%.",quarter,3,Financial Results,Q3_2023,2023-10-13
"CCB 3Q23 metrics: ROE 41%, O/H ratio 50%.",quarter,3,Financial Results,Q3_2023,2023-10-13
"CIB 3Q23 metrics: ROE 11%, O/H ratio 63%.",quarter,3,Financial Results,Q3_2023,2023-10-13
"CB 3Q23 metrics: ROE 25%, O/H ratio 34%.",quarter,3,Financial Results,Q3_2023,2023-10-13
"AWM 3Q23 metrics: ROE 32%, O/H ratio 63%.",quarter,3,Financial Results,Q3_2023,2023-10-13
"As proposed, the U.S. B3E NPR increases the Firm's RWA by 30% ($500B) and required capital by 25% ($50B).",quarter,5,Outlook,Q3_2023,2023-10-13
