row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net investment securities losses in Corporate,1,,,-669.0,,,,,,$MM,2,Financial Results,Q3_2023,2023-10-13
Firmwide legal expense,2,,,-665.0,,,,,,$MM,2,Financial Results,Q3_2023,2023-10-13
Net interest income,1,"Excluding FR impact, Net Interest Income increased by $0.4B compared to 2Q23.","Excluding FR impact, Net Interest Income increased by $3.8B compared to 3Q22.",22.9,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Noninterest revenue,2,"Excluding FR impact, Noninterest revenue decreased by $0.3B compared to 2Q23.","Excluding FR impact, Noninterest revenue increased by $1.2B compared to 3Q22.",17.8,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Managed revenue,3,"Excluding FR impact, Managed revenue increased by $0.1B compared to 2Q23.","Excluding FR impact, Managed revenue increased by $5.0B compared to 3Q22.",40.7,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Expense,4,"Excluding FR impact, Expense increased by $0.7B compared to 2Q23.","Excluding FR impact, Expense increased by $1.7B compared to 3Q22.",21.8,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Credit costs,5,"Excluding FR impact, Credit costs decreased by $0.3B compared to 2Q23.","Excluding FR impact, Credit costs decreased by $0.1B compared to 3Q22.",1.4,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Net income,6,"Excluding FR impact, Net income was flat compared to 2Q23.","Excluding FR impact, Net income increased by $2.3B compared to 3Q22.",13.2,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Net income applicable to common stockholders,7,"Excluding FR impact, Net income applicable to common stockholders was flat compared to 2Q23.","Excluding FR impact, Net income applicable to common stockholders increased by $2.4B compared to 3Q22.",12.7,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
EPS - diluted,8,"Excluding FR impact, EPS increased by $0.02 compared to 2Q23.","Excluding FR impact, EPS increased by $0.85 compared to 3Q22.",4.33,,,,,,USD,3,Financial Results,Q3_2023,2023-10-13
ROE,9,Increased by 1 percentage point from 17% in 2Q23.,Increased by 3 percentage points from 15% in 3Q22.,18.0,17.0,15.0,,,,%,3,Financial Results,Q3_2023,2023-10-13
ROTCE,10,Increased by 1 percentage point from 21% in 2Q23.,Increased by 4 percentage points from 18% in 3Q22.,22.0,21.0,18.0,,,,%,3,Financial Results,Q3_2023,2023-10-13
Overhead ratio – managed,11,Remained flat at 53% compared to 2Q23.,Decreased by 4 percentage points from 57% in 3Q22.,53.0,53.0,57.0,,,,%,3,Financial Results,Q3_2023,2023-10-13
NII excluding Markets,12,"Excluding FR impact, NII excluding Markets increased by $0.2B compared to 2Q23.","Excluding FR impact, NII excluding Markets increased by $4.8B compared to 3Q22.",23.2,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
NIR excluding Markets,13,"Excluding FR impact, NIR excluding Markets increased by $0.3B compared to 2Q23.","Excluding FR impact, NIR excluding Markets increased by $0.4B compared to 3Q22.",10.9,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Markets revenue,14,Decreased by $0.4B compared to 2Q23.,Decreased by $0.2B compared to 3Q22.,6.6,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Adjusted expense,15,"Excluding FR impact, Adjusted expense increased by $0.4B compared to 2Q23.","Excluding FR impact, Adjusted expense increased by $1.1B compared to 3Q22.",21.1,,,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Adjusted overhead ratio,16,Remained flat at 52% compared to 2Q23.,Decreased by 5 percentage points from 57% in 3Q22.,52.0,52.0,57.0,,,,%,3,Financial Results,Q3_2023,2023-10-13
Net charge-offs,1,Increased by $0.1B from $1.4B in 2Q23.,Increased by $0.8B from $0.7B in 3Q22.,1.5,1.4,0.7,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Reserve build/(release),2,Decreased significantly from a $1.5B build in 2Q23 to a $0.1B release in 3Q23.,Decreased significantly from a $0.8B build in 3Q22 to a $0.1B release in 3Q23.,-0.1,1.5,0.8,,,,$B,3,Financial Results,Q3_2023,2023-10-13
Credit costs,3,Decreased by $1.5B from $2.9B in 2Q23.,Decreased by $0.1B from $1.5B in 3Q22.,1.4,2.9,1.5,,,,$B,3,Financial Results,Q3_2023,2023-10-13
CET1 capital,1,Increased by $6B from $236B in 2Q23.,Increased by $32B from $210B in 3Q22.,242.0,236.0,210.0,,,,$B,4,Financial Results,Q3_2023,2023-10-13
CET1 capital ratio - Standardized,2,Increased by 0.5 percentage points from 13.8% in 2Q23.,Increased by 1.8 percentage points from 12.5% in 3Q22.,14.3,13.8,12.5,,,,%,4,Financial Results,Q3_2023,2023-10-13
CET1 capital ratio - Advanced,3,Increased by 0.6 percentage points from 13.9% in 2Q23.,Increased by 1.5 percentage points from 13.0% in 3Q22.,14.5,13.9,13.0,,,,%,4,Financial Results,Q3_2023,2023-10-13
Basel III Standardized RWA,4,"Decreased by $14B from $1,707B in 2Q23.","Increased by $15B from $1,678B in 3Q22.",1693.0,1707.0,1678.0,,,,$B,4,Financial Results,Q3_2023,2023-10-13
