text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
JPMORGAN CHASE & Co.,quarter,1,Title,Q2_2024,2024-07-12
2Q24 Financial Results,quarter,1,Title,Q2_2024,2024-07-12
"July 12, 2024",quarter,1,Title,Q2_2024,2024-07-12
ROTCE¹ 28%,quarter,2,Financial Results,Q2_2024,2024-07-12
ROTCE ex. significant items² 20%,quarter,2,Financial Results,Q2_2024,2024-07-12
CET1 capital ratios³: Std. 15.3% | Adv. 15.5%,quarter,2,Financial Results,Q2_2024,2024-07-12
Total Loss-Absorbing Capacity³ $534B,quarter,2,Financial Results,Q2_2024,2024-07-12
Std. RWA⁴ $1.7T,quarter,2,Financial Results,Q2_2024,2024-07-12
Cash and marketable securities⁵ $1.5T,quarter,2,Financial Results,Q2_2024,2024-07-12
Average loans $1.3T,quarter,2,Financial Results,Q2_2024,2024-07-12
"2Q24 net income of $18.1B and EPS of $6.12. Excluding significant items, 2Q24 net income of $13.1B, EPS of $4.40 and ROTCE of 20%.",quarter,2,Financial Results,Q2_2024,2024-07-12
Managed revenue of $51.0B⁶,quarter,2,Financial Results,Q2_2024,2024-07-12
Expense of $23.7B and managed overhead ratio of 47%⁶,quarter,2,Financial Results,Q2_2024,2024-07-12
Loans: average loans of $1.3T up 6% YoY including First Republic and flat QoQ.,quarter,2,Financial Results,Q2_2024,2024-07-12
Deposits: average deposits of $2.4T down 1% YoY and flat QoQ.,quarter,2,Financial Results,Q2_2024,2024-07-12
"CET1 capital of $267B³, Standardized CET1 capital ratio of 15.3%³, Advanced CET1 capital ratio of 15.5%³",quarter,2,Financial Results,Q2_2024,2024-07-12
Common dividend of $3.3B or $1.15 per share,quarter,2,Financial Results,Q2_2024,2024-07-12
$4.9B of common stock net repurchases⁷,quarter,2,Financial Results,Q2_2024,2024-07-12
"Net payout LTM of 45%⁷,⁸",quarter,2,Financial Results,Q2_2024,2024-07-12
2Q24 Tax rate: Effective rate: 22.6%; Managed rate: 25.1%,quarter,3,Financial Results,Q2_2024,2024-07-12
"Net income of $4.2B, down 21% YoY.",quarter,5,Financial Results,Q2_2024,2024-07-12
"Revenue of $17.7B, up 3% YoY, predominantly due to higher noninterest revenue in Banking & Wealth Management and Card Services & Auto.",quarter,5,Financial Results,Q2_2024,2024-07-12
"Expense of $9.4B, up 13% YoY, predominantly driven by the allocation of certain First Republic-related expense from Corporate to CCB starting in 3Q23, and higher compensation, as well as continued investments in technology and marketing.",quarter,5,Financial Results,Q2_2024,2024-07-12
"Credit costs of $2.6B, with NCOs of $2.1B, up $813mm YoY, and a net reserve build of $579mm primarily in Card Services.",quarter,5,Financial Results,Q2_2024,2024-07-12
Average loans up 10% YoY including First Republic and flat QoQ.,quarter,5,Financial Results,Q2_2024,2024-07-12
Average deposits down 7% YoY and 1% QoQ.,quarter,5,Financial Results,Q2_2024,2024-07-12
EOP deposits down 9% YoY and 3% QoQ.,quarter,5,Financial Results,Q2_2024,2024-07-12
Active mobile customers up 7% YoY.,quarter,5,Financial Results,Q2_2024,2024-07-12
Debit & credit card sales volume up 7% YoY.,quarter,5,Financial Results,Q2_2024,2024-07-12
Client investment assets up 14% YoY and flat QoQ.,quarter,5,Financial Results,Q2_2024,2024-07-12
"Net income of $5.9B, up 11% YoY; revenue of $17.9B, up 9% YoY.",quarter,6,Financial Results,Q2_2024,2024-07-12
"Banking & Payments revenue: IB revenue of $2.5B, up 46% YoY; Payments revenue of $4.5B, down 4% YoY; Lending revenue of $1.9B, up 11% YoY.",quarter,6,Financial Results,Q2_2024,2024-07-12
"Markets & Securities Services revenue: Markets revenue of $7.8B, up 10% YoY (Fixed Income Markets revenue of $4.8B, up 5% YoY; Equity Markets revenue of $3.0B, up 21% YoY).",quarter,6,Financial Results,Q2_2024,2024-07-12
"Securities Services revenue of $1.3B, up 3% YoY, driven by higher volumes and market levels, largely offset by deposit margin compression.",quarter,6,Financial Results,Q2_2024,2024-07-12
"Expense of $9.2B, up 12% YoY, predominantly driven by higher compensation.",quarter,6,Financial Results,Q2_2024,2024-07-12
"Credit costs of $384mm, including a net reserve build of $220mm and NCOs of $164mm.",quarter,6,Financial Results,Q2_2024,2024-07-12
"Net income of $1.3B, up 3% YoY.",quarter,7,Financial Results,Q2_2024,2024-07-12
"Revenue of $5.3B, up 6% YoY, driven by growth in management fees on higher average market levels and strong net inflows, as well as higher brokerage activity, largely offset by deposit margin compression.",quarter,7,Financial Results,Q2_2024,2024-07-12
"Expense of $3.5B, up 12% YoY, predominantly driven by higher compensation, including revenue-related compensation and continued growth in private banking advisor teams, as well as higher legal expense and distribution fees.",quarter,7,Financial Results,Q2_2024,2024-07-12
"AUM of $3.7T was up 15% YoY and client assets of $5.4T were up 18% YoY, each driven by higher market levels and continued net inflows. For the quarter, AUM had long-term net inflows of $52B and liquidity net inflows of $16B.",quarter,7,Financial Results,Q2_2024,2024-07-12
"Average loans of $224B, up 2% YoY and flat QoQ.",quarter,7,Financial Results,Q2_2024,2024-07-12
"Average deposits of $227B, up 7% YoY due to the allocation of First Republic deposits to AWM in 4Q23 and flat QoQ.",quarter,7,Financial Results,Q2_2024,2024-07-12
"Revenue of $10.1B, up $6.4B YoY.",quarter,8,Financial Results,Q2_2024,2024-07-12
"Net interest income of $2.4B, up $626mm YoY, driven by the impact of balance sheet mix and higher rates.",quarter,8,Financial Results,Q2_2024,2024-07-12
"Noninterest revenue was a net gain of $7.8B, compared with a net gain of $2.0B in the prior year. The current quarter included a $7.9B net gain related to Visa shares and $546mm of net investment securities losses. The prior-year quarter included an estimated $2.7B bargain purchase gain and $900mm of net investment securities losses.",quarter,8,Financial Results,Q2_2024,2024-07-12
"Expense of $1.6B, up $427mm YoY, driven by the $1.0B donation of Visa shares, largely offset by allocation of First Republic expense to LOBs and lower legal expense.",quarter,8,Financial Results,Q2_2024,2024-07-12
"Expect FY2024 net interest income of ~$91B, market dependent.",quarter,9,Outlook,Q2_2024,2024-07-12
"Expect FY2024 net interest income excluding Markets of ~$91B, market dependent.",quarter,9,Outlook,Q2_2024,2024-07-12
"Expect FY2024 adjusted expense of ~$92B, market dependent.",quarter,9,Outlook,Q2_2024,2024-07-12
Adjusted expense excludes Firmwide legal expense and includes the increase to the FDIC special assessment in 1Q24 and the Foundation contribution in 2Q24.,quarter,9,Outlook,Q2_2024,2024-07-12
Expect FY2024 Card Services NCO rate of ~3.4%.,quarter,9,Outlook,Q2_2024,2024-07-12
"Management reviews Firmwide results on a ""managed"" basis, a non-GAAP financial measure, which includes reclassifications to present total net revenue on a fully taxable-equivalent basis.",quarter,10,Footnotes,Q2_2024,2024-07-12
"Management also reviews net interest income (NII) and noninterest revenue (NIR) excluding Markets, which are non-GAAP measures used to assess performance of lending, investing, and deposit-raising activities apart from Market volatility.",quarter,10,Footnotes,Q2_2024,2024-07-12
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP financial measures used by the Firm, investors, and analysts to assess the Firm's use of equity.",quarter,10,Footnotes,Q2_2024,2024-07-12
"Second-quarter 2024 net income, EPS, and ROTCE excluding significant items (net gain on Visa shares, donation to Foundation, net investment securities losses) are non-GAAP measures provided to help assess the Firm's results.",quarter,10,Footnotes,Q2_2024,2024-07-12
Adjusted expense and adjusted overhead ratio are non-GAAP financial measures that exclude Firmwide legal expense to help investors understand its effect on reported results.,quarter,10,Footnotes,Q2_2024,2024-07-12
"1. Reflects the Current Expected Credit Losses (""CECL"") capital transition provisions. As of June 30, 2024, and March 31, 2024, CET1 capital and Total Loss-Absorbing Capacity reflected the remaining CECL benefit of $720mm; as of June 30, 2023, CET1 capital reflected the benefit of $1.4B.",quarter,11,Footnotes,Q2_2024,2024-07-12
"2. Total excess high-quality liquid assets (""HQLA"") represent the average eligible unencumbered liquid assets that are in excess of what is required to meet the estimated Firm and Bank total net cash outflows over a prospective 30 calendar-day period of significant stress under the LCR rule.",quarter,11,Footnotes,Q2_2024,2024-07-12
"3. The First Republic acquisition closed on May 1, 2023, so the current period includes approximately one additional month of results compared with the prior-year period. Certain noninterest expense and deposits were allocated among segments starting in 3Q23. The prior-year quarter included an estimated $2.7B bargain purchase gain and a $1.2B credit reserve.",quarter,11,Footnotes,Q2_2024,2024-07-12
"4. On May 6, 2024, the Firm announced that Visa accepted the Firm's tender of its 37.2mm shares of Visa Class B-1 common stock in exchange for Visa Class B-2 and Class C common stock, resulting in a gain for the Firm.",quarter,11,Footnotes,Q2_2024,2024-07-12
"Slide 4 - Consumer & Community Banking: Actual numbers for all periods, not over/(under). Users of all mobile platforms who have logged in within the past 90 days. Excludes First Republic accounts not yet converted to JPMorgan Chase platforms. Excludes Commercial Card. Firmwide mortgage origination volume was $12.3B, $7.6B and $13.0B for the three months ended June 30, 2024, March 31, 2024 and June 30, 2023, respectively.",quarter,12,Footnotes,Q2_2024,2024-07-12
"Slide 5 - Commercial & Investment Bank: Effective in 2Q24, the Firm reorganized its reportable business segments by combining the former Corporate & Investment Bank and Commercial Banking business segments to form one segment, the Commercial & Investment Bank (""CIB"").",quarter,12,Footnotes,Q2_2024,2024-07-12
Client deposits and other third-party liabilities ('client deposits') pertain to the Payments and Securities Services businesses.,quarter,12,Footnotes,Q2_2024,2024-07-12
Loans held-for-sale and loans at fair value were excluded when calculating the net charge-off/(recovery) rate.,quarter,12,Footnotes,Q2_2024,2024-07-12
"As a result of the First Republic acquisition, the allowance for credit losses for the acquired wholesale portfolio was measured using the Firm's modeled approach as of June 30, 2024.",quarter,12,Footnotes,Q2_2024,2024-07-12
"Banking & Payments revenue by client coverage segment consists of Global Corporate & Investment Banking, Commercial Banking, and Other.",quarter,12,Footnotes,Q2_2024,2024-07-12
"This presentation contains forward-looking statements based on current beliefs and expectations, which are subject to significant risks and uncertainties. Actual results may differ from those set forth in these statements.",quarter,13,Footnotes,Q2_2024,2024-07-12
