text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
Return on Tangible Common Equity (ROTCE) was 21%.,quarter,2,Financial Results,Q1_2024,2024-04-12
CET1 capital ratios were 15.0% for Standard (Std.) and 15.3% for Advanced (Adv.).,quarter,2,Financial Results,Q1_2024,2024-04-12
Total Loss-Absorbing Capacity was $520B.,quarter,2,Financial Results,Q1_2024,2024-04-12
Standardized Risk-Weighted Assets (Std. RWA) were $1.7T.,quarter,2,Financial Results,Q1_2024,2024-04-12
Cash and marketable securities were $1.5T.,quarter,2,Financial Results,Q1_2024,2024-04-12
Average loans were $1.3T.,quarter,2,Financial Results,Q1_2024,2024-04-12
1Q24 net income of $13.4B and EPS of $4.44.,quarter,2,Financial Results,Q1_2024,2024-04-12
"Excluding a $725mm increase to the FDIC special assessment, 1Q24 net income was $14.0B, with an EPS of $4.63 and ROTCE of 22%.",quarter,2,Financial Results,Q1_2024,2024-04-12
Managed revenue was $42.5B.,quarter,2,Financial Results,Q1_2024,2024-04-12
Expense was $22.8B and the managed overhead ratio was 53%.,quarter,2,Financial Results,Q1_2024,2024-04-12
"Average loans were $1.3T, up 16% YoY and flat QoQ.",quarter,2,Financial Results,Q1_2024,2024-04-12
"Excluding First Republic (FR), average loans were $1.2T, up 3% YoY and flat QoQ.",quarter,2,Financial Results,Q1_2024,2024-04-12
"Average deposits were $2.4T, up 2% YoY and flat QoQ.",quarter,2,Financial Results,Q1_2024,2024-04-12
"Excluding FR, average deposits were $2.3T, flat YoY and QoQ.",quarter,2,Financial Results,Q1_2024,2024-04-12
"CET1 capital was $258B, with a Standardized CET1 capital ratio of 15.0% and an Advanced CET1 capital ratio of 15.3%.",quarter,2,Financial Results,Q1_2024,2024-04-12
Common dividend was $3.3B or $1.15 per share.,quarter,2,Financial Results,Q1_2024,2024-04-12
$2.0B of common stock net repurchases were made.,quarter,2,Financial Results,Q1_2024,2024-04-12
Net payout for the last twelve months (LTM) was 42%.,quarter,2,Financial Results,Q1_2024,2024-04-12
Memo: NII excluding Markets was $23.0B.,quarter,3,Financial Results,Q1_2024,2024-04-12
Memo: NIR excluding Markets was $11.5B.,quarter,3,Financial Results,Q1_2024,2024-04-12
Memo: Markets revenue was $8.0B.,quarter,3,Financial Results,Q1_2024,2024-04-12
Memo: Adjusted expense was $22.8B.,quarter,3,Financial Results,Q1_2024,2024-04-12
Memo: Adjusted overhead ratio was 54%.,quarter,3,Financial Results,Q1_2024,2024-04-12
"Excluding First Republic (ex. FR), net income was $4.4B, down 15% YoY.",quarter,5,Financial Results,Q1_2024,2024-04-12
"Ex. FR revenue was $16.6B, up 1% YoY, largely driven by higher net interest income.",quarter,5,Financial Results,Q1_2024,2024-04-12
"Ex. FR expense was $8.8B, up 9% YoY, driven by higher compensation, technology, and marketing investments.",quarter,5,Financial Results,Q1_2024,2024-04-12
"Ex. FR credit costs were $1.9B, with Net Charge-Offs (NCOs) of $1.9B, up $825mm YoY, driven by continued normalization in Card Services.",quarter,5,Financial Results,Q1_2024,2024-04-12
"Ex. FR net reserve build was $45mm, driven by a $153mm build in Card Services, largely offset by a $100mm release in Home Lending.",quarter,5,Financial Results,Q1_2024,2024-04-12
Ex. FR: Average loans were up 6% YoY and flat QoQ.,quarter,5,Financial Results,Q1_2024,2024-04-12
"Ex. FR: Average deposits were down 7% YoY and 1% QoQ, while End-of-Period (EOP) deposits were down 7% YoY and up 1% QoQ.",quarter,5,Financial Results,Q1_2024,2024-04-12
Ex. FR: Active mobile customers were up 7% YoY.,quarter,5,Financial Results,Q1_2024,2024-04-12
Ex. FR: Debit & credit card sales volume was up 9% YoY.,quarter,5,Financial Results,Q1_2024,2024-04-12
Ex. FR: Client investment assets were up 25% YoY and 7% QoQ.,quarter,5,Financial Results,Q1_2024,2024-04-12
"Net income was $4.8B, up 8% YoY, with revenue of $13.6B, flat YoY.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Investment Banking revenue was $2.0B, up 27% YoY, driven by higher debt and equity underwriting fees.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Payments revenue was $2.4B, down 1% YoY, due to deposit margin compression.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Lending revenue was $130mm, down 51% YoY, due to mark-to-market losses on hedges.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Markets revenue was $8.0B, down 5% YoY.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Fixed Income Markets revenue was $5.3B, down 7% YoY, due to lower activity in Rates and Commodities.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Equity Markets revenue was $2.7B, flat YoY.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Securities Services revenue was $1.2B, up 3% YoY.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Expense was $7.2B, down 4% YoY, driven by lower legal expense.",quarter,6,Financial Results,Q1_2024,2024-04-12
"Excluding First Republic (ex. FR), net income was $1.6B, up 21% YoY.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR revenue was $3.6B, up 3% YoY, driven by higher noninterest revenue.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR Investment Banking and Markets revenue was $913mm, up 4% YoY.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR Payments revenue was $1.9B, down 2% YoY, driven by lower deposit margins and balances.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR expense was $1.5B, up 13% YoY, driven by higher compensation and technology investments.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR credit costs were a net benefit of $35mm, reflecting a net reserve release of $101mm.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR average loans were $241B, up 1% YoY and flat QoQ.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Ex. FR average deposits were $259B, down 3% YoY, primarily due to lower non-operating deposits.",quarter,7,Financial Results,Q1_2024,2024-04-12
"Excluding First Republic (ex. FR), net income was $1.0B, down 26% YoY.",quarter,8,Financial Results,Q1_2024,2024-04-12
"Ex. FR revenue of $4.7B was down 1% YoY, reflecting net investment valuation gains in the prior year.",quarter,8,Financial Results,Q1_2024,2024-04-12
"Excluding valuation gains, revenue (ex. FR) was up 5% YoY, driven by higher management fees on strong net inflows.",quarter,8,Financial Results,Q1_2024,2024-04-12
"Ex. FR expense of $3.4B was up 11% YoY, largely driven by higher compensation and distribution fees.",quarter,8,Financial Results,Q1_2024,2024-04-12
"Assets under management (AUM) of $3.6T were up 19% YoY and client assets of $5.2T were up 20% YoY, driven by higher market levels and continued net inflows.",quarter,8,Financial Results,Q1_2024,2024-04-12
"For the quarter, AUM had long-term net inflows of $34B.",quarter,8,Financial Results,Q1_2024,2024-04-12
Ex. FR average loans of $213B were up 1% YoY and down 1% QoQ.,quarter,8,Financial Results,Q1_2024,2024-04-12
Ex. FR average deposits of $215B were down 4% YoY and flat QoQ.,quarter,8,Financial Results,Q1_2024,2024-04-12
"Excluding First Republic (ex. FR), revenue was $2.3B, up $1.3B YoY.",quarter,9,Financial Results,Q1_2024,2024-04-12
"Ex. FR net interest income was $2.5B, up $737mm YoY, driven by the impact of balance sheet mix and higher rates.",quarter,9,Financial Results,Q1_2024,2024-04-12
"Ex. FR noninterest revenue was a net loss of $188mm, compared with a net loss of $755mm in the prior year.",quarter,9,Financial Results,Q1_2024,2024-04-12
"The current quarter included $366mm of net investment securities losses, compared with $868mm of net securities losses in the prior year.",quarter,9,Financial Results,Q1_2024,2024-04-12
"Ex. FR expense of $1.0B, was up $889mm YoY, predominantly driven by an increase to the FDIC special assessment.",quarter,9,Financial Results,Q1_2024,2024-04-12
"Expect FY2024 net interest income of ~$90B, market dependent.",quarter,10,Outlook,Q1_2024,2024-04-12
"Expect FY2024 net interest income excluding Markets of ~$89B, market dependent.",quarter,10,Outlook,Q1_2024,2024-04-12
"Expect FY2024 adjusted expense of ~$91B, market dependent.",quarter,10,Outlook,Q1_2024,2024-04-12
The adjusted expense forecast includes the increase to the FDIC special assessment in 1Q24.,quarter,10,Outlook,Q1_2024,2024-04-12
Expect FY2024 Card Services NCO rate of <3.50%.,quarter,10,Outlook,Q1_2024,2024-04-12
"The Firm reviews results on a ""managed"" basis, a non-GAAP measure which adjusts for the tax-equivalent impact of tax-exempt income to allow for comparability of revenue from year-to-year.",quarter,11,Footnotes,Q1_2024,2024-04-12
"Net interest income (NII) and noninterest revenue (NIR) excluding Markets are non-GAAP metrics used to assess the performance of the Firm's core lending, investing, and deposit-raising activities, apart from the volatility of Markets activities.",quarter,11,Footnotes,Q1_2024,2024-04-12
"First-quarter 2024 net income, EPS, and ROTCE excluding the $725mm increase to the FDIC special assessment are presented as non-GAAP measures. This exclusion increased net income from $13.4B to $14.0B, EPS from $4.44 to $4.63, and ROTCE from 21% to 22%.",quarter,11,Footnotes,Q1_2024,2024-04-12
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP financial measures used to assess the Firm's use of equity.",quarter,11,Footnotes,Q1_2024,2024-04-12
Adjusted expense and adjusted overhead ratio are non-GAAP financial measures that exclude Firmwide legal expenses to provide an alternate presentation of the Firm's performance.,quarter,11,Footnotes,Q1_2024,2024-04-12
"As of March 31, 2024, CET1 capital and Total Loss-Absorbing Capacity reflected the final remaining $720mm CECL benefit.",quarter,12,Footnotes,Q1_2024,2024-04-12
Total excess high-quality liquid assets (HQLA) represent the average eligible unencumbered liquid assets in excess of what is required to meet estimated net cash outflows over a 30-day stress period.,quarter,12,Footnotes,Q1_2024,2024-04-12
"The 1Q23 prior-period amount for HQLA has been revised to conform with the current presentation, which uses end-of-period HQLA and unencumbered marketable securities.",quarter,12,Footnotes,Q1_2024,2024-04-12
"Notes for Slide 4 (Consumer & Community Banking) clarify that active mobile customers are users who logged in within the past 90 days (excluding First Republic), and firmwide mortgage origination volumes are provided for recent quarters.",quarter,13,Footnotes,Q1_2024,2024-04-12
"Notes for Slide 5 (Corporate & Investment Bank) clarify that client deposits pertain to Payments and Securities Services businesses, and that loans held-for-sale are excluded when calculating the net charge-off rate.",quarter,13,Footnotes,Q1_2024,2024-04-12
"Notes for Slide 6 (Commercial Banking) detail a revenue reclassification from payments to investment banking in 3Q23, explain the inclusion of gross revenues from revenue-sharing arrangements, and define how certain loan types are treated for calculations.",quarter,13,Footnotes,Q1_2024,2024-04-12
"This presentation contains forward-looking statements based on current beliefs and expectations, which are subject to significant risks and uncertainties.",quarter,14,Footnotes,Q1_2024,2024-04-12
Actual results may differ materially from those set forth in the forward-looking statements.,quarter,14,Footnotes,Q1_2024,2024-04-12
"Factors that could cause results to differ are described in the company's Annual Report on Form 10-K for the year ended December 31, 2023.",quarter,14,Footnotes,Q1_2024,2024-04-12
JPMorgan Chase & Co. does not undertake to update any forward-looking statements.,quarter,14,Footnotes,Q1_2024,2024-04-12
