row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
First Republic-related gain - Pretax,1,,,588.0,,,,,,$MM,1,Financial Results,Q1_2025,2025-04-11
First Republic-related gain - Net income,2,,,446.0,,,,,,$MM,1,Financial Results,Q1_2025,2025-04-11
First Republic-related gain - EPS,3,,,0.16,,,,,,USD,1,Financial Results,Q1_2025,2025-04-11
Net interest income,1,Decreased by $0.1B from 4Q24.,Increased by $0.2B from 1Q24.,23.4,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Noninterest revenue,2,Increased by $2.4B from 4Q24.,Increased by $3.3B from 1Q24.,22.6,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Managed revenue,3,Increased by $2.3B from 4Q24.,Increased by $3.5B from 1Q24.,46.0,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Expense,4,Increased by $0.8B from 4Q24.,Increased by $0.8B from 1Q24.,23.6,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Credit costs,5,Increased by $0.7B from 4Q24.,Increased by $1.4B from 1Q24.,3.3,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Net income,6,Increased by $0.6B from 4Q24.,Increased by $1.2B from 1Q24.,14.6,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Net income applicable to common stockholders,7,Increased by $0.6B from 4Q24.,Increased by $1.4B from 1Q24.,14.3,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
EPS - diluted,8,Increased by $0.26 from 4Q24.,Increased by $0.63 from 1Q24.,5.07,,,,,,USD,2,Financial Results,Q1_2025,2025-04-11
ROE,9,Increased to 18% in 1Q25 from 17% in 4Q24.,Increased to 18% in 1Q25 from 17% in 1Q24.,18.0,17.0,17.0,,,,%,2,Financial Results,Q1_2025,2025-04-11
ROTCE,10,Remained stable at 21% from 4Q24.,Remained stable at 21% from 1Q24.,21.0,21.0,21.0,,,,%,2,Financial Results,Q1_2025,2025-04-11
Overhead ratio – managed,11,Decreased to 51% in 1Q25 from 52% in 4Q24.,Decreased to 51% in 1Q25 from 53% in 1Q24.,51.0,52.0,53.0,,,,%,2,Financial Results,Q1_2025,2025-04-11
NII excluding Markets,12,Decreased by $0.4B from 4Q24.,Decreased by $0.4B from 1Q24.,22.6,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
NIR excluding Markets,13,Increased by $0.1B from 4Q24.,Increased by $2.2B from 1Q24.,13.8,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Markets revenue,14,Increased by $2.6B from 4Q24.,Increased by $1.7B from 1Q24.,9.7,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Managed revenue,15,Increased by $2.3B from 4Q24.,Increased by $3.5B from 1Q24.,46.0,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Adjusted expense,16,Increased by $1.0B from 4Q24.,Increased by $0.6B from 1Q24.,23.5,,,,,,$B,2,Financial Results,Q1_2025,2025-04-11
Adjusted overhead ratio,17,Decreased to 51% in 1Q25 from 52% in 4Q24.,Decreased to 51% in 1Q25 from 54% in 1Q24.,51.0,52.0,54.0,,,,%,2,Financial Results,Q1_2025,2025-04-11
Card,1,Increased from $14.6B in Dec 2024 due to a $0.4B build in 1Q25.,Increased from $12.6B in Mar 2024.,15.0,14.6,12.6,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Home Lending,2,Increased from $0.5B in Dec 2024 due to a $0.1B build in 1Q25.,Increased from $0.5B in Mar 2024.,0.6,0.5,0.5,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Other Consumer,3,Decreased from $1.4B in Dec 2024 due to a $0.1B release in 1Q25.,Remained stable at $1.3B compared to Mar 2024.,1.3,1.4,1.3,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Total Consumer,4,Increased from $16.5B in Dec 2024 due to a $0.4B build in 1Q25.,Increased from $14.4B in Mar 2024.,16.9,16.5,14.4,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Wholesale,5,Increased from $10.0B in Dec 2024 due to a $0.5B build in 1Q25.,Increased from $9.8B in Mar 2024.,10.5,10.0,9.8,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Securities,6,Decreased from $0.2B in Dec 2024 due to a minor release in 1Q25.,Decreased from $0.2B in Mar 2024.,0.1,0.2,0.2,,,,$B,3,Financial Results,Q1_2025,2025-04-11
Firmwide,7,Increased from $26.6B in Dec 2024 due to a $1.0B build in 1Q25.,Increased from $24.4B in Mar 2024.,27.6,26.6,24.4,,,,$B,3,Financial Results,Q1_2025,2025-04-11
CET1 capital,1,,,280.0,276.0,258.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
CET1 capital ratio - Standardized,2,,,15.4,15.7,15.0,,,,%,4,Financial Results,Q1_2025,2025-04-11
CET1 capital ratio - Advanced,3,,,15.5,15.8,15.3,,,,%,4,Financial Results,Q1_2025,2025-04-11
Basel III Standardized RWA,4,,,1818.0,1757.0,1712.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
Firm SLR,1,,,6.0,6.1,6.1,,,,%,4,Financial Results,Q1_2025,2025-04-11
Firm LCR,1,,,113.0,113.0,112.0,,,,%,4,Financial Results,Q1_2025,2025-04-11
Bank LCR,2,,,124.0,124.0,129.0,,,,%,4,Financial Results,Q1_2025,2025-04-11
