row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
First Republic bargain purchase gain in Corporate - Net income,1,,,2712.0,,,,,,$MM,1,Financial Results,Q2_2023,2023-07-14
Net credit reserve build for First Republic - Net income,2,,,-883.0,,,,,,$MM,1,Financial Results,Q2_2023,2023-07-14
Net investment securities losses in Corporate - Net income,3,,,-684.0,,,,,,$MM,1,Financial Results,Q2_2023,2023-07-14
First Republic bargain purchase gain in Corporate - EPS,4,,,0.91,,,,,,USD,1,Financial Results,Q2_2023,2023-07-14
Net credit reserve build for First Republic - EPS,5,,,-0.3,,,,,,USD,1,Financial Results,Q2_2023,2023-07-14
Net investment securities losses in Corporate - EPS,6,,,-0.23,,,,,,USD,1,Financial Results,Q2_2023,2023-07-14
Net interest income,1,Increased by $0.2B from 1Q23.,Increased by $5.8B from 2Q22.,21.9,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Noninterest revenue,2,Decreased by $1.1B from 1Q23.,Increased by $1.0B from 2Q22.,20.5,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Managed revenue,3,Decreased by $1.0B from 1Q23.,Increased by $6.7B from 2Q22.,42.4,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Expense,4,Increased by $0.1B from 1Q23.,Increased by $1.5B from 2Q22.,20.8,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Credit costs,5,Decreased by $0.5B from 1Q23.,Increased by $0.6B from 2Q22.,2.9,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Net income,6,Decreased by $0.5B from 1Q23.,Increased by $3.4B from 2Q22.,14.5,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Net income applicable to common stockholders,7,Decreased by $0.6B from 1Q23.,Increased by $3.4B from 2Q22.,14.0,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
EPS - diluted,8,Decreased by $0.15 from 1Q23.,Increased by $1.19 from 2Q22.,4.75,,,,,,USD,3,Financial Results,Q2_2023,2023-07-14
ROE,9,Increased by 2 percentage points from 18% in 1Q23.,Increased by 7 percentage points from 13% in 2Q22.,20.0,18.0,13.0,,,,%,3,Financial Results,Q2_2023,2023-07-14
ROTCE,10,Increased by 2 percentage points from 23% in 1Q23.,Increased by 8 percentage points from 17% in 2Q22.,25.0,23.0,17.0,,,,%,3,Financial Results,Q2_2023,2023-07-14
Overhead ratio – managed,11,Decreased by 2 percentage points from 51% in 1Q23.,Decreased by 10 percentage points from 59% in 2Q22.,49.0,51.0,59.0,,,,%,3,Financial Results,Q2_2023,2023-07-14
Memo: NII excluding Markets,12,Increased by $0.5B from 1Q23.,Increased by $7.8B from 2Q22.,22.4,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Memo: NIR excluding Markets,13,Decreased by $0.2B from 1Q23.,Decreased by $0.3B from 2Q22.,13.0,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Memo: Markets revenue,14,Decreased by $1.4B from 1Q23.,Decreased by $0.8B from 2Q22.,7.0,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Memo: Adjusted expense,15,Decreased by $0.1B from 1Q23.,Increased by $1.1B from 2Q22.,20.4,,,,,,$B,3,Financial Results,Q2_2023,2023-07-14
Memo: Adjusted overhead ratio,16,Decreased by 3 percentage points from 51% in 1Q23.,Decreased by 11 percentage points from 59% in 2Q22.,48.0,51.0,59.0,,,,%,3,Financial Results,Q2_2023,2023-07-14
CET1 capital,1,Increased from $227B in 1Q23.,Increased from $207B in 2Q22.,236.0,227.0,207.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
CET1 capital ratio - Standardized,2,Remained flat at 13.8% compared to 1Q23.,Increased from 12.2% in 2Q22.,13.8,13.8,12.2,,,,%,4,Financial Results,Q2_2023,2023-07-14
CET1 capital ratio - Advanced,3,Remained flat at 13.9% compared to 1Q23.,Increased from 12.9% in 2Q22.,13.9,13.9,12.9,,,,%,4,Financial Results,Q2_2023,2023-07-14
Basel III Standardized RWA,4,"Increased from $1,647B in 1Q23.","Increased from $1,705B in 2Q22.",1711.0,1647.0,1705.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
Firm SLR,1,Decreased from 5.9% in 1Q23.,Increased from 5.3% in 2Q22.,5.8,5.9,5.3,,,,%,4,Financial Results,Q2_2023,2023-07-14
Firm LCR,1,Decreased from 114% in 1Q23.,Increased from 110% in 2Q22.,112.0,114.0,110.0,,,,%,4,Financial Results,Q2_2023,2023-07-14
Bank LCR,2,Decreased from 140% in 1Q23.,Decreased from 169% in 2Q22.,129.0,140.0,169.0,,,,%,4,Financial Results,Q2_2023,2023-07-14
Total excess HQLA,3,Decreased from $368B in 1Q23.,Decreased from $554B in 2Q22.,296.0,368.0,554.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
HQLA and unencumbered marketable securities,4,"Decreased from $1,459B in 1Q23.","Decreased from $1,547B in 2Q22.",1411.0,1459.0,1547.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
Total assets (EOP),1,"Increased from $3,744B in 1Q23.","Increased from $3,841B in 2Q22.",3868.0,3744.0,3841.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
Deposits (average),2,"Increased from $2,320B in 1Q23.","Decreased from $2,532B in 2Q22.",2387.0,2320.0,2532.0,,,,$B,4,Financial Results,Q2_2023,2023-07-14
Tangible book value per share,3,Increased from $76.69 in 1Q23.,Increased from $69.53 in 2Q22.,79.9,76.69,69.53,,,,USD,4,Financial Results,Q2_2023,2023-07-14
Revenue,1,,,17233.0,,,,,,$MM,5,Financial Results,Q2_2023,2023-07-14
Banking & Wealth Management,2,,,10936.0,,,,,,$MM,5,Financial Results,Q2_2023,2023-07-14
Home Lending,3,,,1007.0,,,,,,$MM,5,Financial Results,Q2_2023,2023-07-14
Card Services & Auto,4,,,5290.0,,,,,,$MM,5,Financial Results,Q2_2023,2023-07-14
