text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
Return on Tangible Common Equity (ROTCE) was 15%.,quarter,3,Financial Results,Q4_2023,2024-01-12
CET1 capital ratios were 15.0% for both Standardized and Advanced.,quarter,3,Financial Results,Q4_2023,2024-01-12
Total Loss-Absorbing Capacity was $514B.,quarter,3,Financial Results,Q4_2023,2024-01-12
Standardized Risk-Weighted Assets (RWA) were $1.7T.,quarter,3,Financial Results,Q4_2023,2024-01-12
Cash and marketable securities stood at $1.4T.,quarter,3,Financial Results,Q4_2023,2024-01-12
Average loans were $1.3T.,quarter,3,Financial Results,Q4_2023,2024-01-12
4Q23 net income was $9.3B and EPS was $3.04.,quarter,3,Financial Results,Q4_2023,2024-01-12
"Excluding significant items, 4Q23 net income was $12.1B, EPS was $3.97 and ROTCE was 19%.",quarter,3,Financial Results,Q4_2023,2024-01-12
Managed revenue was $39.9B.,quarter,3,Financial Results,Q4_2023,2024-01-12
Expense was $24.5B and managed overhead ratio was 61%.,quarter,3,Financial Results,Q4_2023,2024-01-12
Average loans of $1.3T were up 17% YoY and 1% QoQ.,quarter,3,Financial Results,Q4_2023,2024-01-12
"Excluding First Republic, average loans of $1.2T were up 4% YoY and 1% QoQ.",quarter,3,Financial Results,Q4_2023,2024-01-12
Average deposits of $2.4T were flat YoY and up 1% QoQ.,quarter,3,Financial Results,Q4_2023,2024-01-12
"Excluding First Republic, average deposits of $2.3T were down 3% YoY and up 1% QoQ.",quarter,3,Financial Results,Q4_2023,2024-01-12
CET1 capital was $251B.,quarter,3,Financial Results,Q4_2023,2024-01-12
Distributed common dividend of $3.1B or $1.05 per share.,quarter,3,Financial Results,Q4_2023,2024-01-12
Completed $2.0B of common stock net repurchases.,quarter,3,Financial Results,Q4_2023,2024-01-12
Net payout for the last twelve months (LTM) was 41%.,quarter,3,Financial Results,Q4_2023,2024-01-12
"Net income (ex. FR) was $4.4B, down 3% YoY.",quarter,7,Financial Results,Q4_2023,2024-01-12
"Revenue (ex. FR) was $17.0B, up 8% YoY, predominantly driven by higher net interest income.",quarter,7,Financial Results,Q4_2023,2024-01-12
"Expense (ex. FR) was $8.7B, up 10% YoY, driven by higher compensation and investments.",quarter,7,Financial Results,Q4_2023,2024-01-12
"Credit costs (ex. FR) were $2.2B, with NCOs of $1.6B up $791mm YoY and a net reserve build of $538mm.",quarter,7,Financial Results,Q4_2023,2024-01-12
Ex. FR: Average loans were up 6% YoY and 1% QoQ.,quarter,7,Financial Results,Q4_2023,2024-01-12
Ex. FR: Average deposits were down 8% YoY and 3% QoQ.,quarter,7,Financial Results,Q4_2023,2024-01-12
Ex. FR: Active mobile customers were up 8% YoY.,quarter,7,Financial Results,Q4_2023,2024-01-12
Ex. FR: Debit & credit card sales volume was up 7% YoY.,quarter,7,Financial Results,Q4_2023,2024-01-12
Ex. FR: Client investment assets were up 25% YoY and 9% QoQ.,quarter,7,Financial Results,Q4_2023,2024-01-12
