text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
ROTCE was 19% for the quarter.,quarter,1,Financial Results,Q3_2024,2024-10-11
CET1 capital ratios were 15.3% (Standardized) and 15.5% (Advanced).,quarter,1,Financial Results,Q3_2024,2024-10-11
Total Loss-Absorbing Capacity stood at $544B.,quarter,1,Financial Results,Q3_2024,2024-10-11
"Standardized RWA was $1.8T, Cash and marketable securities were $1.5T, and Average loans were $1.3T.",quarter,1,Financial Results,Q3_2024,2024-10-11
"Income statement: 3Q24 net income was $12.9B with EPS of $4.37. Managed revenue was $43.3B, and expense was $22.6B, resulting in a managed overhead ratio of 52%.",quarter,1,Financial Results,Q3_2024,2024-10-11
Balance sheet: Average loans of $1.3T were up 1% YoY and QoQ. Average deposits of $2.4T were up 1% YoY and QoQ. CET1 capital was $273B.,quarter,1,Financial Results,Q3_2024,2024-10-11
"Capital distributed: The company distributed a common dividend of $3.6B ($1.25 per share) and made $6.0B of common stock net repurchases, with a net payout LTM of 54%.",quarter,1,Financial Results,Q3_2024,2024-10-11
"Net income was $4.0B, down 31% YoY.",quarter,4,Financial Results,Q3_2024,2024-10-11
"Revenue was $17.8B, down 3% YoY, largely driven by lower net interest income.",quarter,4,Financial Results,Q3_2024,2024-10-11
"Expense of $9.6B was up 5% YoY, predominantly driven by higher compensation and marketing investments.",quarter,4,Financial Results,Q3_2024,2024-10-11
"Credit costs were $2.8B, with NCOs of $1.9B (up $520mm YoY) and a net reserve build of $876mm, mainly in Card Services.",quarter,4,Financial Results,Q3_2024,2024-10-11
Average loans increased 1% YoY and were flat QoQ.,quarter,4,Financial Results,Q3_2024,2024-10-11
Average deposits decreased 8% YoY and 2% QoQ.,quarter,4,Financial Results,Q3_2024,2024-10-11
EOP deposits decreased 7% YoY and 1% QoQ.,quarter,4,Financial Results,Q3_2024,2024-10-11
Active mobile customers grew by 7% YoY.,quarter,4,Financial Results,Q3_2024,2024-10-11
Debit & credit card sales volume was up 6% YoY.,quarter,4,Financial Results,Q3_2024,2024-10-11
Client investment assets rose 21% YoY and 5% QoQ.,quarter,4,Financial Results,Q3_2024,2024-10-11
"Net income was $5.7B, up 13% YoY, and revenue was $17.0B, up 8% YoY.",quarter,5,Financial Results,Q3_2024,2024-10-11
"Banking & Payments revenue highlights include: IB revenue of $2.4B (up 29% YoY), Payments revenue of $4.4B (up 4% YoY), and Lending revenue of $1.9B (down 2% YoY).",quarter,5,Financial Results,Q3_2024,2024-10-11
"Markets & Securities Services revenue reached $7.2B (up 8% YoY), driven by strong performance in Equity Markets (up 27% YoY), while Fixed Income Markets was flat YoY. Securities Services revenue was $1.3B (up 9% YoY).",quarter,5,Financial Results,Q3_2024,2024-10-11
"Expense of $8.8B was down 1% YoY, driven by lower legal expense.",quarter,5,Financial Results,Q3_2024,2024-10-11
"Credit costs were $316mm, with a net reserve build of $160mm and NCOs of $156mm.",quarter,5,Financial Results,Q3_2024,2024-10-11
"Net income was $1.4B, down 5% YoY.",quarter,6,Financial Results,Q3_2024,2024-10-11
"Revenue of $5.4B was up 9% YoY, driven by growth in management fees, strong net inflows, and higher brokerage activity.",quarter,6,Financial Results,Q3_2024,2024-10-11
"Expense of $3.6B increased 16% YoY, due to higher compensation and growth in private banking advisor teams.",quarter,6,Financial Results,Q3_2024,2024-10-11
"AUM of $3.9T and client assets of $5.7T were both up 23% YoY, driven by higher market levels and continued net inflows. For the quarter, AUM had long-term net inflows of $72B and liquidity net inflows of $34B.",quarter,6,Financial Results,Q3_2024,2024-10-11
Average loans of $229B were up 2% YoY and QoQ.,quarter,6,Financial Results,Q3_2024,2024-10-11
"Average deposits of $236B were up 17% YoY and 4% QoQ, including deposits from the First Republic allocation.",quarter,6,Financial Results,Q3_2024,2024-10-11
"Revenue was $3.1B, an increase of $1.5B YoY.",quarter,7,Financial Results,Q3_2024,2024-10-11
"Net interest income was $2.9B, up $932mm YoY, predominantly driven by the impact of balance sheet mix and securities reinvestment.",quarter,7,Financial Results,Q3_2024,2024-10-11
"Noninterest revenue was $155mm, a significant improvement compared with a net loss of $425mm in the prior year, primarily due to lower net investment securities losses.",quarter,7,Financial Results,Q3_2024,2024-10-11
"Expense was $589mm, down $107mm YoY.",quarter,7,Financial Results,Q3_2024,2024-10-11
"The company expects FY2024 net interest income of ~$92.5B, which is market dependent. Based on the 3Q24 YTD result of $69.6B, this implies a 4Q24 NII of ~$22.9B.",quarter,8,Outlook,Q3_2024,2024-10-11
"The company expects FY2024 net interest income excluding Markets of ~$91.5B, market dependent. Based on the 3Q24 YTD result of $69.4B, this implies a 4Q24 NII excluding Markets of ~$22.1B.",quarter,8,Outlook,Q3_2024,2024-10-11
"The company expects FY2024 adjusted expense of ~$91.5B, which is market dependent. Based on the 3Q24 YTD result of $68.5B, this implies a 4Q24 adjusted expense of ~$23.0B.",quarter,8,Outlook,Q3_2024,2024-10-11
Adjusted expense excludes Firmwide legal expense and includes the increase to the FDIC special assessment in 1Q24 and the Foundation contribution in 2Q24.,quarter,8,Outlook,Q3_2024,2024-10-11
The company expects a FY2024 Card Services NCO rate of ~3.4%.,quarter,8,Outlook,Q3_2024,2024-10-11
"The Firm's results are analyzed on a 'managed' basis, a non-GAAP measure which adjusts for tax-exempt items to allow for better comparability of revenue.",quarter,9,Glossary,Q3_2024,2024-10-11
"Metrics excluding Markets, such as NII and NIR, are also non-GAAP measures used to assess lending, investing, and deposit-raising activities separate from the volatility of Markets activities.",quarter,9,Glossary,Q3_2024,2024-10-11
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP measures used to assess the Firm's use of equity.",quarter,9,Glossary,Q3_2024,2024-10-11
Adjusted expense and adjusted overhead ratio are non-GAAP measures that exclude Firmwide legal expense to provide an alternate view of performance.,quarter,9,Glossary,Q3_2024,2024-10-11
"CET1 capital and Total Loss-Absorbing Capacity calculations reflect the Current Expected Credit Losses ('CECL') capital transition provisions, which provided a benefit of $720mm as of September 30, 2024 and June 30, 2024, and a $1.4B benefit as of September 30, 2023.",quarter,10,Footnotes,Q3_2024,2024-10-11
Total excess high-quality liquid assets ('HQLA') represents the average eligible unencumbered liquid assets in excess of requirements under the LCR rule.,quarter,10,Footnotes,Q3_2024,2024-10-11
"In the fourth quarter of 2023, certain deposits associated with First Republic were transferred from CCB to AWM and CIB.",quarter,10,Footnotes,Q3_2024,2024-10-11
"Notes for Slide 4 (Consumer & Community Banking): 'Actual numbers for all periods, not over/(under)' is a clarification. 'Users of all mobile platforms who have logged in within the past 90 days' defines active mobile users. Commercial Card is excluded from certain volumes. Firmwide mortgage origination volumes for recent quarters are provided.",quarter,11,Footnotes,Q3_2024,2024-10-11
"Notes for Slide 5 (Commercial & Investment Bank): The Firm reorganized its segments in 2Q24, combining Corporate & Investment Bank and Commercial Banking into a single CIB segment. 'Client deposits' pertain to Payments and Securities Services businesses. Certain loans are excluded from the net charge-off rate calculation.",quarter,11,Footnotes,Q3_2024,2024-10-11
This presentation contains forward-looking statements that are based on current expectations and are subject to significant risks and uncertainties.,quarter,12,Footnotes,Q3_2024,2024-10-11
Actual results may differ materially from those set forth in the forward-looking statements.,quarter,12,Footnotes,Q3_2024,2024-10-11
"Factors that could cause differences are detailed in the company's SEC filings, including the Annual Report on Form 10-K and Quarterly Report on Form 10-Q.",quarter,12,Footnotes,Q3_2024,2024-10-11
JPMorgan Chase & Co. does not undertake to update any forward-looking statements.,quarter,12,Footnotes,Q3_2024,2024-10-11
