row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net gain related to Visa shares - Pretax,1,,,7857.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Net gain related to Visa shares - Net income,1,,,5959.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Net gain related to Visa shares - EPS,1,,,2.04,,,,,,USD,2,Financial Results,Q2_2024,2024-07-12
Donation of Visa shares to pre-fund contributions to the Firm's Foundation - Pretax,2,,,-1000.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Donation of Visa shares to pre-fund contributions to the Firm's Foundation - Net income,2,,,-524.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Donation of Visa shares to pre-fund contributions to the Firm's Foundation - EPS,2,,,-0.18,,,,,,USD,2,Financial Results,Q2_2024,2024-07-12
Net investment securities losses - Pretax,3,,,-546.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Net investment securities losses - Net income,3,,,-414.0,,,,,,$MM,2,Financial Results,Q2_2024,2024-07-12
Net investment securities losses - EPS,3,,,-0.14,,,,,,USD,2,Financial Results,Q2_2024,2024-07-12
Net interest income,1,Decreased by $0.3B from 1Q24,Increased by $1.0B from 2Q23,22.9,23.2,21.9,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Noninterest revenue,2,Increased by $8.8B from 1Q24,Increased by $7.6B from 2Q23,28.1,19.3,20.5,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Managed revenue,3,Increased by $8.4B from 1Q24,Increased by $8.6B from 2Q23,51.0,42.6,42.4,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Expense,4,Increased by $1.0B from 1Q24,Increased by $2.9B from 2Q23,23.7,22.7,20.8,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Credit costs,5,Increased by $1.2B from 1Q24,Increased by $0.2B from 2Q23,3.1,1.9,2.9,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Net income,6,Increased by $4.7B from 1Q24,Increased by $3.7B from 2Q23,18.1,13.4,14.4,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Net income applicable to common stockholders,7,Increased by $4.8B from 1Q24,Increased by $3.7B from 2Q23,17.7,12.9,14.0,,,,$B,3,Financial Results,Q2_2024,2024-07-12
EPS - diluted,8,Increased by $1.68 from 1Q24,Increased by $1.37 from 2Q23,6.12,4.44,4.75,,,,USD,3,Financial Results,Q2_2024,2024-07-12
ROE,9,Increased by 17% from 1Q24,Increased by 20% from 2Q23,23.0,6.0,3.0,,,,%,3,Financial Results,Q2_2024,2024-07-12
ROTCE,10,Increased by 21% from 1Q24,Increased by 25% from 2Q23,28.0,7.0,3.0,,,,%,3,Financial Results,Q2_2024,2024-07-12
Overhead ratio – managed,11,Decreased by 6% from 1Q24,Decreased by 2% from 2Q23,47.0,53.0,49.0,,,,%,3,Financial Results,Q2_2024,2024-07-12
Memo: NII excluding Markets,12,Decreased by $0.1B from 1Q24,Increased by $0.6B from 2Q23,22.9,23.0,22.3,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Memo: NIR excluding Markets,13,Increased by $8.7B from 1Q24,Increased by $7.3B from 2Q23,20.3,11.6,13.0,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Memo: Markets revenue,14,Decreased by $0.2B from 1Q24,Increased by $0.7B from 2Q23,7.8,8.0,7.1,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Memo: Managed revenue,15,Increased by $8.4B from 1Q24,Increased by $8.6B from 2Q23,51.0,42.6,42.4,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Memo: Adjusted expense,16,Increased by $0.6B from 1Q24,Increased by $3.0B from 2Q23,23.4,22.8,20.4,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Memo: Adjusted overhead ratio,17,Decreased by 8% from 1Q24,Decreased by 2% from 2Q23,46.0,54.0,48.0,,,,%,3,Financial Results,Q2_2024,2024-07-12
Net charge-offs,1,Increased by $0.2B from 1Q24,Increased by $0.8B from 2Q23,2.2,2.0,1.4,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Reserve build/(release),2,Increased by $0.9B from 1Q24,Decreased by $0.7B from 2Q23,0.8,-0.1,1.5,,,,$B,3,Financial Results,Q2_2024,2024-07-12
Credit costs,3,Increased by $1.2B from 1Q24,Increased by $0.2B from 2Q23,3.1,1.9,2.9,,,,$B,3,Financial Results,Q2_2024,2024-07-12
ROE - CCB,1,,,30.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
ROE - CIB,2,,,17.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
ROE - AWM,3,,,32.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
O/H ratio - CCB,1,,,53.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
O/H ratio - CIB,2,,,51.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
O/H ratio - AWM,3,,,67.0,,,,,,%,3,Financial Results,Q2_2024,2024-07-12
Risk-based capital metrics: CET1 capital,1,Increased by $9B from 1Q24,Increased by $31B from 2Q23,267.0,258.0,236.0,,,,$B,4,Financial Results,Q2_2024,2024-07-12
Risk-based capital metrics: CET1 capital ratio – Standardized,2,Increased by 0.3% from 1Q24,Increased by 1.5% from 2Q23,15.3,15.0,13.8,,,,%,4,Financial Results,Q2_2024,2024-07-12
Risk-based capital metrics: CET1 capital ratio – Advanced,3,Increased by 0.2% from 1Q24,Increased by 1.6% from 2Q23,15.5,15.3,13.9,,,,%,4,Financial Results,Q2_2024,2024-07-12
Risk-based capital metrics: Basel III Standardized RWA,4,Increased by $31B from 1Q24,Increased by $36B from 2Q23,1743.0,1712.0,1707.0,,,,$B,4,Financial Results,Q2_2024,2024-07-12
Leverage-based capital metric: Firm SLR,5,Remained flat from 1Q24,Increased by 0.3% from 2Q23,6.1,6.1,5.8,,,,%,4,Financial Results,Q2_2024,2024-07-12
Liquidity metrics: Firm LCR,6,Remained flat from 1Q24,Remained flat from 2Q23,112.0,112.0,112.0,,,,%,4,Financial Results,Q2_2024,2024-07-12
Liquidity metrics: Bank LCR,7,Decreased by 4% from 1Q24,Decreased by 4% from 2Q23,125.0,129.0,129.0,,,,%,4,Financial Results,Q2_2024,2024-07-12
Liquidity metrics: Total excess HQLA,8,Decreased by $32B from 1Q24,Decreased by $21B from 2Q23,275.0,307.0,296.0,,,,$B,4,Financial Results,Q2_2024,2024-07-12
