row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Increase to the FDIC special assessment in Corporate - Pretax,1,,,-725.0,,,,,,$MM,2,Financial Results,Q1_2024,2024-04-12
Increase to the FDIC special assessment in Corporate - Net income,2,,,-550.0,,,,,,$MM,2,Financial Results,Q1_2024,2024-04-12
Increase to the FDIC special assessment in Corporate - EPS,3,,,-0.19,,,,,,USD,2,Financial Results,Q1_2024,2024-04-12
Net interest income,1,Decreased by $1.0B from $22.9B in 4Q23.,Increased by $1.0B from $22.2B in 1Q23.,23.2,22.9,22.2,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Noninterest revenue,2,Increased by $3.8B from $15.5B in 4Q23.,Increased by $0.5B from $18.8B in 1Q23.,19.3,15.5,18.8,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Managed revenue,3,Increased by $2.8B from $39.7B in 4Q23.,Increased by $1.5B from $41.0B in 1Q23.,42.5,39.7,41.0,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Expense,4,Decreased by $1.6B from $24.4B in 4Q23.,Increased by $1.8B from $21.0B in 1Q23.,22.8,24.4,21.0,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Credit costs,5,Decreased by $0.7B from $2.6B in 4Q23.,Decreased by $0.4B from $2.3B in 1Q23.,1.9,2.6,2.3,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Net income,6,Increased by $4.1B from $9.3B in 4Q23.,Increased by $0.1B from $13.3B in 1Q23.,13.4,9.3,13.3,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Net income applicable to common stockholders,7,Increased by $4.1B from $8.8B in 4Q23.,Increased by $0.1B from $12.8B in 1Q23.,12.9,8.8,12.8,,,,$B,3,Financial Results,Q1_2024,2024-04-12
EPS - diluted,8,Increased by $1.39 from $3.05 in 4Q23.,Increased by $0.11 from $4.33 in 1Q23.,4.44,3.05,4.33,,,,USD,3,Financial Results,Q1_2024,2024-04-12
ROE,9,Increased to 17% from 11% in 4Q23.,Decreased to 17% from 18% in 1Q23.,17.0,11.0,18.0,,,,%,3,Financial Results,Q1_2024,2024-04-12
ROTCE,10,Increased to 21% from 14% in 4Q23.,Decreased to 21% from 23% in 1Q23.,21.0,14.0,23.0,,,,%,3,Financial Results,Q1_2024,2024-04-12
Overhead ratio – managed,11,Decreased to 53% from 62% in 4Q23.,Increased to 53% from 51% in 1Q23.,53.0,62.0,51.0,,,,%,3,Financial Results,Q1_2024,2024-04-12
Net charge-offs,1,Decreased from $2.2B in 4Q23.,Increased from $1.1B in 1Q23.,2.0,2.2,1.1,,,,$B,3,Financial Results,Q1_2024,2024-04-12
Reserve build/(release),2,Decreased from a build of $0.6B in 4Q23 to a release of $0.1B.,Decreased from a build of $1.1B in 1Q23 to a release of $0.1B.,-0.1,0.6,1.1,,,,$B,3,Financial Results,Q1_2024,2024-04-12
CET1 capital,1,Increased from $251B in 4Q23.,Increased from $227B in 1Q23.,258.0,251.0,227.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
CET1 capital ratio - Standardized,2,Remained flat at 15.0% from 4Q23.,Increased from 13.8% in 1Q23.,15.0,15.0,13.8,,,,%,4,Financial Results,Q1_2024,2024-04-12
CET1 capital ratio - Advanced,3,Increased from 15.0% in 4Q23.,Increased from 13.9% in 1Q23.,15.3,15.0,13.9,,,,%,4,Financial Results,Q1_2024,2024-04-12
Basel III Standardized RWA,4,"Increased from $1,672B in 4Q23.","Increased from $1,647B in 1Q23.",1716.0,1672.0,1647.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
Firm SLR,5,Remained flat at 6.1% from 4Q23.,Increased from 5.9% in 1Q23.,6.1,6.1,5.9,,,,%,4,Financial Results,Q1_2024,2024-04-12
Firm LCR,6,Decreased from 113% in 4Q23.,Decreased from 114% in 1Q23.,112.0,113.0,114.0,,,,%,4,Financial Results,Q1_2024,2024-04-12
Bank LCR,7,Remained flat at 129% from 4Q23.,Decreased from 140% in 1Q23.,129.0,129.0,140.0,,,,%,4,Financial Results,Q1_2024,2024-04-12
Total excess HQLA,8,Decreased from $309B in 4Q23.,Decreased from $368B in 1Q23.,307.0,309.0,368.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
HQLA and unencumbered marketable securities,9,"Increased from $1,447B in 4Q23.","Increased from $1,459B in 1Q23.",1496.0,1447.0,1459.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
Total assets (EOP),10,"Increased from $3,875B in 4Q23.","Increased from $3,744B in 1Q23.",4091.0,3875.0,3744.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
Deposits (average),11,"Increased from $2,372B in 4Q23.","Increased from $2,320B in 1Q23.",2375.0,2372.0,2320.0,,,,$B,4,Financial Results,Q1_2024,2024-04-12
Tangible book value per share,12,Increased from $86.08 in 4Q23.,Increased from $76.69 in 1Q23.,88.43,86.08,76.69,,,,USD,4,Financial Results,Q1_2024,2024-04-12
Revenue (ex. FR),1,"Decreased by $384MM from $17,006MM in 4Q23.","Increased by $166MM from $16,456MM in 1Q23.",16622.0,17006.0,16456.0,,,,$MM,5,Financial Results,Q1_2024,2024-04-12
Expense (ex. FR),2,"Increased by $42MM from $8,737MM in 4Q23.","Increased by $714MM from $8,065MM in 1Q23.",8779.0,8737.0,8065.0,,,,$MM,5,Financial Results,Q1_2024,2024-04-12
Credit costs (ex. FR),3,"Decreased by $252MM from $2,174MM in 4Q23.","Increased by $520MM from $1,402MM in 1Q23.",1922.0,2174.0,1402.0,,,,$MM,5,Financial Results,Q1_2024,2024-04-12
Net income (ex. FR),4,"Increased by $11MM from $4,425MM in 4Q23.","Decreased by $807MM from $5,243MM in 1Q23.",4436.0,4425.0,5243.0,,,,$MM,5,Financial Results,Q1_2024,2024-04-12
Average equity (ex. FR),1,Decreased from $52.0B in 4Q23.,Decreased from $52.0B in 1Q23.,51.0,52.0,52.0,,,,$B,5,Financial Results,Q1_2024,2024-04-12
ROE (ex. FR),2,Increased from 33% in 4Q23.,Decreased from 40% in 1Q23.,34.0,33.0,40.0,,,,%,5,Financial Results,Q1_2024,2024-04-12
Overhead ratio (ex. FR),3,Increased from 51% in 4Q23.,Increased from 49% in 1Q23.,53.0,51.0,49.0,,,,%,5,Financial Results,Q1_2024,2024-04-12
Average loans (ex. FR),4,Increased from $476.7B in 4Q23.,Increased from $449.8B in 1Q23.,476.9,476.7,449.8,,,,$B,5,Financial Results,Q1_2024,2024-04-12
Average deposits (ex. FR),5,"Decreased from $1,049.6B in 4Q23.","Decreased from $1,113.0B in 1Q23.",1038.7,1049.6,1113.0,,,,$B,5,Financial Results,Q1_2024,2024-04-12
Active mobile customers,6,Increased from 53.8 million in 4Q23.,Increased from 50.9 million in 1Q23.,54.7,53.8,50.9,,,,millions,5,Financial Results,Q1_2024,2024-04-12
Debit & credit card sales volume,7,Decreased from $440.5B in 4Q23.,Increased from $387.3B in 1Q23.,420.2,440.5,387.3,,,,$B,5,Financial Results,Q1_2024,2024-04-12
Revenue,1,"Increased by $2,675MM from $10,958MM in 4Q23.","Increased by $33MM from $13,600MM in 1Q23.",13633.0,10958.0,13600.0,,,,$MM,6,Financial Results,Q1_2024,2024-04-12
Expense,2,"Increased by $444MM from $6,774MM in 4Q23.","Decreased by $265MM from $7,483MM in 1Q23.",7218.0,6774.0,7483.0,,,,$MM,6,Financial Results,Q1_2024,2024-04-12
Credit costs,3,Decreased by $178MM from a cost of $210MM in 4Q23.,Decreased by $26MM from a cost of $58MM in 1Q23.,32.0,210.0,58.0,,,,$MM,6,Financial Results,Q1_2024,2024-04-12
Net income,4,"Increased by $2,229MM from $2,524MM in 4Q23.","Increased by $332MM from $4,421MM in 1Q23.",4753.0,2524.0,4421.0,,,,$MM,6,Financial Results,Q1_2024,2024-04-12
Equity,1,Decreased from $108.0B in 4Q23.,Decreased from $108.0B in 1Q23.,102.0,108.0,108.0,,,,$B,6,Financial Results,Q1_2024,2024-04-12
ROE,2,Increased from 9% in 4Q23.,Increased from 16% in 1Q23.,18.0,9.0,16.0,,,,%,6,Financial Results,Q1_2024,2024-04-12
Overhead ratio,3,Decreased from 62% in 4Q23.,Decreased from 55% in 1Q23.,53.0,62.0,55.0,,,,%,6,Financial Results,Q1_2024,2024-04-12
Average loans,4,Increased from $233.3B in 4Q23.,Increased from $228.1B in 1Q23.,235.2,233.3,228.1,,,,$B,6,Financial Results,Q1_2024,2024-04-12
Average client deposits,5,Increased from $660.8B in 4Q23.,Increased from $633.7B in 1Q23.,665.9,660.8,633.7,,,,$B,6,Financial Results,Q1_2024,2024-04-12
Assets under custody,6,Increased from $32.4T in 4Q23.,Increased from $29.7T in 1Q23.,34.0,32.4,29.7,,,,$T,6,Financial Results,Q1_2024,2024-04-12
Revenue (ex. FR),1,"Decreased by $56MM from $3,655MM in 4Q23.","Increased by $88MM from $3,511MM in 1Q23.",3599.0,3655.0,3511.0,,,,$MM,7,Financial Results,Q1_2024,2024-04-12
Expense (ex. FR),2,"Increased by $110MM from $1,368MM in 4Q23.","Increased by $170MM from $1,308MM in 1Q23.",1478.0,1368.0,1308.0,,,,$MM,7,Financial Results,Q1_2024,2024-04-12
Credit costs (ex. FR),3,Decreased by $304MM from a cost of $269MM in 4Q23 to a benefit of $35MM.,Decreased by $452MM from a cost of $417MM in 1Q23 to a benefit of $35MM.,-35.0,269.0,417.0,,,,$MM,7,Financial Results,Q1_2024,2024-04-12
Net income (ex. FR),4,"Increased by $153MM from $1,473MM in 4Q23.","Increased by $279MM from $1,347MM in 1Q23.",1626.0,1473.0,1347.0,,,,$MM,7,Financial Results,Q1_2024,2024-04-12
Average equity (ex. FR),1,Flat at $28.5B from 4Q23.,Flat at $28.5B from 1Q23.,28.5,28.5,28.5,,,,$B,7,Financial Results,Q1_2024,2024-04-12
ROE (ex. FR),2,Increased from 20% in 4Q23.,Increased from 18% in 1Q23.,22.0,20.0,18.0,,,,%,7,Financial Results,Q1_2024,2024-04-12
Average loans (ex. FR),3,Decreased from $242.0B in 4Q23.,Increased from $238.0B in 1Q23.,241.0,242.0,238.0,,,,$B,7,Financial Results,Q1_2024,2024-04-12
Average client deposits (ex. FR),4,Decreased from $262.1B in 4Q23.,Decreased from $265.9B in 1Q23.,258.6,262.1,265.9,,,,$B,7,Financial Results,Q1_2024,2024-04-12
Revenue (ex. FR),1,"Increased by $79MM from $4,663MM in 4Q23.","Decreased by $42MM from $4,784MM in 1Q23.",4742.0,4663.0,4784.0,,,,$MM,8,Financial Results,Q1_2024,2024-04-12
Expense (ex. FR),2,"Increased by $72MM from $3,355MM in 4Q23.","Increased by $336MM from $3,091MM in 1Q23.",3427.0,3355.0,3091.0,,,,$MM,8,Financial Results,Q1_2024,2024-04-12
Credit costs (ex. FR),3,Decreased by $17MM from a benefit of $14MM in 4Q23 to a benefit of $31MM.,Decreased by $59MM from a cost of $28MM in 1Q23 to a benefit of $31MM.,-31.0,-14.0,28.0,,,,$MM,8,Financial Results,Q1_2024,2024-04-12
Net income (ex. FR),4,Increased by $93MM from $925MM in 4Q23.,"Decreased by $349MM from $1,367MM in 1Q23.",1018.0,925.0,1367.0,,,,$MM,8,Financial Results,Q1_2024,2024-04-12
Average equity (ex. FR),1,Decreased from $16.0B in 4Q23.,Decreased from $16.0B in 1Q23.,14.5,16.0,16.0,,,,$B,8,Financial Results,Q1_2024,2024-04-12
ROE (ex. FR),2,Increased from 22% in 4Q23.,Decreased from 34% in 1Q23.,27.0,22.0,34.0,,,,%,8,Financial Results,Q1_2024,2024-04-12
"Assets under management (""AUM"")",3,"Increased from $3,422B in 4Q23.","Increased from $3,006B in 1Q23.",3564.0,3422.0,3006.0,,,,$B,8,Financial Results,Q1_2024,2024-04-12
Client assets (ex. FR),4,"Increased from $5,000B in 4Q23.","Increased from $4,347B in 1Q23.",5204.0,5000.0,4347.0,,,,$B,8,Financial Results,Q1_2024,2024-04-12
Average loans (ex. FR),5,Decreased from $215.3B in 4Q23.,Increased from $211.5B in 1Q23.,212.7,215.3,211.5,,,,$B,8,Financial Results,Q1_2024,2024-04-12
Average deposits (ex. FR),6,Decreased from $215.4B in 4Q23.,Decreased from $224.4B in 1Q23.,215.1,215.4,224.4,,,,$B,8,Financial Results,Q1_2024,2024-04-12
Revenue (ex. FR),1,"Increased by $509MM from $1,780MM in 4Q23.","Increased by $1,304MM from $985MM in 1Q23.",2289.0,1780.0,985.0,,,,$MM,9,Financial Results,Q1_2024,2024-04-12
Expense (ex. FR),2,"Decreased by $2,313MM from a cost of $3,362MM in 4Q23.",Increased by $889MM from $160MM in 1Q23.,1049.0,3362.0,160.0,,,,$MM,9,Financial Results,Q1_2024,2024-04-12
Credit costs (ex. FR),3,Decreased by $29MM from $56MM in 4Q23.,Decreased by $343MM from a cost of $370MM in 1Q23.,27.0,56.0,370.0,,,,$MM,9,Financial Results,Q1_2024,2024-04-12
Net income/(loss) (ex. FR),4,"Increased by $1,607MM from a loss of $689MM in 4Q23.",Increased by $674MM from an income of $244MM in 1Q23.,918.0,-689.0,244.0,,,,$MM,9,Financial Results,Q1_2024,2024-04-12
