row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net interest income,1,Reported Net Interest Income increased by $1.4B from the preceding quarter.,Reported Net Interest Income increased by $2.5B from the same quarter last year.,24.2,22.8,21.7,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Noninterest revenue,2,Reported Noninterest Revenue decreased by $1.8B from the preceding quarter.,Reported Noninterest Revenue was flat compared to the same quarter last year.,15.8,17.6,15.8,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Managed revenue,3,Reported Managed Revenue decreased by $0.4B from the preceding quarter.,Reported Managed Revenue increased by $2.5B from the same quarter last year.,39.9,40.3,37.4,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Expense,4,Reported Expense increased by $2.7B from the preceding quarter.,Reported Expense increased by $4.6B from the same quarter last year.,24.5,21.8,19.9,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Credit costs,5,Reported Credit Costs increased by $1.2B from the preceding quarter.,Reported Credit Costs increased by $0.3B from the same quarter last year.,2.8,1.6,2.5,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Net income,6,Reported Net Income decreased by $3.4B from the preceding quarter.,Reported Net Income decreased by $2.3B from the same quarter last year.,9.3,12.7,11.6,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Net income applicable to common stockholders,7,Reported Net Income applicable to common stockholders decreased by $3.4B from the preceding quarter.,Reported Net Income applicable to common stockholders decreased by $2.4B from the same quarter last year.,8.9,12.3,11.3,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
EPS - diluted,8,Reported EPS - diluted decreased by $1.15 from the preceding quarter.,Reported EPS - diluted decreased by $0.75 from the same quarter last year.,3.04,4.19,3.79,,,,USD,4,Financial Results,Q4_2023,2024-01-12
ROE,9,ROE decreased from 16% in 3Q23 to 12% in 4Q23.,ROE decreased from 16% in 4Q22 to 12% in 4Q23.,12.0,16.0,16.0,,,,%,4,Financial Results,Q4_2023,2024-01-12
ROTCE,10,ROTCE decreased from 20% in 3Q23 to 15% in 4Q23.,ROTCE decreased from 20% in 4Q22 to 15% in 4Q23.,15.0,20.0,20.0,,,,%,4,Financial Results,Q4_2023,2024-01-12
Overhead ratio – managed,11,Managed overhead ratio increased from 54% in 3Q23 to 61% in 4Q23.,Managed overhead ratio increased from 53% in 4Q22 to 61% in 4Q23.,61.0,54.0,53.0,,,,%,4,Financial Results,Q4_2023,2024-01-12
NII excluding Markets,12,NII excluding Markets increased by $0.5B from the preceding quarter.,NII excluding Markets increased by $2.2B from the same quarter last year.,23.6,23.1,21.4,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
NIR excluding Markets,13,NIR excluding Markets decreased by $0.1B from the preceding quarter.,NIR excluding Markets increased by $0.1B from the same quarter last year.,10.6,10.7,10.5,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Markets revenue,14,Markets revenue decreased by $0.8B from the preceding quarter.,Markets revenue increased by $0.1B from the same quarter last year.,5.8,6.6,5.7,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Managed revenue,15,Managed revenue decreased by $0.4B from the preceding quarter.,Managed revenue increased by $2.5B from the same quarter last year.,39.9,40.3,37.4,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Adjusted expense,16,Adjusted expense increased by $3.2B from the preceding quarter.,Adjusted expense increased by $4.4B from the same quarter last year.,24.3,21.1,19.9,,,,Billion USD,4,Financial Results,Q4_2023,2024-01-12
Adjusted overhead ratio,17,Adjusted overhead ratio increased from 53% in 3Q23 to 61% in 4Q23.,Adjusted overhead ratio increased from 53% in 4Q22 to 61% in 4Q23.,61.0,53.0,53.0,,,,%,4,Financial Results,Q4_2023,2024-01-12
Net interest income,1,,,,,,Increased by $22.6B from FY22.,89.7,67.1,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Noninterest revenue,2,,,,,,Increased by $7.5B from FY22.,72.6,65.1,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Managed revenue,3,,,,,,Increased by $30.1B from FY22.,162.4,132.3,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Expense,4,,,,,,Increased by $11.1B from FY22.,87.2,76.1,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Credit costs,5,,,,,,Increased by $2.9B from FY22.,9.3,6.4,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Net income,6,,,,,,Increased by $11.9B from FY22.,49.6,37.7,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Net income applicable to common stockholders,7,,,,,,Increased by $11.9B from FY22.,47.8,35.9,Billion USD,5,Financial Results,Q4_2023,2024-01-12
EPS - diluted,8,,,,,,Increased by $4.14 from FY22.,16.23,12.09,USD,5,Financial Results,Q4_2023,2024-01-12
ROE,9,,,,,,Increased by 3 percentage points from 14% in FY22.,17.0,14.0,%,5,Financial Results,Q4_2023,2024-01-12
ROTCE,10,,,,,,Increased by 3 percentage points from 18% in FY22.,21.0,18.0,%,5,Financial Results,Q4_2023,2024-01-12
Overhead ratio – managed,11,,,,,,Decreased by 4 percentage points from 58% in FY22.,54.0,58.0,%,5,Financial Results,Q4_2023,2024-01-12
NII excluding Markets,12,,,,,,Increased by $27.6B from FY22.,90.0,62.4,Billion USD,5,Financial Results,Q4_2023,2024-01-12
NIR excluding Markets,13,,,,,,Increased by $3.6B from FY22.,44.5,40.9,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Markets revenue,14,,,,,,Decreased by $1.2B from FY22.,27.8,29.0,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Managed revenue,15,,,,,,Increased by $30.1B from FY22.,162.4,132.3,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Adjusted expense,16,,,,,,Increased by $9.8B from FY22.,85.7,75.9,Billion USD,5,Financial Results,Q4_2023,2024-01-12
Adjusted overhead ratio,17,,,,,,Decreased by 4 percentage points from 57% in FY22.,53.0,57.0,%,5,Financial Results,Q4_2023,2024-01-12
CET1 capital,1,,,251.0,242.0,219.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
CET1 capital ratio - Standardized,2,,,15.0,14.3,13.2,,,,%,6,Financial Results,Q4_2023,2024-01-12
CET1 capital ratio - Advanced,3,,,15.0,14.5,13.6,,,,%,6,Financial Results,Q4_2023,2024-01-12
Basel III Standardized RWA,4,,,1676.0,1692.0,1654.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
Firm SLR,5,,,6.1,6.0,5.6,,,,%,6,Financial Results,Q4_2023,2024-01-12
Firm LCR,6,,,113.0,112.0,112.0,,,,%,6,Financial Results,Q4_2023,2024-01-12
Bank LCR,7,,,129.0,123.0,151.0,,,,%,6,Financial Results,Q4_2023,2024-01-12
Total excess HQLA,8,,,309.0,252.0,437.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
HQLA and unencumbered marketable securities,9,,,1447.0,1386.0,1429.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
Total assets (EOP),10,,,3875.0,3898.0,3666.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
Deposits (average),11,,,2372.0,2356.0,2380.0,,,,Billion USD,6,Financial Results,Q4_2023,2024-01-12
Tangible book value per share,12,,,86.08,82.04,73.12,,,,USD,6,Financial Results,Q4_2023,2024-01-12
Revenue,1,,,18097.0,18098.0,16884.0,,,,Million USD,7,Financial Results,Q4_2023,2024-01-12
Expense,2,,,9336.0,9121.0,8511.0,,,,Million USD,7,Financial Results,Q4_2023,2024-01-12
Credit costs,3,,,2189.0,1463.0,1860.0,,,,Million USD,7,Financial Results,Q4_2023,2024-01-12
Net income,4,,,4788.0,5670.0,4919.0,,,,Million USD,7,Financial Results,Q4_2023,2024-01-12
Average equity,1,,,55.5,52.0,50.0,,,,Billion USD,7,Financial Results,Q4_2023,2024-01-12
ROE,2,,,33.0,40.0,35.0,,,,%,7,Financial Results,Q4_2023,2024-01-12
Overhead ratio,3,,,52.0,50.0,50.0,,,,%,7,Financial Results,Q4_2023,2024-01-12
Average loans,4,,,571.2,470.0,448.5,,,,Billion USD,7,Financial Results,Q4_2023,2024-01-12
Average deposits,5,,,1092.4,1076.8,1142.5,,,,Billion USD,7,Financial Results,Q4_2023,2024-01-12
Active mobile customers (mm),6,,,53.8,53.2,49.7,,,,millions,7,Financial Results,Q4_2023,2024-01-12
Debit & credit card sales volume,7,,,441.0,425.8,411.1,,,,Billion USD,7,Financial Results,Q4_2023,2024-01-12
Revenue,1,,,10958.0,11730.0,10598.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Expense,2,,,6774.0,7443.0,6495.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Credit costs,3,,,210.0,-185.0,141.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Net income,4,,,2524.0,3092.0,3314.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Equity,1,,,108.0,108.0,103.0,,,,Billion USD,8,Financial Results,Q4_2023,2024-01-12
ROE,2,,,9.0,11.0,12.0,,,,%,8,Financial Results,Q4_2023,2024-01-12
Overhead ratio,3,,,62.0,63.0,61.0,,,,%,8,Financial Results,Q4_2023,2024-01-12
IB fees ($mm),4,,,1654.0,1717.0,1467.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Average loans,5,,,233.3,232.9,225.8,,,,Billion USD,8,Financial Results,Q4_2023,2024-01-12
Average client deposits,6,,,660.8,638.1,649.7,,,,Billion USD,8,Financial Results,Q4_2023,2024-01-12
Merchant processing volume,7,,,639.0,610.0,583.0,,,,Billion USD,8,Financial Results,Q4_2023,2024-01-12
Assets under custody ($T),8,,,32.4,29.7,28.6,,,,Trillion USD,8,Financial Results,Q4_2023,2024-01-12
Net charge-off/(recovery) rate,9,,,0.25,0.09,0.02,,,,%,8,Financial Results,Q4_2023,2024-01-12
Average VaR ($mm),10,,,32.0,38.0,60.0,,,,Million USD,8,Financial Results,Q4_2023,2024-01-12
Revenue,1,,,4016.0,4026.0,3765.0,,,,Million USD,9,Financial Results,Q4_2023,2024-01-12
Expense,2,,,1395.0,1384.0,1281.0,,,,Million USD,9,Financial Results,Q4_2023,2024-01-12
Credit costs,3,,,366.0,161.0,381.0,,,,Million USD,9,Financial Results,Q4_2023,2024-01-12
Net income,4,,,1653.0,1870.0,1603.0,,,,Million USD,9,Financial Results,Q4_2023,2024-01-12
Average equity,1,,,30.0,28.5,25.0,,,,Billion USD,9,Financial Results,Q4_2023,2024-01-12
ROE,2,,,21.0,23.0,22.0,,,,%,9,Financial Results,Q4_2023,2024-01-12
Overhead ratio,3,,,35.0,37.0,37.0,,,,%,9,Financial Results,Q4_2023,2024-01-12
Average loans,4,,,281.0,244.0,235.3,,,,Billion USD,9,Financial Results,Q4_2023,2024-01-12
Average client deposits,5,,,267.8,262.1,278.9,,,,Billion USD,9,Financial Results,Q4_2023,2024-01-12
Allowance for loan losses,6,,,5.0,4.2,3.3,,,,Billion USD,9,Financial Results,Q4_2023,2024-01-12
Nonaccrual loans,7,,,0.8,0.9,0.8,,,,Billion USD,9,Financial Results,Q4_2023,2024-01-12
Net charge-off/(recovery) rate,8,,,0.18,0.08,0.06,,,,%,9,Financial Results,Q4_2023,2024-01-12
ALL/loans,9,,,1.8,1.72,1.42,,,,%,9,Financial Results,Q4_2023,2024-01-12
Revenue,1,,,5095.0,5001.0,5020.0,,,,Million USD,10,Financial Results,Q4_2023,2024-01-12
