text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
ROTCE of 21%.,quarter,1,Financial Results,Q1_2025,2025-04-11
CET1 capital ratios: Standardized 15.4% and Advanced 15.5%.,quarter,1,Financial Results,Q1_2025,2025-04-11
Total Loss-Absorbing Capacity of $558B.,quarter,1,Financial Results,Q1_2025,2025-04-11
Standardized RWA of $1.8T.,quarter,1,Financial Results,Q1_2025,2025-04-11
Cash and marketable securities of $1.5T.,quarter,1,Financial Results,Q1_2025,2025-04-11
Average loans of $1.3T.,quarter,1,Financial Results,Q1_2025,2025-04-11
Income statement highlights: 1Q25 net income of $14.6B and EPS of $5.07; Managed revenue of $46.0B; Expense of $23.6B and managed overhead ratio of 51%.,quarter,1,Financial Results,Q1_2025,2025-04-11
"Balance sheet highlights: Average loans of $1.3T, up 2% YoY and flat QoQ; Average deposits of $2.4T, up 2% YoY and 1% QoQ; CET1 capital of $280B.",quarter,1,Financial Results,Q1_2025,2025-04-11
Capital distributed highlights: Common dividend of $3.9B or $1.40 per share; $7.1B of common stock net repurchases; Net payout LTM of 62%.,quarter,1,Financial Results,Q1_2025,2025-04-11
"1Q25 Tax rate: Effective rate of 20.5%, Managed rate of 23.4%.",quarter,2,Financial Results,Q1_2025,2025-04-11
"Net income was $4.4B, down 8% YoY.",quarter,5,Financial Results,Q1_2025,2025-04-11
"Revenue of $18.3B was up 4% YoY, driven by higher net interest income in Card Services.",quarter,5,Financial Results,Q1_2025,2025-04-11
"Expense of $9.9B was up 6% YoY, driven by higher marketing, technology, compensation, and auto lease depreciation.",quarter,5,Financial Results,Q1_2025,2025-04-11
"Credit costs were $2.6B, including $2.2B of NCOs (up $275mm YoY) and a net reserve build of $475mm.",quarter,5,Financial Results,Q1_2025,2025-04-11
Average loans were up 1% YoY and down 1% QoQ.,quarter,5,Financial Results,Q1_2025,2025-04-11
Average deposits were down 2% YoY and flat QoQ.,quarter,5,Financial Results,Q1_2025,2025-04-11
Active mobile customers grew 8% YoY.,quarter,5,Financial Results,Q1_2025,2025-04-11
Debit & credit card sales volume increased 7% YoY.,quarter,5,Financial Results,Q1_2025,2025-04-11
Client investment assets rose 7% YoY but fell 1% QoQ.,quarter,5,Financial Results,Q1_2025,2025-04-11
"Net income of $6.9B was up 5% YoY, and revenue of $19.7B was up 12% YoY.",quarter,6,Financial Results,Q1_2025,2025-04-11
"Banking & Payments revenue highlights include IB revenue of $2.3B (up 2% YoY), Payments revenue of $4.6B (up 2% YoY), and Lending revenue of $1.9B (up 11% YoY).",quarter,6,Financial Results,Q1_2025,2025-04-11
"Markets & Securities Services revenue was $10.9B, with Markets revenue of $9.7B (up 21% YoY) and Securities Services revenue of $1.3B (up 7% YoY).",quarter,6,Financial Results,Q1_2025,2025-04-11
Fixed Income Markets revenue was $5.8B (up 8% YoY) and Equity Markets revenue was $3.8B (up 48% YoY).,quarter,6,Financial Results,Q1_2025,2025-04-11
"Expense of $9.8B was up 13% YoY, driven by higher compensation.",quarter,6,Financial Results,Q1_2025,2025-04-11
"Credit costs were $705mm, driven by reserve builds, with a net reserve build of $528mm and NCOs of $177mm.",quarter,6,Financial Results,Q1_2025,2025-04-11
"Net income was $1.6B, up 23% YoY.",quarter,7,Financial Results,Q1_2025,2025-04-11
"Revenue of $5.7B was up 12% YoY, driven by growth in management fees, higher brokerage activity, and higher deposit balances.",quarter,7,Financial Results,Q1_2025,2025-04-11
