bank,quarter,speaker,role,paragraph,word_count,page_number,sequence,confidence,topic_category
Citigroup,Third,"PRESENTATION
OPERATOR",MODERATOR,"Hello and welcome to Citi's Third Quarter 2024 Earnings Call. Today's call will be hosted by
Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion
of the formal remarks at which time you will be given instructions for the question-and-answer session.
Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect
at this time.
Ms. Landis, you may begin.",75,1,1,0.6,opening_remarks
Citigroup,Third,JENNIFER LANDIS,OTHER,"Thank you, operator. Good morning and thank you all for joining our third quarter 2024
earnings call. I am joined today by our Chief Executive Officer, Jane Fraser, and our Chief Financial Officer,
Mark Mason.
I'd like to remind you that today's presentation, which is available for download on our website,
citigroup.com, may contain forward-looking statements which are based on management's current
expectations and are subject to uncertainty and changes in circumstances. Actual results may differ
materially from these statements due to a variety of factors, including those described in our earnings
materials as well as in our SEC filings.
And with that, I'll turn it over to Jane.",109,1,2,0.6,opening_remarks
Citigroup,Third,JANE FRASER,OTHER,"Thank you, Jenn, and a very good morning to everyone. Well, we certainly live in interesting
times. And while I usually start our calls with our views on the global macro environment, we are particularly
proud of our progress this quarter, and so I shall start there. Indeed, in a pivotal year, this quarter contains
multiple proof points that we are moving in the right direction and that our strategy is delivering concrete
results.
We saw revenue growth and positive operating leverage for the firm and across all five businesses. Our
businesses performed well as the rate cutting cycle began, with a double-digit increase in fee-based
revenues, reflecting the growing diversity of our earnings mix. We continue to have share gains in Services
and Banking. In Wealth, we saw a sizeable increase in client investments and flows. We brought expenses
down whilst continuing to invest in our transformation. And we continued to attract top leaders in the
industry and successfully combine them with our own teams in Banking and Wealth. So, while we are not yet
where we want to be, the impact of the changes we are making is clearly evident in our momentum and
improving performance.
Turning to the macro, now while growth is a notch slower than last year, global economic performance
continues to be surprisingly resilient. Whatever you want to call the US landing, the sentiment around it is
more optimistic, supported by the recent positive payrolls report. And we see a healthy yet more discerning
US consumer, and a US corporate sector on its front foot. Manufacturing weakness is restraining a modest
rebound in Europe which continues to struggle with more structural challenges around its competitiveness,
as highlighted by Draghi’s report. In China, consumer sentiment and the property market remain a concern
as markets await details on the expected fiscal stimulus. India, Asean, Japan, the Middle East, Mexico and
Brazil are all notable global bright spots.
Copyright © 2024 Citigroup Inc. 1",327,1,3,0.6,opening_remarks
Citigroup,Third,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Third Quarter 2024 Earnings Call
October 15, 2024
Today we reported net income of $3.2 billion and earnings per share of $1.51 with an ROTCE of 7%. Overall
revenues grew by 3% ex-divestitures, with each of our core businesses delivering growth and positive
operating leverage. While we continue to make substantial investments in our transformation, the
efficiencies gained from our simplification and other efforts drove a 2% reduction in overall expenses.
Turning to the five businesses, Services delivered a record quarter with revenues up by 8%. Fee growth, the
best indicator of underlying momentum, was significant. And this, combined with loan and deposit volume
growth, drove this quarter’s excellent performance. Treasury and Trade Solutions was up 4% year over year
reflecting good underlying momentum in the core drivers. And Securities Services was up 24%, reflecting the
benefit of new mandates and an increase in assets under custody. Both TTS and Securities Services
achieved over 10% wallet share in our target markets through the first half of the year.
Last week we announced that we are the first global bank to complete the integration of our cross-border
services with Mastercard Move. Now, this will ultimately enable near-instant, secure payments to the vast
Mastercard debit network, starting with 14 markets with more to come early next year. And this is another
great example of our continued investment in market-leading product innovations.
In Markets, revenues were up slightly on the back of a better-than- expected September. Equities was up
32% with robust performance across all products. Our continued strong performance in Equities validates
both our strategy and execution to grow Prime and Cash. Fixed Income however was down 6% — our Rates
and Currencies business didn’t match last year’s standout performance.
It was a particularly pleasing quarter in Banking. Despite the muted IPO market, Investment Banking fees
are up 44% driven by investment grade debt issuance as our clients pulled forward activity ahead of the U.S.
election. Corporate sentiment remains positive as boards pursue strategic transactions, such as the $36
billion Mars acquisition of Kellanova, where we are the sole advisor and lead financier. Our strategy in
Banking continues to gain momentum, and we are steadily growing our share in key target sectors such as
healthcare and tech, with a healthy pipeline ahead. And the significant upside of our franchise continues to
attract the top talent to Citi.
During the quarter, we announced an innovative $25 billion private credit partnership with our longtime
client Apollo, giving us the ability to source new transactions without using our balance sheet. This
partnership positions us with another solution for debt financing for our clients, and it allow us to engage in
private credit with the same depth and expertise as we currently do with syndicated debt markets.
We are also starting to see the positive impact of the significant changes we’ve implemented in our Wealth
franchise, with revenues up 9%. It’s a notable example of the traction I referenced earlier. As Andy and the
team intensify the focus on our investments business, we grew client investment assets by 24%. And we
were particularly pleased with the performance in Asia and in Citigold. I continue to be excited by the
opportunities and the sheer potential of our franchise.
During the quarter, we signed an agreement to exit trust administration and fiduciary services as we continue
to sharpen the focus of our Wealth business. We have more to do to reach our medium-term margin and
returns targets, but this quarter is a good indicator that we are on the way there.
U.S. Personal Banking revenues were up 3%. We grew Branded Cards revenues by 8% with account
acquisitions, spend and payment rates all driving higher interest-earning balances. Lower discretionary
spending is impacting our Retail Services portfolio; however, we continue to see lower payment rates
contributing to interest earning balances. In Retail Banking, we are growing our mortgage portfolio as the
rate environment shifts, as well as growing overall loans.
The U.S. consumer dynamics remain remarkably consistent with prior quarters. Our customers are healthy
but more discerning in their spend, with signs of stress isolated to the lower FICOs. We have maintained
strong credit discipline, and our card portfolios continue to perform very much in line with our expectations.
In terms of capital, while uncertainty about the Basel 3 endgame prevails, our capital position remains very
robust, and we ended the quarter with a CET1 ratio of 13.7%. During the quarter, we returned $2.1 billion in
Copyright © 2024 Citigroup Inc. 2",764,2,4,0.3,financial_results
Citigroup,Third,MARK MASON,OTHER,"Thanks, Jane and good morning, everyone. I am going to start with the firmwide financial
results, focusing on year-over-year comparisons for the third quarter unless I indicate otherwise, and then
spend a little more time on the businesses.
On slide 5, we show financial results for the full firm. For the quarter, we reported net income of
approximately $3.2 billion, EPS of $1.51 and an RoTCE of 7.0% on $20.3 billion of revenues. Total revenues
were up 1% on a reported basis. Excluding divestiture-related impacts, revenues were up 3%, driven by
growth across each of our businesses. As you can see on the bottom left side of the page, net interest income
excluding Markets was down 1% YoY, largely due to lower interest rates in Argentina. And non-interest
revenue excluding Markets was up 9% as we continued to see strong fee momentum across Services,
Banking and Wealth. Year-to-date, revenues are up 1% on a reported basis, and are up 3% excluding
divestiture-related impacts. Expenses were $13.3 billion, down 2%, largely driven by savings associated with
our organizational simplification and stranded cost reductions, partially offset by volume related expenses
and continued investments in the Transformation and other risk and control initiatives. Year-to-date,
expenses are up 1%, primarily driven by the FDIC special assessment and civil money penalties. Cost of credit
was $2.7 billion, largely driven by net credit losses in Cards as well as ACL builds across the businesses,
primarily for portfolio growth and mix. At the end of the quarter, we had over $22 billion in total reserves with
a reserve-to-funded loans ratio of approximately 2.7%. And year-to-date, excluding the divesture related
impacts, we generated positive operating leverage for the firm, and reported an RoTCE of 7.2%.
On slide 6, we show the expense trend over the past five quarters. This quarter we reported expenses of $13.3
billion, down 2%, and 1% sequentially. As we’ve said before, we will continue to increase our investments to
address data governance and data quality related to regulatory reporting and are committed to spending
whatever is necessary to address these areas and the Transformation more broadly. Although a lot more
work remains, we have started to see benefits from our prior investments play through. We’ve continued to
simplify our technology infrastructure, retiring over 450 applications year-to-date and now over 1,250 since
our 2022 Investor Day. We’ve upgraded 100% of our over 2,300 ATMs in North America and Asia Pacific to
next-gen software for better customer security and monitoring. And we have streamlined our cloud
onboarding process, reducing time to onboard applications to the public cloud from over 7 weeks to 2 weeks.
Each of these initiatives will result in both improvement of our operating efficiency and our safety and
soundness. And in terms of our full year expenses, we continue to expect that we will be at the higher end of
the guidance range of $53.5 to 53.8 billion, excluding the FDIC special assessment and civil money penalties.
And as we’ve said before, we, of course, will continue to look for opportunities to absorb the civil money
penalties.
On slide 7, we show net interest income, loans and deposits where I’ll speak to sequential variances. In the
third quarter, net interest income declined 1%. Excluding Markets, net interest income was up 4%, largely
driven by volume growth in USPB as well as higher deposit spreads in Services and Wealth. NIM declined by
Copyright © 2024 Citigroup Inc. 3",574,3,5,0.6,opening_remarks
Citigroup,Third,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Third Quarter 2024 Earnings Call
October 15, 2024
8 basis points, driven by a decline in Markets due to seasonally higher dividends in the second quarter.
Average loans were up 1%, driven by growth in Services and USPB, partially offset by modest declines in
Banking and Legacy Franchises. Average deposits were roughly flat, as growth in Services was largely offset
by a decline in Legacy Franchises. And as you think about guidance for NII ex-Markets in the fourth quarter:
As short-end rates continue to come down, we expect a headwind on floating-rate assets which will be
somewhat offset by disciplined deposit pricing. Further offsetting that will be a continued benefit from
securities being reinvested at higher yields. And as a reminder, we expect an ongoing NII headwind as Legacy
Franchises’ loans and deposits continue to come down. So, taking all of this into account, we expect NII ex-
Markets to be roughly flat sequentially in the fourth quarter, and for the full year to be slightly down, better
than we had previously guided.
On slide 8, we show key consumer and corporate credit metrics, which reflect our disciplined risk appetite
framework. Across our Cards portfolio, approximately 85% of our loans are to consumers with FICO scores
of 660 or higher. Based on what we see, the US consumer continues to remain healthy and resilient. Spend
and payment rates continue to normalize, and underlying credit performance remains broadly in line with
our expectations. NCLs increased year-over-year as card loan vintages that were originated over the last few
years continue to mature at the same time. Sequentially, NCLs declined while delinquencies increased, both
in-line with historical third quarter seasonality. Absent this seasonality, we continue to see stabilization in
early-stage delinquencies. We remain well reserved with a reserve-to-funded loan ratio of approximately
8.2% for our U.S. Cards portfolio. Our Corporate portfolio is largely investment grade and corporate non-
accrual loans remained low, at 31 basis points. As such, we feel very comfortable with the over $22 billion of
total reserves that we have in the current environment.
Turning to slide 9, we provide details on our balance sheet, capital and liquidity, which are a reflection of our
risk appetite, strategy and business model. Our $1.3 trillion deposit base is well-diversified across regions,
industries, customers and account types. $840 billion are corporate, spanning 90 countries, and are crucial
to how our clients fund their daily operations around the world. The majority of our remaining deposits,
about $400 billion, are well-diversified across the Private Bank, Citigold, Retail and Wealth at Work
offerings. And of our total deposits, roughly 70% are US dollar denominated with the remainder spanning
over 60 currencies. Our asset mix also reflects our strong risk appetite framework. Our $689 billion loan
portfolio is well-diversified across consumer and corporate loans. In the quarter, deposit growth outpaced
loan growth resulting in higher cash balances which contributed to available liquidity resources of
approximately $960 billion. We continue to feel very good about the strength of our balance sheet and the
quality of our assets and liabilities, which position us well to serve our clients and execute on our growth
strategy.
On slide 10, we show the sequential CET1 walk to provide more detail on the drivers this quarter. First, we
generated $3.0 billion of net income to common shareholders, which added 27 basis points. Second, we
returned $2.1 billion in the form of common dividends and share repurchases, which drove a reduction of 18
basis points. Third, we generated 12 basis points from unrealized AFS gains. And finally, the remaining 9
basis point reduction was driven by an increase in RWA as we continue to invest in accretive growth
opportunities. We ended the third quarter with a preliminary CET1 capital ratio of 13.7% relative to our target
of 13.3%. As a reminder, effective October 1st, our new CET1 capital ratio requirement is 12.1%, and we still
plan on holding a 100 basis point management buffer on top of that for now. As we think about the coming
quarters, there are a few things that we will continue to consider as we manage our capital levels, including
client demand as well as how the macro and Basel 3 Endgame evolves. We will take all of this into account
as it relates to capital levels and the level of share repurchases on a quarter-by-quarter basis.
Turning to the businesses on slide 11. In Services, revenues were up 8%, reflecting continued momentum
across Securities Services and TTS, both of which continue to gain share through the first half of this year.
Net interest income was roughly flat, as the benefit of higher deposit volumes was largely offset by a decline
in interest rates in Argentina. On a sequential basis, net interest income was up 7%, driven by volume growth
as we continue to onboard high-quality operating deposits and the benefit from higher deposit spreads.
Non-interest revenue increased 33%, driven by a smaller impact from currency devaluation in Argentina as
Copyright © 2024 Citigroup Inc. 4",848,4,6,0.3,financial_results
Citigroup,Third,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Third Quarter 2024 Earnings Call
October 15, 2024
well as continued strength in underlying fee drivers in TTS and Securities Services. Excluding the impact of
the Argentine Peso devaluation, NIR increased 11%, driven by growth in cross border transactions, US Dollar
Clearing volumes and Commercial Card volumes. Expenses increased 3%, primarily driven by investments in
technology, other risk and controls and product innovation, including the expansion of the CitiDirect
Commercial Banking platform into additional markets. Cost of credit was $127 million, primarily driven by a
build related to unremittable corporate dividends being held on behalf of clients. Average loans increased
5% primarily driven by continued demand for export and agency finance as well as working capital loans.
Average deposits increased 4% as we continue to see growth in operating deposits. Services generated
positive operating leverage and delivered net income of approximately $1.7 billion. And continues to deliver
a high RoTCE, coming in at 26.4% for the quarter and 24.7% year-to-date.
On slide 12, we show the results for Markets for the third quarter. Markets revenues were up 1%, driven by
growth in Equities, partially offset by a decline in Fixed Income. Equities revenues increased 32%, driven by
momentum in Prime with balances up approximately 22%, growth in Derivatives and higher Cash volumes.
Fixed Income revenues decreased 6%, driven by Rates and Currencies, which was down 10%, partially offset
by Spread Products and Other Fixed Income, which was up 5%. While Rates and Currencies declined from
last year, which was the strongest third quarter in the previous 10 years, we did see good momentum in FX
from increased corporate client activity. Spread Products and Other Fixed Income was higher driven by
Financing and Securitization volumes and underwriting fees, partially offset by lower Commodities on lower
gas volatility. Expenses increased 1% primarily due to higher volume related expenses. Cost of credit was
$141 million, driven by an ACL build primarily related to portfolio mix in Spread Products. Average loans
increased 10%, largely driven by asset-backed lending in Spread Products as well as margin loans in Equities.
Average trading account assets increased 18%, largely driven by client demand for US Treasuries, foreign
government securities and mortgage-backed securities. Markets generated another quarter of positive
operating leverage and delivered net income of approximately $1.1 billion with an RoTCE of 7.9% for the
quarter and 9.7% year-to-date.
On slide 13, we show the results for Banking for the third quarter. Banking revenues were up 16%, largely
driven by growth in Investment Banking. Investment Banking revenues were up 31% and fees were up 44%,
with increases across Debt Capital Markets, Advisory and Equity Capital Markets. DCM benefited from
continued strong Investment Grade issuance. Advisory benefited from strong announced deal volume earlier
this year. And in ECM we saw stronger follow-on activity, which was offset by fewer IPOs amid market
volatility in August. Both year-to-date and in the quarter, we’ve driven wallet share gains, including in the
Healthcare and Technology sectors where we’ve been investing. Corporate Lending revenues, excluding
mark-to-market on loan hedges, increased 5%, primarily driven by a smaller impact from currency
devaluation in Argentina. Expenses decreased 9%, primarily driven by benefits of headcount reductions as
we continued to right size the workforce and expense base. Cost of credit was $177 million, driven by an ACL
build primarily for portfolio mix changes. Average loans decreased 1% as we maintained strict discipline
around returns. Banking generated positive operating leverage for the third quarter in a row and delivered
net income of $238 million with an RoTCE of 4.3% for the quarter and 7.2% year-to-date.
On slide 14, we show the results for Wealth for the third quarter. As you can see from our performance this
quarter, we are making good progress against our strategy and expect that momentum to continue. Revenue
was up 9%, driven by a 15% increase in NIR as we grew investment fee revenues on momentum in client
investment assets, which grew 24%. NII increased 6% driven by higher deposit volumes and spreads.
Expenses decreased 4%, driven by the continued benefits of headcount reductions as we right size the
workforce and expense base. Cost of credit was $33 million, largely driven by net credit losses of $27 million.
End-of-period client balances increased 14%, driven by higher client investment assets and deposits, both
in North America and internationally. Average deposits increased 4%, reflecting the transfer of relationships
and the associated deposits from USPB, partially offset by a shift in deposits to higher-yielding investments
on Citi’s platform. Average loans decreased 1%, as we continued to optimize capital usage. Wealth generated
another quarter of positive operating leverage and delivered net income of $283 million with an RoTCE of
8.5% for the quarter and 6.8% year-to-date.
Copyright © 2024 Citigroup Inc. 5",804,5,7,0.3,financial_results
Citigroup,Third,OPERATOR,MODERATOR,"At this time, we will open the floor for questions. [Operator Instructions]. Our first question will
come from Glenn Schorr with Evercore. Your line is now open. Please go ahead.",30,6,8,0.6,qa_session
Citigroup,Third,GLENN SCHORR,OTHER,"Hi. Thanks very much. Good guidance. I appreciate it. I'm curious on the card losses in
Retail financial services, if you could talk to like, the 2024 exit rate seems like it will be higher than the full
year guide at 6.25%. Maybe you could talk to the trajectory there and then the huge reserves that you have
built in there and anything you can tell us about the portfolios so we can keep expectations in the right spot.
Thanks.",80,6,9,0.6,opening_remarks
Citigroup,Third,MARK MASON,OTHER,"Yeah, sure. Why don't I take that. Good morning, Glenn. So a couple things. So, one, I think
that on Retail Services you're seeing a couple of things kind of play out. So, one, you're seeing kind of spend
volumes trend down a bit. You are seeing payment rates come down as well. That obviously is fueling the
average interest earning balance growth that we're seeing. And then you are also seeing with the spend
volume come down, there's a denominator effect that plays through which pushes up obviously the loss
rates that we're seeing. That still in the quarter is in line with our guidance but in light of what we saw earlier
in the year and normal seasonality, we would expect that number to be on the higher end of that range and
likely higher in the fourth quarter, but the higher in the fourth quarter again depends on what traffic is like
and what the holiday spending season looks like through the end of the year.
I would say the reserve levels we have are very healthy as it relates to this portfolio. I think in the back of the
deck we show kind of the reserve to loan ratio at about 11.7% or so. So well-reserved for the Retail Services
portfolio in light of the environment that we're in.
Similarly, we are seeing the stabilization from a delinquency point of view across both portfolios kind of play
Copyright © 2024 Citigroup Inc. 6",247,6,10,0.6,opening_remarks
