bank,quarter,speaker,role,paragraph,word_count,page_number,sequence,confidence,topic_category
Citigroup,First,"PRESENTATION
OPERATOR",MODERATOR,"Hello, and welcome to Citi's First Quarter 2023 Earnings Review with the Chief Executive
Officer, Jane Fraser, and Chief Financial Officer, Mark Mason. Today's call will be hosted by Jenn Landis,
Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal
remarks, at which time you will be given instructions for the question-and-answer session. Also, as a
reminder, this conference is being recorded today. If you have any objections, please disconnect at this
time.
Ms. Landis, you may begin.",88,1,1,0.6,opening_remarks
Citigroup,First,JENNIFER LANDIS,OTHER,"Thank you, operator. Good morning and thank you all for joining us. I'd like to remind you
that today's presentation, which is available for download on our website, citigroup.com, may contain
forward-looking statements, which are based on management's current expectations and are subject to
uncertainty and changes in circumstances. Actual results may differ materially from these statements due
to a variety of factors, including those described in our SEC filings.
With that, I'll turn it over to Jane.",78,1,2,0.6,opening_remarks
Citigroup,First,JANE FRASER,OTHER,"Thank you, Jenn, hello to everyone joining us today. Well, 2023 is shaping up to be another
interesting year, given the tumultuous events of the last few weeks. I am going to share some observations,
and then we'll turn to what was a good quarter.
First, our banking system as a whole is very strong. While a small handful of institutions still have challenges
to overcome, the U.S. financial system remains unmatched globally. And I feel confident saying that as
someone who has worked in many different systems around the world.
The U.S. system comprises a healthy mix of community banks, regional banks and global banks including
Citi. We all have important but different roles to play, serving different clients with different needs and on
different scales. I would also point to the rapid response by state, federal and international regulators that
helped reinforce confidence in the system at a critical juncture.
I am pleased that Citi has been a source of stability for the financial system and a source of strength for our
clients.
We are in a position to play this role because our strategy is delivering a simpler, more focused bank. We
benefit from a diversified earnings base and resilient business model. This is reinforced by our robust balance
sheet management, liquidity position and strong risk management frameworks. We are disciplined in how
we run the firm, from client selection to capital planning.
And it is also thanks to our people. I want to express my pride in our colleagues around the world who have
worked tirelessly last month to serve clients as they turned to Citi as a port in the storm.
Recent events have shown that prudent asset and liability management is absolutely paramount. While
Copyright © 2023 Citigroup Inc. 1",296,1,3,0.6,opening_remarks
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
Mark is going to walk you through our approach and our focus on interest rate risk, liquidity, and capital, I do
want to mention a few things.
In terms of assets, our loans are high-quality and short-duration. We have highly-liquid investment
securities and a significant amount of cash. We have over $1 trillion of available liquidity resources, including
$584 billion of HQLA and an LCR of 120%. And we maintain a diverse set of funding sources, including over
$1.3 trillion of deposits across corporates, consumers, industries, and regions, many of which are operational
in nature.
The cornerstone is our institutional deposit base, which comprises about 60% of our deposits. Most of these
deposits are particularly sticky because they sit in operating accounts that are fully integrated into how our
multinational clients run their businesses around the world from their payrolls to their supply chains to
their cash and liquidity management. 80% of these deposits are with clients who use all three of our
integrated services- payments & collections, liquidity management and working capital solutions.
The data that we aggregate from these deposits and their related flows is fundamental to how our clients
manage their efficiency, risk and compliance. This greatly increases our deposit stickiness. And that is also
why nearly 80% of these deposits are from client relationships that are 15 years old or more.
Finally, we operate a strong risk framework that looks at both asset and liability concentrations across client
segment, industry, and region, and we are confident in the size and nature of our exposures given our
rigorous stress testing. We also diligently manage counterparty risk, which is critical given the
interconnectedness of financial institutions.
We are in a strong position to navigate whatever environment we face which is particularly relevant given
the degree of uncertainty today.
The Fed continues to use rate policy to battle inflation, which has been more than stubborn in services, even
as we see signs of cooling in labor and manufacturing. We expect the recent events to be disinflationary and
credit to contract. We believe it is now more likely that the U.S. will enter into a shallow recession later this
biggest unknown is the impact on terminal short-term US interest rates and, of course, how the debt ceiling
plays out.
In Europe, the ECB is on a similar, but more difficult, quest to tame inflation. They have had some help from
lower-than-expected energy prices and the outlook continues to be a bit brighter. However, the war in
Ukraine sadly shows no sign of ending and Europe faces more structural challenges such as the need for
increased defense spending, higher energy costs and fiscal burdens that will make efforts to dampen
inflation and stimulate growth more difficult.
In Asia, the reopening of China is adding to the momentum in the region although the Chinese consumer has
been slower to rebound than expected. I saw many green shoots firsthand talking to our clients and our
bankers in my various trips to India, Japan, and Hong Kong this year. We have to keep a close eye on
geopolitics as the US-China relationship becomes increasingly strained and is fragmenting economic blocs.
We see this translate into shifts in flows and heightened cross-border volume across TTS and our global
network.
of $2.19. We had good revenue growth of 6% ex-divestitures and both revenue and expenses were in line
with our guidance. Our ROTCE of nearly 11% benefitted from the closing of the sales of our consumer
businesses in India and Vietnam and would have been over 9% without those gains.
Copyright © 2023 Citigroup Inc. 2",619,2,4,0.3,financial_results
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
Let me highlight our operating performance in each of our five core businesses.
In Services, TTS continued to go from strength to strength, with revenues up 31%. Non-interest revenue was
up 11% quarter-on-quarter-on the back of increased cross-border activity and good performance in
commercial cards due to the rebound of corporate travel. Securities Servic
23% as we executed on new mandates, onboarded new AUC and benefitted from higher rates.
Within Markets, our Fixed Income revenues were up 4% from a year ago. We benefitted from excellent
performance in Rates and continued engagement from our corporate clients. The first quarter of 2022 was
no slouch, as you may recall, but this quarter was our third-best in a decade. Equities was weaker however -
down markedly in both derivatives and cash, but still had revenues north of $1 billion.
Banking was down again, but there were signs of the beginning of a rebound, including increased activity in
the investment grade debt market.
In US Personal Banking, our cards businesses gained momentum as all drivers continue to normalize to pre-
COVID levels. Branded Cards and Retail Services saw revenues up 18% and 24% respectively. Retail Banking
saw some growth as we continue to see good momentum in mortgages and installment lending and also
experienced a significant increase in digital deposits.
We did see a notable softening in consumer spending growth over the course of the quarter. Travel and
entertainment continued to grow in March, but essentials were flat, and almost all other spend categories
were down. Savings rates are below historic averages. While the upper quintiles of household income still
have roughly a trillion dollars in excess savings, the savings of the lower quintiles have been significantly
drawn down. So we are keeping a diligent eye on the lower FICO bands as economic growth and services
spend slow.
Finally, we remain confident about the prospects of our Wealth business. Despite the challenging
headwinds, growth in Citigold accounts, client acquisition and client advisors were all solid and we expect
these drivers to flow through to revenue later this year and beyond. We also saw the early signs of a long-
awaited Asian recovery.
We built credit reserves this quarter on the back of growth in revolving balances in cards and poorer macro-
outlooks. NCLs continued to normalize in Consumer while the health of our corporate base was evident in
another quarter of very low NCLs.
Finally, we continue to generate capital through our earnings. With our CET1 ratio now at 13.4%, we have
room to absorb the temporary, upfront impact should we sign a deal for Mexico. As you know, we continue
to pursue a dual path here. And we are committed to increasing the amount of capital we return to our
shareholders over time.
As you can see from slide three, in addition to good operating performance from our businesses and, despite
everything else going on in the industry, we got a lot done this quarter as we implement the strategy that we
shared with you at Investor Day.
We closed the sales of our consumer businesses in India and Vietnam. Indonesia and Taiwan are next on the
list to close later in the year. Our Asian consumer sales will then be complete, and we are intensifying our
efforts to eliminate stranded costs and simplify our organizational structure.
We made some significant leadership announcements. I am delighted that Andy Sieg will join Citi at my table
as the new head of Wealth Management. Andy is a widely respected leader in this space and comes to us
after running an $18 billion business with $2.8 trillion in client balances. He is the latest and the most visible
example of the excellent talent we have attracted over the last couple of years.
Copyright © 2023 Citigroup Inc. 3",652,3,5,0.3,financial_results
Citigroup,First,MARK MASON,OTHER,"Thank you, Jane, and good morning, everyone. I am going to start with the Firmwide
financial results, focusing on year-over-year comparisons for the first quarter unless I indicate otherwise,
and spend a little more time on expenses, our balance sheet and capital. Then I will turn to the results of
each segment.
On slide 4, we show financial results for the full firm. In the first quarter, we reported net income of
approximately $4.6 billion and an EPS of $2.19 and a RoTCE of nearly 11% on $21.4 billion of revenues.
Embedded in these results are pre-tax divestiture-related impacts of approximately $950 million, largely
driven by the gain on sale of the India consumer business. Excluding these items, EPS was $1.86 with an
RoTCE of over 9%. In the quarter, total revenues increased by 12% on a reported basis and increased 6%
excluding divestiture-related impacts as strength across Services, Fixed Income and .S Personal Banking
was partially offset by declines in Investment Banking, Equity Markets and Wealth, as well as the revenue
reduction from the closed exits and wind-downs.
Our results include expenses of $13.3 billion, an increase of 1% versus the prior year. Excluding divesture-
related costs in the prior year, expenses increased by 5% largely driven by the transformation, other risk &
control investments and inflation, partially offset by productivity savings and the expense reductions from
the exits and wind-downs.
Cost of credit was approximately $2.0 billion, primarily driven by the continued normalization in Card net
credit losses and ACL and other provision builds of approximately $700 million, largely related to a
deterioration in macroeconomic assumptions and growth in card revolving balances.
At the end of the quarter, we had nearly $20 billion in total reserves with a reserve-to-funded loans ratio of
approximately 2.7%.
On Slide 5, we show an expense walk for the first quarter, with the key underlying drivers. Transformation
investments drove ~1% of the growth largely in the data, finance and risk and control programs. And 4% of
the increase is driven by structural, largely in the form of compensation and benefits including the full-year
impact of the people we hired last year as well as those we hired in the first quarter.
Embedded in this structural bucket are a few key items. First, other risk and control investments that are
enterprise wide and in the businesses make up about 2% of the total expense increase. Second, the impact
Copyright © 2023 Citigroup Inc. 4",410,4,6,0.6,opening_remarks
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
of additional front and back-office hires. Third, inflation and severance costs. All of this was partially offset
by productivity savings as well as the benefit from foreign exchange translation and the expense reduction
from the exits and across the firm, technology-related expenses grew 12%.
We recognize these investments have driven a significant increase in expenses, but they are crucial to
modernize the firm, address the consent orders and position Citi for success in the years to come.
investing in and the benefits we will see over time.
In many cases, these investments will simplify our processes and platforms. For example, we are retiring
and consolidating 20 cash equities platforms to one single modern platform, eliminating costs over time.
And we have consolidated 11 platforms to one global sanctions-screening platform, reducing false alerts,
improving the client experience and eliminating costs.
We are also modernizing our infrastructure and the security of our data and information by enhancing cyber
security through the use of AI and improving the security of our infrastructure and devices, leading to fewer
operating losses. And we are leveraging industry-leading cloud-based solutions to modernize and
streamline the connectivity between our front office systems and the general ledger, eliminating manual
processes and operating costs over time.
We are driving the strategy by investing in the client experience both in terms of our technology interface
and innovative new products. We launched our cloud-based instant payments platform for eCommerce
clients in TTS. We are also deploying CitiDirect Commercial Banking, our mobile and digital interface for
Commercial clients so they too can open accounts and access all products and services across ICG in the
same way our Large Corporate clients do. And finally, we are investing in data to create advanced decision
making, client targeting, and risk management capabilities which has allowed us to enhance our returns
through greater RWA efficiency. And we expect many of these investments to generate efficiencies that will
allow us to self-fund future investments over time.
first quarter, net interest income increased by approximately $80 million, largely driven by interest-earning
balances in cards. Average loans were up slightly as growth in PBWM was largely offset by a decline in ICG.
Average deposits were also up slightly, driven by growth in both PBWM and ICG. And our net interest margin
increased 2 basis points.
On Slide 8, we show key consumer and corporate credit metrics. We are well reserved for the current
environment with nearly $20 billion of reserves. Our reserves-to-funded loans ratio is approximately 2.7%.
And within that, US Cards is 8.1%. In PBWM, 44% of our lending exposures are in US cards and of that
exposure, nearly 80% is to customers with FICOs of 680 or higher.
And NCL rates, while reflecting some typical seasonality this quarter, are still below pre-COVID levels and
are normalizing in line with our expectations. The remaining 56% of our PBWM lending exposure is largely
in Wealth and predominantly mortgages and margin lending. In our ICG portfolio, of our total exposure,
approximately 85% is investment grade. Of the international exposure, approximately 90% is investment
grade or exposure to multinational clients or their subsidiaries. And corporate non-accrual loans remain
low at about 40 basis points of total loans.
As you can see on the page, we break out our Commercial Real Estate lending exposures across ICG and
PBWM which total $66 billion, of which 90% is investment grade. So, while the macro and geopolitical
environment remains uncertain, we feel very good about our asset quality, exposures and reserve levels
and we continuously review and stress the portfolio under a range of scenarios.
Copyright © 2023 Citigroup Inc. 5",624,5,7,0.3,financial_results
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
additional metrics to the page to provide additional transparency into how we manage the balance sheet.
We maintain a very strong $2.5 trillion balance sheet which is funded in part by a well-diversified $1.3
trillion deposit base across regions, industries, customers and account types which is deployed into high-
quality, diversified assets.
Our balance sheet is a reflection of our strategy and well diversified business model. We leverage our unique
assets and capabilities to serve corporates, financial institutions, investors, and individuals with global
needs. First, the majority of our deposits, $819 billion, are institutional, and span 90 countries. And the
majority of these institutional deposits tend to be interest rate sensitive so when rates go up, we reprice
the deposits accordingly, but that reprice takes into account the overall client relationship as well as the
level of rates.
But despite this interest rate sensitivity, these deposits tend to be stable as they are tied to the operational
services we provide. And these institutional deposits are complemented by $437 billion of US Retail
consumer and global wealth deposits as you can see on the bottom right side of the page. These deposits
are well diversified across the Private Bank, Citigold, Retail and Wealth at Work as well as across regions
and products, with 75% of US Citigold clients and approximately 50% of ultra-high net worth clients having
been with Citi for more than 10 years. Our wealth deposits tend to also be interest rate sensitive, but this
usually results in our customers moving to higher-yielding investment and deposit products.
Now turning to the asset side, at a high-level, you can think about our deposits being largely deployed in
three asset buckets loans, investment securities and cash which complement the interest rate
sensitivity and liquidity value of our liabilities. And this deployment is also linked to our strategy we use
our resources to lend and transact with our clients in ways that deepen the relationship and drive returns
for our shareholders while maintaining strong liquidity and capital.
Our $652 billion loan portfolio is well diversified across consumer and corporate loans. And the duration of
the total portfolio is approximately 1.3 years as the majority of these loans are variable-rate. About 35% of
our balance sheet is in cash and investment securities which contribute to our $1 trillion of available
liquidity resources. And at the end of the quarter, we had an LCR of 120%, which means we have roughly
$100 billion of HQLA in excess of the amount required by the rule to cover stressed outflows. And you can
see the details of this on page 27 in the appendix. But just as important as the quantum of liquidity is the
composition and duration of that liquidity.
And our $513 billion investment portfolio consists largely of highly liquid US Treasury, Agency and other
sovereign bonds, and is split evenly between available-for-sale and held-to-
maintained a short duration of less than three years so we could benefit from higher interest rates.
And we actively and prudently manage our assets and liabilities by considering a range of possible stress
scenarios and how they might impact interest rate risk, liquidity, and capital.
So, in summary, our assets and liabilities are aligned across interest rate sensitivity, liquidity value and
duration, and reflect the diversified business model and execution of our strategy.
On Slide 10, we show a sequential CET1 walk to provide more detail on the drivers this quarter. Walking from
the end of fourth quarter. First, we generated $4.3 billion of net income to common which added 38 basis
points. Second, we returned $1.0 billion in the form of common dividends, which drove a reduction of about
9 basis points. Third, impact on AOCI through our AFS investment portfolio drove a 7 basis point increase.
And finally, the remaining 4 basis point increase was largely driven by the RWA benefit from closing our
consumer exits.
Copyright © 2023 Citigroup Inc. 6",675,6,8,0.3,financial_results
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
We ended the quarter with a 13.4% CET1 capital ratio, approximately 40 basis points higher than last
quarter, and this includes a 100 basis point internal management buffer.
And as it relates to buybacks, we did not buy back any stock this quarter and we will continue to make that
decision on a quarter-by-quarter basis.
On Slide 11, we show the results for our Institutional Clients Group for the first quarter. Revenues were up
1% this quarter, largely driven by Services and Fixed income, mostly offset by Investment Banking and
Equities. Expenses increased 4%, driven by transformation, other risk and control investments and
volume-related expenses, partially offset by FX translation and productivity savings.
Cost of credit was a $72 million benefit, as an ACL release more than offset net credit losses. This resulted
in net income of approximately $3.3 billion, up 23%, driven by the lower cost of credit and higher revenues,
partially offset by higher expenses. ICG delivered a 13.8% RoTCE for the quarter.
And average loans were down 2% reflecting discipline around our strategy and returns. Average deposits
were up 3% as we continued to acquire new clients and deepen relationships with existing ones. And
sequentially, average deposits were up 1%. And on an end of period basis, ICG deposits were down 3%
sequentially, driven by seasonality as our clients tend to make tax payments in the first quarter.
On Slide 12, we show revenue performance by business and the key drivers we laid out at Investor Day. In
Treasury and Trade Solutions, revenues were up 31%, driven by 41% growth in net interest income and 13%
in NIR, with growth across all client segments. We continue to see healthy underlying drivers in TTS that
indicate consistently strong client activity with US Dollar Clearing Volumes up 6%, reflecting continued
SWIFT share gains. Cross-border flows up 10%, outpacing global GDP growth. Commercial card volumes
up roughly 40%, led by spend in travel.
So, while the rate environment drove about 60% of the growth this quarter, business actions drove the
remaining 40%, as we continued to deepen relationships with existing clients and win new clients. In fact,
client wins are up approximately 50%, across all segments. These include marquee transactions where we
In Securities Services, revenues grew 23% as net interest income grew 94%, driven by higher interest rates
across currencies, partially offset by a 6% decrease in non-interest revenue due to the impact of market
valuations. We are pleased with the execution in Securities Services as we continue to onboard assets
under custody and administration from significant client wins and we feel very good about the pipeline of
new deals. As a reminder, the Services businesses are central to our strategy and are two of our higher-
returning businesses with strong linkages across the firm.
Markets revenues were down 4% as growth in Fixed Income was more than offset by Equities. Fixed Income
revenues were up 4%, relative to a very strong quarter last year, as strength in our Rates franchise was
partially offset by a decline in FX and Commodities. Equities revenues were down 25%, also relative to a
strong quarter last year, primarily reflecting reduced client activity in Cash and Equity Derivatives.
Corporate client flows remained strong and stable and we continued to make solid progress on our
revenue-to-RWA target
And finally, Banking revenues, excluding gains and losses on loan hedges, were down 21%, driven by
Investment Banking, as heightened macro uncertainty and volatility continued to impact client activity.
Having said that, we do see revenue growth sequentially largely driven by the investment grade market
opening up.
Copyright © 2023 Citigroup Inc. 7",625,7,9,0.3,financial_results
Citigroup,First,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi First Quarter 2023 Earnings Review
April 14, 2023
So overall, while the market environment remains challenging, we feel good about the progress we are
making in ICG.
Now turning to Slide 13, we show the results for our Personal Banking & Wealth Management business.
Revenues were up 9%, driven by net interest income growth of 10%, partially offset by a 1% decline in non-
interest revenue, driven by lower investment product revenues in Wealth.
Expenses were also up 9%, predominantly driven by investments in transformation and other risk and
control initiatives.
Cost of credit was $1.6 billion, driven by higher net credit losses as we continue to see normalization in our
card portfolios and a reserve build of approximately $500 million, largely driven by a deterioration in
macroeconomic assumptions and card revolving balance growth.
Average loans increased 7% driven by cards, mortgages and installment lending. Average deposits
decreased 3%, largely reflecting our Wealth clients putting cash to work in fixed income investments on our
platform. And PBWM delivered an RoTCE of 5.5%, largely driven by higher credit costs.
On Slide 14, we show PBWM revenues by product as well as key business drivers and metrics. Branded
Cards revenues were up 18%, driven by higher net interest income. We continue to see strong underlying
drivers with new account acquisitions up 17%, card spend volumes up 9% and average loans up 15%. Retail
Services revenues were up 24%, also driven by higher net interest income.
For both Card portfolios, we continue to see payment rates decline, and that combined with the
investments we have been making contributed to growth in interest-earning balances of 18% in Branded
Cards and 11% in Retail Services.
Retail Banking revenues were up 3%, primarily driven by higher mortgage revenue and strong growth in
personal installment lending, partially offset by the impact of the transfer of relationships and the
associated deposits to our Wealth business. In fact, consistent with the strategy, we continued to leverage
our retail network to drive over 13,000 Wealth referrals in the first quarter.
Wealth revenues were down 9%, driven by continued investment fee headwinds and higher deposit costs
particularly in the Private Bank. However, we did see notable improvement in revenues in Asia which were
up approximately 20% on a sequential basis.
Client advisors were up 3%. And we are seeing net new investment inflows and strong new client
acquisitions across our Wealth business, with new clients in the Private Bank and Wealth at Work up 62%
and 81%, respectively.
While the environment continues to remain challenging for Wealth, we are seeing strong underlying
business drivers as we execute against our strategy.
On Slide 15, we show results for Legacy Franchises. Revenues grew 48%, driven by a gain on the sale of our
consumer business in India, partially offset by the wind-downs and closed consumer exits. Expenses
decreased 24%, largely driven by the absence of a goodwill impairment we had in the prior year as well as
the impact of the wind-downs and closed consumer exits.
On Slide 16, we show results for Corporate Other for the first quarter. Revenues increased, largely driven by
higher net revenue from the investment portfolio. Expenses increased, driven by transformation and other
risk and control investments, partially offset by a reduction in consulting fees.
Copyright © 2023 Citigroup Inc. 8",564,8,10,0.3,financial_results
