text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good day, everyone, and welcome to the Bank of America earnings announcement. [Operator instructions] Please note, today's call will be recorded [Operator instructions] It is now my pleasure to turn today's conference over to Lee McEntire, investor relations. Please go ahead.",quarter,Operator,Other,1,Introduction,Q3_2023,2023-10-17
"Good morning. Thank you. Welcome, and thank you for joining the call to review the third quarter results. As usual, our earnings release documents are available on the Investor Relations section of bankofamerica.com website, and it includes the earnings presentation that we will be referring to during the call.",quarter,Lee McEntire,Other,1,Introduction,Q3_2023,2023-10-17
"I trust everybody's had a chance to review the documents. I'm going to first turn the call over to our CEO, Brian Moynihan, for some opening comments, before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Other,2,Introduction,Q3_2023,2023-10-17
"Before we do that, let me just remind you that we may make forward-looking statements and refer to some non-GAAP financial measures during the call. Forward-looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties.",quarter,Lee McEntire,Other,2,Disclaimer,Q3_2023,2023-10-17
"Factors that may cause our actual results to materially differ from expectations are detailed and our earnings materials as well as the SEC filings available on our website. Information about non-GAAP financial measures, including reconciliations to U.S. GAAP can also be found in our earnings materials that are on the website. So with that, Brian, I'll turn the call over to you.",quarter,Lee McEntire,Other,2,Disclaimer,Q3_2023,2023-10-17
"Good morning, everyone, and thank you for joining us. As usual, we're starting on Slide 2. Our third quarter here at Bank of America was another strong quarter. We delivered $7.8 billion in net income.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2023,2023-10-17
"That is a 10% growth over the year-ago third quarter. And for the first nine months of the year, we have earned $23.4 billion, an increase of 15% over 2022. We grew clients and accounts organically and at a strong pace across all our businesses. Our operating leverage was about flat.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2023,2023-10-17
"We improved our Common Equity Tier 1 ratio by nearly 30 basis points in the quarter to a level of 11.9% against a current minimum of 9.5%. We saw an increase in our deposits, and we maintained our strong pricing discipline. We continue to maintain $859 billion in global liquidity sources. We also delivered a good return for you, our shareholders, with a return on tangible common equity of over 15% and a 1% return on assets.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2023,2023-10-17
"Just a quick note of what we see in the economy. Our team of economists predicts a soft landing, with a trough in the middle of next year. We see that in our customer data, our 37 million checking customers, we see their spending slowing down. You can see that on Slide 34.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2023,2023-10-17
"The third quarter was up about 4% over last year's third quarter. Earlier this year, that would have been more of a 10% increase year over year. And for the entire year 2022, it increased 10% and round numbers over '21. This 4% level is consistent with the spending we saw in the pre-pandemic period from 2016 to 2019.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"That is consistent with the low inflation, lower growth economy. As we moved into October, the spending is holding at that 4% level. So growing, but growing at a basis more consistent with low growth economy. Now let me turn to Slide 3.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"We provide various highlights, and Alastair is going to cover a lot of this. Our team continues to focus on driving organic growth, driving digital progress and operational excellence, which keeps us focused on operating leverage. A few words on organic growth as we flip to Slide 4. Every business segment had organic growth.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"In consumer, in Quarter 3, we opened more than 200,000 net new checking accounts this quarter alone. We also opened another 1 million credit card accounts. We have 10% more investment accounts this year, third quarter than we did last year.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"In small business, we have seen 35 straight quarters of net new checking account growth.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"We've also seen good small business loan growth, and our loans were up 14% from last year. That was -- in this quarter, our small business teammates extended $2.8 billion in credit to small business in America alone.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"In Global Wealth, we added nearly 7,000 net new relationships to the Merrill and Private Banking franchise. And our advisors opened more than 35,000 new bank accounts for the third consecutive quarter, fulfilling both investing and banking needs for those clients.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2023,2023-10-17
"We also increased our number of advisors. In the past year, across the wealth spectrum in GWIM and in consumer Investments, they have combined to gather $87 billion in total net flows.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"In our Global Banking team, we added clients and increased the number of products per relationship. Year-to-date, we've added 1,900 new commercial and business banking clients.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"That is more than we added in the full year last year. Even while activity is low, the Investment Banking team continues to hold its No. 3 position. In the Global Markets, we continue to see performance to establish new records for our firm.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"I'm going to cover that in a little more detail in a moment. As you can move to Slide 5, you can see the digital adoption engagement and volumes continue to increase. We lead the industry in digital banking and continue to provide the best-in-class disclosures. You can find those disclosures by line of business in the appendix on Slides 26, 29, and 31.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"We also continue to receive top accolades from third parties around these capabilities. Most important, these capabilities are valued by our clients and customers, and allow us to grow with great expense leverage. Let me give you a few examples.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
Our consumer Merrill clients logged into our consumer banking app a record 3.2 billion times this quarter.,quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"Even at the scale and stage of maturity of this operation, logins were up double digits from the year prior. Customer use of Erica continue to expectations with almost 19 million users, up 16% in the past 12 months.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
CashPro app sign-ins with our business clients are up more than 40%. And we recently added the Erica functionality to CashPro to help corporate clients benefit from that artificial intelligence.,quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
"Likewise, the users continues to grow. Zelle transaction levels are up more than 25% from last year, and Zelle is becoming a meaningful way our customers move money. In fact, customers now send money with Zelle at twice the rate they write checks.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q3_2023,2023-10-17
We're nearing a period where the Zelle transactions sent will exceed the combination of checks written and ATM withdrawal transactions.,quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"As you move across the lines of business on this slide, the story is the same. All these capabilities help us deliver faster, safer, and more efficiently, and all of it gets strong customer client feedback. When you put that together, that helps us drive operating leverage, and you can see that on Slide 6. We have a strong record of driving operating leverage in our company.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"We drove operating leverage every quarter for nearly five years before the pandemic. And then again, more recently, we've had an 8-quarter streak leading in this quarter. We acknowledge to you this last quarter, the operating leverage is going to be tough for a few quarters as we navigate through the trough of net interest income.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"But as you can see on Slide 6, we managed to grow our revenue year over year faster than expense in dollar terms this quarter, even though the percentage change is basically flat.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"Now in January, we told you we managed our headcount down to help make sure we got our expenses in line. Over the course of 2023, we've seen, moving from 2022, a great resignation to a current level of a record low attrition in our company. All that meant the team had to work harder to manage that headcount down. They did it.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"Our headcount is now down over 7,000 FTEs for a peak in January, even with the addition of 2,500 college grads this fall. As a result, you've seen an expense decline from $16.2 billion in Quarter 1 and to $16 billion in Quarter 2, to $15.8 billion this quarter.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"And by the way, we've done this without special charges or large layoffs. Expense will decline again in the fourth quarter, excluding any FDIC special assessment of course.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"We expect to report $15.6 billion in expenses in 4Q. Now interestingly, debt is up only around 1% from fourth quarter of last year. This is a stronger expense guidance than we thought we could do earlier in the year and sets us up nicely for next year. Shifting gears, let's focus on the balance sheet.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q3_2023,2023-10-17
"Slide 7 shows the breakout of deposit trends on a weekly ending basis across the third quarter. We gave you this chart last quarter also. In the upper left hand, you can see the trend of total deposits. We ended Quarter 3 at $1.88 trillion, up from Quarter 2 and better-than-industry results.",quarter,Brian Moynihan,CEO,6,Prepared remarks,Q3_2023,2023-10-17
"What you should also note is the cost of these deposits. Our team has rewarded customers with higher rates for their investment or cash, reinitiate deposit growth, and grown share with, all with superior mix and cost. You'll note that we're now paying 155 basis points all-in for deposits, which is up 31 basis points from last quarter. Best that you remember two things when you think about the deposits.",quarter,Brian Moynihan,CEO,6,Prepared remarks,Q3_2023,2023-10-17
