text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good day, everyone, and welcome to Bank of America's earnings announcement. At this time, all participants are on a listen-only mode. Later, you will have the opportunity to ask questions during the question-and-answer session. [Operator instructions] Please note, this call may be recorded. I'll be standing by if you should need any assistance. It is now my pleasure to turn the conference over to Lee McEntire.",quarter,Operator,Host,1,Introduction,Q4_2023,2024-01-12
"Good morning. Welcome, and thank you for joining the call to review our fourth quarter and full year results. We know it's a busy day for all of you. As usual, our earnings release documents are available on the investor relations section of the bankofamerica.com website, and they include the earnings presentation that we will be referring to during this call.",quarter,Lee McEntire,Other,1,Introduction,Q4_2023,2024-01-12
"I trust everybody's had a chance to review the documents. I'll first turn the call over to our CEO, Brian Moynihan, for some opening comments before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Other,2,Introduction,Q4_2023,2024-01-12
Let me just remind you that we may make forward-looking statements and refer to non-GAAP financial measures during the call. Forward-Looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties.,quarter,Lee McEntire,Other,2,Disclaimer,Q4_2023,2024-01-12
"Factors that may cause our actual results to materially differ from those expectations are detailed in our earnings materials and the SEC filings that are available on our website. Information about our non-GAAP financial measures, including reconciliations to U.S. GAAP, can also be found in our earnings materials and our website. So, with that, I'll turn the call over to you, Brian. Thank you very much.",quarter,Lee McEntire,Other,2,Disclaimer,Q4_2023,2024-01-12
"Thank you, and happy new year to everyone. Good morning. Thank you for joining us. I'm starting on Slide 2 of the earnings presentation.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q4_2023,2024-01-12
"Here, at Bank of America, our teammates finished 2023 with a solid fourth quarter. Reported EPS was $0.35, but that included two notable items that Alastair will describe in more detail. Adjusted for those two items, net income was $5.9 billion after tax, or $0.70 per share. Before Alastair covers Quarter 4 results, I want to take a moment and briefly review the 2023 full year results.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q4_2023,2024-01-12
"Our team at Bank of America delivered strong profits for shareholders across a challenging year, navigating a slowing economy, geopolitical tensions, bank failures, and the impact of a rate hike of historic speed. We began the year with a portentous aura as economists predicted a mild recession within the year.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q4_2023,2024-01-12
"Instead, 2023 showcased economic resilience led by U.S. consumers despite higher interest rates.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q4_2023,2024-01-12
"We ended 2023, with economists projecting the Fed has successfully steered the U.S. economy to a soft landing. In regards to the economy, during 2023, we consistently made a few points regarding what we were seeing in our customer data here at Bank of America.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q4_2023,2024-01-12
