text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Bank of America 
Third Quarter 2024 Earnings Announcement 
October 15, 2024",quarter,Other,Other,1,Introduction,Q3_2024,2024-10-15
"Participants 
Presenters 
Brian Moynihan – Bank of America, Chair and CEO  
Alastair Borthwick – Bank of America, CFO  
Lee McEntire – Bank of America, Investor Relations & Local Markets Organization Executive 
 
Participants 
Jim Mitchell – Seaport Global 
Betsy Graseck – Morgan Stanley 
Glenn Schorr – Evercore 
Matt O’Connor – Deutsche Bank 
Mike Mayo – Wells Fargo 
Vivek Juneja – JP Morgan 
Sharon Leung – Wolfe Research 
Erika Najarian – UBS 
Gerard Cassidy – RBC Capital Markets",quarter,Other,Other,2,Introduction,Q3_2024,2024-10-15
"Good morning. Welcome, and thank you for joining the call to review our third quarter results. Our earnings release documents are available on the Investor Relations section of the bankofamerica.com website. They include the earnings presentation that we'll make reference to during this call. I hope everyone's had a chance to review those documents. Our CEO, Brian Moynihan, will make some opening comments before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Host,2,Prepared remarks,Q3_2024,2024-10-15
Let me just remind you that we may make forward-looking statements and refer to non-GAAP financial measures during the call. Forward-looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties. Factors that may cause our actual results to materially differ from expectations are detailed in our earnings materials and our SEC filings that are available on the website.,quarter,Lee McEntire,Host,2,Prepared remarks,Q3_2024,2024-10-15
"Information about non-GAAP financial measures, including reconciliations to U.S. GAAP, can also be found in our earnings materials that are available on the website. So with that, Brian, take it away.",quarter,Lee McEntire,Host,2,Prepared remarks,Q3_2024,2024-10-15
"Thank you, Lee, and good morning, and thank all of you for joining us for our discussion of our third-quarter results. Bank of America continued to demonstrate strength this quarter in an economy that continued to be stable, albeit with slower growth and falling inflation.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2024,2024-10-15
"So many of you have asked me from time to time, what do we see in our own consumer customer base? As we talked about many times, our consumer payments is an indicator of activity. Those payments were up 4% to 5% year-over-year for the quarter in the total money those consumers moved in the economy.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2024,2024-10-15
"The pace of year-to-year money movement has been steady since late summer this year, after having fallen in the spring and early summer. This growth in consumer payments continues into October.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2024,2024-10-15
"This activity is consistent with how customers are spending money in the 2016 to 2019 time frame, when the economy was growing and inflation was under control. This report has not meant to gainsay that consumers are wary of the cost of living, worried about higher rates and other matters. But overall, activity is fine.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q3_2024,2024-10-15
"Unemployment is low and wage growth is steady, both of which bode both for the consumer overall and for consumer asset quality.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q3_2024,2024-10-15
