text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning. Thank you. Thank you for joining the call to review our first quarter results. Our earnings release documents are available on the Investor Relations section of the bankofamerica.com website. Those documents include the earnings presentation that we will make reference to during the call. First, our CEO, Brian Moynihan, will make some opening comments before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Host,2,Introduction,Q1_2025,2025-04-15
"Let me just remind you that we may make forward-looking statements and refer to non-GAAP financial measures during the call. Forward-looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties. Factors that may cause our actual results to materially differ from expectations are detailed in our earnings materials as well as our SEC filings available on the website. Information about non-GAAP financial measures, including reconciliations to U.S. GAAP can also be found in our earnings materials on the website.",quarter,Lee McEntire,Host,2,Disclaimer,Q1_2025,2025-04-15
"With that, Brian, let's get started.",quarter,Lee McEntire,Host,2,Introduction,Q1_2025,2025-04-15
"Thank you, Lee, and thank all of you and good morning, and thank you for joining us.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"Given the recent events, we want to do a couple of things at our time today.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"First, we want to provide a clear picture of how well the fundamentals of the company performed to produce another good quarter of earnings in the first quarter of 2025.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"So I'm going to talk through a little of those highlights, and I'm going to turn it over to Alastair for details on the quarter and some forward guidance.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"And second, given the market volatility and the concerns of potential changes in the economy and its outlook, at the end of the quarterly presentation, we're going to give you some facts to set the context about the quality of our credit portfolios, our capital, and liquidity as we may face periods of economic change and set that in the context to how we fared prior to past periods of economic stress.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"So let's get going on Slide 2 of the discussion. This morning, Bank of America reported $7.4 billion in net income and $0.90 in EPS for the first quarter of 2025.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
That's a solid start to 2025 and great work by our team.,quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2025,2025-04-15
"On a year-over-year basis, we grew revenue by 6%, we grew net income at 11%. We grew earnings per share at 18%, and we delivered more capital back to shareholders, and we reduced shares in the aggregate by 3%.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2025,2025-04-15
We produced an 89 basis points return on assets and a 14% return on tangible common equity in the first quarter.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2025,2025-04-15
So let me hit on a few highlights that drove that performance.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2025,2025-04-15
