text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning. Welcome. Thank you for joining the call to review our second quarter results. Our earnings release documents are available on the Investor Relations section of the bankofamerica.com website, and they include the earnings presentation that we will make reference to during the call. I hope everyone has had a chance to review those documents.",quarter,Lee McEntire,Host,2,Introduction,Q2_2024,2024-07-16
"Our CEO, Brian Moynihan, will make some opening comments before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Host,2,Introduction,Q2_2024,2024-07-16
"Let me just remind you that we may make forward-looking statements and refer to non-GAAP financial measures during the call. Forward-looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties. Factors that may cause our actual results to materially differ from expectations are detailed in our earnings materials and SEC filings, available on our website.",quarter,Lee McEntire,Host,2,Disclaimer,Q2_2024,2024-07-16
"Information about non-GAAP financial measures, including reconciliations to U.S. GAAP, can also be found in our earnings materials that are available on our website.",quarter,Lee McEntire,Host,2,Disclaimer,Q2_2024,2024-07-16
"So with that, let me turn the call over to Brian. Thank you.",quarter,Lee McEntire,Host,2,Introduction,Q2_2024,2024-07-16
"Thank you, Lee, and good morning, and thank all of you for joining us today. Before I begin today, I just want to reflect a second on the horrible events this weekend. We at Bank of America are clear that there's no place for political violence in our great country, and we continue to wish the former President Trump a speedy recovery. And our thoughts, of course, go out to the victims and their families and others impacted by this terrible event.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q2_2024,2024-07-16
"With that, let's our attention to the results for the second quarter of 2024 Bank of America Corporation. This quarter, we achieved success in a number of areas, underscoring the benefits of our diversity and the dedication of our team to deliver responsible growth. Our organic growth engine continues to add customers and activity to all our businesses even as we see the drop in net interest income this quarter.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q2_2024,2024-07-16
"I'm starting on Slide 2. Our net income for the quarter was $6.9 billion after tax or $0.83 in diluted EPS. Attesting to the balance in our franchise, the earnings were split evenly: half in our Consumer and GWIM businesses, which serve people, and the other half in our institutional-focused business, Global Banking and Markets.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q2_2024,2024-07-16
"We grew revenue from the second quarter 2023, as improvement in noninterest income overcame the decline in net interest income. Fees grew 6% year-over-year and represented 46% of total revenue in the quarter.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q2_2024,2024-07-16
Our strong fee performance was led by a 14% improvement in asset management fees in our wealth management businesses.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q2_2024,2024-07-16
We grew investment banking fees 29% year-over-year and saw sales and trading revenue increase 7%.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q2_2024,2024-07-16
Global Markets had its ninth consecutive quarter of year-over-year growth in sales and trading revenue – a good job by Jimmy DeMare and the team.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q2_2024,2024-07-16
