caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Digital Users and Households,"Verified users grew from 39 million in 2Q20 to 46 million in 2Q23, while active users grew from 52 million to 57 million over the same period. Household adoption increased from 68% in 2Q20 to 74% in 2Q23.",quarter,4,Financial Results,Q2_2023,2023-07-18
Digital Channel Usage,"Total digital channel usage has increased from 2,346 million in 2Q20 to 3,148 million in 2Q23. Digital appointments also rose from 665 thousand to 871 thousand during this period.",quarter,4,Financial Results,Q2_2023,2023-07-18
Digital Sales,"Digital unit sales have risen from 1,089 thousand in 2Q20 to 1,770 thousand in 2Q23. Digital sales as a percentage of total sales have increased from 47% to 51% over the same timeframe.",quarter,4,Financial Results,Q2_2023,2023-07-18
Erica® Active Users and Interactions (MM),Erica® active users increased from 6.5 million in 2Q20 to 18.2 million in 2Q23. Erica® interactions grew significantly from 37.2 million to 166.5 million during the same period.,quarter,4,Financial Results,Q2_2023,2023-07-18
Person-to-Person Payments (Zelle®),"Zelle transactions increased from 117 million in 2Q20 to 303 million in 2Q23, with the corresponding transaction volume growing from $32 billion to $91 billion. Zelle users also grew from 11.3 million to 20.3 million over the same period.",quarter,4,Financial Results,Q2_2023,2023-07-18
Checks vs. Zelle® Sent Transactions (MM),"Zelle® sent transactions have surged from 79 million in 2Q20 to 197 million in 2Q23, while checks written have declined from 130 million to 111 million over the same period.",quarter,4,Financial Results,Q2_2023,2023-07-18
Digital Households / Relationships,"Digital households/relationships increased from 643,000 in 2Q20 to 718,000 in 2Q23. Digital adoption percentage also rose from 77% to 83% during this period.",quarter,5,Financial Results,Q2_2023,2023-07-18
Digital Channel Adoption,"Online adoption remained stable at 75-76% from 2Q20 to 2Q23, while mobile adoption increased from 49% to 59% in the same period.",quarter,5,Financial Results,Q2_2023,2023-07-18
eDelivery,The percentage of clients using eDelivery grew steadily from 66% in 2Q20 to 78% in 2Q23.,quarter,5,Financial Results,Q2_2023,2023-07-18
Erica® Interactions (MM),Erica® interactions increased significantly from 0.4 million in 2Q20 to 2.7 million in 2Q23.,quarter,5,Financial Results,Q2_2023,2023-07-18
Person-to-Person Payments (Zelle®),"Zelle® transactions grew from 0.8 million in 2Q20 to 3.0 million in 2Q23, with the corresponding volume increasing from $0.4 billion to $1.8 billion.",quarter,5,Financial Results,Q2_2023,2023-07-18
Check Deposits,Automated check deposits (as a percentage of total) increased slightly from 72% in 2Q20 to 74% in 2Q23. Physical check deposits decreased from 1.5 million in 2Q20 to 1.3 million in 2Q23.,quarter,5,Financial Results,Q2_2023,2023-07-18
Client Digital Adoption %,"Client digital adoption remained high and stable, at 75% in 2Q21, 76% in 2Q22, and 75% in 2Q23.",quarter,6,Financial Results,Q2_2023,2023-07-18
CashPro® App Sign-ins (K),"CashPro® App sign-ins have steadily increased from 247,000 in 2Q20 to 803,000 in 2Q23, showing strong growth in mobile engagement.",quarter,6,Financial Results,Q2_2023,2023-07-18
CashPro® App Payments,"The volume of CashPro® App payments grew from 0.9 million in 2Q20 to 3.5 million in 2Q23, while the value increased significantly from $48 billion to $201 billion over the same period.",quarter,6,Financial Results,Q2_2023,2023-07-18
CashPro® Proactive Alerts & Insights (MM),The number of CashPro® proactive alerts and insights increased from 12.7 million in 2Q20 to 18.0 million in 2Q23.,quarter,6,Financial Results,Q2_2023,2023-07-18
Global Payments to Digital Wallets (K),"Global payments to digital wallets peaked in 2Q21 at 403,000 and have since settled at 400,000 in 2Q23, after a low of 315,000 in 2Q20.",quarter,6,Financial Results,Q2_2023,2023-07-18
Credit Monitoring Documents Uploaded Digitally (%),"The percentage of credit monitoring documents uploaded digitally has more than doubled, increasing from 17% in 2Q20 to 39% in 2Q23.",quarter,6,Financial Results,Q2_2023,2023-07-18
