caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Total Loans and Leases ($B),"Total loans and leases showed slight quarterly fluctuations, ending at $1,051B in 4Q23, a 1% increase year-over-year from $1,039B in 4Q22.",quarter,7,Financial Results,Q4_2023,2024-01-12
Total Loans and Leases by Portfolio ($B),"From 4Q22 to 4Q23, commercial loans remained relatively stable, ending at $592B, while consumer loans saw a modest increase from $453B to $459B.",quarter,7,Financial Results,Q4_2023,2024-01-12
Loans and Leases in Business Segments ($B),"From 4Q22 to 4Q23, Global Markets loans grew 9% to $134B and Consumer Banking loans grew 4% to $313B. GWIM and Global Banking loans saw slight declines of 3% and 1% respectively.",quarter,7,Financial Results,Q4_2023,2024-01-12
Total Loans and Leases in All Other ($B),"Total loans and leases in 'All Other' decreased 10% year-over-year to $9B in 4Q23. Residential mortgages remained flat at $8B over the period, while home equity loans declined.",quarter,7,Financial Results,Q4_2023,2024-01-12
Total Corporation ($B),"Total corporate deposits increased to $1,905B in 4Q23 from $1,876B in 3Q23, driven by a 4% QoQ rise in interest-bearing deposits, while noninterest-bearing deposits declined 4% QoQ. Since 4Q19, total deposits are up 35%.",quarter,8,Financial Results,Q4_2023,2024-01-12
Consumer Banking ($B),"Consumer banking deposits decreased 2% QoQ to $959B in 4Q23. Both non-checking (down 1% QoQ) and checking (down 3% QoQ) deposits declined. Since 4Q19, total deposits are up 33%.",quarter,8,Financial Results,Q4_2023,2024-01-12
GWIM ($B),"GWIM deposits remained flat QoQ at $292B in 4Q23, with a slight 2% increase in bank deposits offset by a 6% decrease in sweep deposits. Since 4Q19, total deposits are up 14%.",quarter,8,Financial Results,Q4_2023,2024-01-12
Global Banking ($B),"Global Banking deposits grew 5% QoQ to $528B in 4Q23, driven by an 11% increase in interest-bearing deposits, while noninterest-bearing deposits declined 7%. Since 4Q19, total deposits are up 39%.",quarter,8,Financial Results,Q4_2023,2024-01-12
"Deposits in Excess of Loans (EOP, $B)","Deposits in excess of loans, which peaked at $1,085B in 4Q21, stood at $870B in 4Q23, an increase from the previous quarter.",quarter,9,Financial Results,Q4_2023,2024-01-12
Cash and Securities Portfolios ($B),"Total cash and securities portfolios stood at $1,205B in 4Q23, up from $1,093B in 4Q22, with cash & cash equivalents increasing to $333B.",quarter,9,Financial Results,Q4_2023,2024-01-12
Cash & Securities Yield vs. Deposit Rate Paid,"The spread between cash & securities yield and total deposit rate paid widened significantly by 4Q23, with the yield reaching 3.51% and the rate at 1.82%.",quarter,9,Financial Results,Q4_2023,2024-01-12
"Net Interest Income (FTE, $B)","FTE Net Interest Income declined to $14.1B in 4Q23 from its recent peak of $14.8B in 4Q22. GAAP Net Interest Income followed a similar trend, falling to $13.9B in 4Q23.",quarter,10,Financial Results,Q4_2023,2024-01-12
Net Interest Yield (FTE),The reported net interest yield has trended downwards from a peak of 2.22% in 4Q22 to 1.97% in 4Q23. The net interest yield excluding GM also declined from its peak of 2.85% in 2Q23 to 2.47% in 4Q23.,quarter,10,Financial Results,Q4_2023,2024-01-12
