caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Total Corporation ($B),"Total Corporation average deposits showed a slight but steady increase from 3Q23 ($1,876B) to 3Q24 ($1,921B). The total rate paid rose significantly over the same period, ending at 2.10% in 3Q24. Noninterest-bearing deposits have been gradually declining.",quarter,7,Financial Results,Q3_2024,2024-10-15
Consumer Banking ($B),"Consumer Banking average deposits have been on a downward trend, from $1,069B in 3Q22 to $938B in 3Q24. The total rate paid increased, reaching 0.65% in 3Q24, reflecting a shift in deposit mix and rising rates.",quarter,7,Financial Results,Q3_2024,2024-10-15
GWIM ($B),"GWIM average deposits fluctuated, decreasing from a high of $339B in 3Q22 to $280B in 3Q24. The total rate paid increased sharply to 3.13% in 3Q24.",quarter,7,Financial Results,Q3_2024,2024-10-15
Global Banking ($B),"Global Banking average deposits grew from $495B in 3Q22 to $550B in 3Q24, with a notable increase in interest-bearing deposits. The total rate paid also rose significantly to 3.27% in 3Q24.",quarter,7,Financial Results,Q3_2024,2024-10-15
Total Loans and Leases ($B),"Total average loans and leases grew by 1% year-over-year, from $1,051B in 3Q23 to $1,060B in 3Q24, showing a slight increase in the most recent quarter.",quarter,8,Financial Results,Q3_2024,2024-10-15
Total Loans and Leases by Portfolio ($B),"Over the past year, Consumer loans have increased from $589B in 3Q23 to $602B in 3Q24, while Commercial loans remained relatively stable, moving from $457B to $458B in the same period.",quarter,8,Financial Results,Q3_2024,2024-10-15
Loans and Leases in Business Segments ($B),"Year-over-year, loan balances in Global Markets grew 7% to $141B and Consumer Banking grew 1% to $314B. GWIM balances increased 3% to $225B, while Global Banking balances declined 1% to $371B. Overall balances increased 1% YoY to $1,051B.",quarter,8,Financial Results,Q3_2024,2024-10-15
Total Loans and Leases by Product ($B),"From 3Q23 to 3Q24, U.S. commercial loans increased from $378B to $392B, while consumer credit card loans grew from $124B to $125B. Home lending decreased from $255B to $253B. Overall total loans and leases increased from $1,046B to $1,060B.",quarter,8,Financial Results,Q3_2024,2024-10-15
"Net Interest Income (FTE, $B)","Net Interest Income (FTE) was $14.1B in 3Q24, up from $13.9B in 2Q24 but down from $14.5B in 3Q23. GAAP Net Interest Income followed a similar trend, ending at $14.0B in 3Q24.",quarter,9,Financial Results,Q3_2024,2024-10-15
Net Interest Yield (FTE),Reported net interest yield has trended downwards from 2.11% in 3Q23 to 1.92% in 3Q24. Net interest yield excluding Global Markets also declined from 2.64% in 3Q23 to 2.40% in 3Q24.,quarter,9,Financial Results,Q3_2024,2024-10-15
