text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Consumer Banking added ~278,000 net new checking accounts, marking 22 consecutive quarters of growth.",quarter,3,Financial Results,Q2_2024,2024-07-16
Consumer Banking added ~1MM credit card accounts.,quarter,3,Financial Results,Q2_2024,2024-07-16
"Consumer Banking reported record consumer investment assets of $476B, up 23% YoY, with 3.9MM accounts, up 6%.",quarter,3,Financial Results,Q2_2024,2024-07-16
Consumer Banking saw 13 consecutive quarters of Small Business loan growth.,quarter,3,Financial Results,Q2_2024,2024-07-16
"Global Wealth & Investment Management added ~6,100 net new relationships across Merrill and Private Bank.",quarter,3,Financial Results,Q2_2024,2024-07-16
"Global Wealth & Investment Management opened ~30,000 new bank accounts, with over 60% of clients having a banking relationship.",quarter,3,Financial Results,Q2_2024,2024-07-16
"Global Wealth & Investment Management reported record client balances of over $4T, up 10% YoY.",quarter,3,Financial Results,Q2_2024,2024-07-16
Global Wealth & Investment Management grew loan balances 3% YoY to $225B.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Banking ranked #3 in investment banking fees and grew 1H24 market share by 42 bps YoY.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Banking grew 1H24 investment banking fees 32% YoY to $3.1B.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Banking grew Middle Market loan balances 4% YoY.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Banking grew average deposits 6% from 2Q23.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Markets has had 9 consecutive quarters of YoY sales and trading revenue growth.,quarter,3,Financial Results,Q2_2024,2024-07-16
Global Markets reported the highest 2Q sales and trading revenue in over a decade.,quarter,3,Financial Results,Q2_2024,2024-07-16
"Global Markets saw record average loan balances of $135B, up 5% YoY, marking 15 consecutive quarters of growth.",quarter,3,Financial Results,Q2_2024,2024-07-16
Global Markets had zero trading loss days in 1H24.,quarter,3,Financial Results,Q2_2024,2024-07-16
"Total deposits, loans, and investment balances reached $5.7T.",quarter,3,Financial Results,Q2_2024,2024-07-16
Total net wealth spectrum flows were $58B since 2Q23.,quarter,3,Financial Results,Q2_2024,2024-07-16
"Net income was $6.9B, with diluted earnings per share of $0.83, ROE of 10.0%, and ROTCE of 13.6%.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Revenue, net of interest expense, increased by $0.2B (1%) to $25.4B, reflecting higher asset management, investment banking fees, and sales and trading revenue, offset by lower net interest income (NII).",quarter,6,Financial Results,Q2_2024,2024-07-16
"NII of $13.7B ($13.9B FTE) decreased $0.5B, or 3%, as higher deposit costs more than offset higher asset yields and modest loan growth.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Provision for credit losses was $1.5B, compared to $1.1B in 2Q23 and $1.3B in 1Q24.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Net charge-offs of $1.5B increased from 2Q23, driven by credit card and commercial real estate office, but were relatively flat compared to 1Q24.",quarter,6,Financial Results,Q2_2024,2024-07-16
"There was a net reserve release of $25MM, versus a net reserve build of $256MM in 2Q23 and a net reserve release of $179MM in 1Q24.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Noninterest expense of $16.3B increased $0.3B, or 2%, driven by investments in people and revenue-related compensation.",quarter,6,Financial Results,Q2_2024,2024-07-16
"The balance sheet remained strong, with average deposits of $1.91T increasing by $35B (2%) vs. 2Q23.",quarter,6,Financial Results,Q2_2024,2024-07-16
Average loans and leases of $1.05T increased modestly vs. 2Q23.,quarter,6,Financial Results,Q2_2024,2024-07-16
Average Global Liquidity Sources were $909B.,quarter,6,Financial Results,Q2_2024,2024-07-16
Common Equity Tier 1 capital of $198B increased $1B from 1Q24.,quarter,6,Financial Results,Q2_2024,2024-07-16
"Returned $5.4B to shareholders, including $1.9B in common dividends and $3.5B in stock repurchases.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Announced an 8% increase in quarterly common dividend, effective 3Q24.",quarter,6,Financial Results,Q2_2024,2024-07-16
"Common Equity Tier 1 ratio of 11.9% increased 6 bps from 1Q24, standing 122 bps above the new regulatory minimum effective October 1, 2024.",quarter,6,Financial Results,Q2_2024,2024-07-16
CET1 ratio of 11.9% increased 6 bps from 1Q24.,quarter,7,Financial Results,Q2_2024,2024-07-16
CET1 capital of $198B increased $1B.,quarter,7,Financial Results,Q2_2024,2024-07-16
"Standardized RWA of $1,662B increased $4B.",quarter,7,Financial Results,Q2_2024,2024-07-16
