caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Total Corporation ($B),"Total average deposits slightly decreased from $2,012B in 2Q22 to a low of $1,875B in 2Q23, before recovering to $1,910B in 2Q24. The QoQ change in total rate paid (RHS) rose significantly from near 0% in 2Q22 to a peak in 2Q23 and then moderated.",quarter,4,Financial Results,Q2_2024,2024-07-16
Consumer Banking ($B),"Consumer Banking average deposits declined steadily from $1,078B in 2Q22 to $949B in 2Q24. The QoQ change in total rate paid (RHS) increased from 2Q22, peaked in 2Q23, and has since stabilized.",quarter,4,Financial Results,Q2_2024,2024-07-16
GWIM ($B),"GWIM average deposits decreased from $364B in 2Q22 to $288B in 2Q24. The QoQ change in total rate paid (RHS) shows a strong upward trend throughout the period, peaking in late 2023.",quarter,4,Financial Results,Q2_2024,2024-07-16
Global Banking ($B),"Global Banking average deposits fluctuated, starting at $509B in 2Q22, dipping to $493B in 1Q23, and ending at $525B in 2Q24. The QoQ change in total rate paid (RHS) rose sharply from 2Q22 to mid-2023 and has since declined.",quarter,4,Financial Results,Q2_2024,2024-07-16
30+ Days Past Due ($MM),30+ days past due balances have generally trended upward from 4Q19 to 2Q24. The delinquency rate increased from 2.09% at the start of the period to 2.43% by 2Q24.,quarter,5,Financial Results,Q2_2024,2024-07-16
90+ Days Past Due ($MM),90+ days past due balances have increased from 4Q19 to 2Q24. The delinquency rate rose from 1.07% in late 2019 to 1.26% in 2Q24.,quarter,5,Financial Results,Q2_2024,2024-07-16
Payment Rates Remain Elevated while Utilization Rates are Lower Compared to 4Q19,"From 4Q19 to 2Q24, the payment rate has remained elevated, ending at 1.2x. The utilization rate has been lower than the 4Q19 baseline, ending at 0.9x.",quarter,5,Financial Results,Q2_2024,2024-07-16
Growth in Deposit and Investment Balances of Credit Card Clients,"The growth in deposit and investment balances of credit card clients has increased significantly, showing a +25% change from the 4Q19 baseline to 2Q24.",quarter,5,Financial Results,Q2_2024,2024-07-16
Total Loans and Leases ($B),"Total average loans and leases remained relatively stable, fluctuating between $1,046B and $1,051B from 2Q23 to 2Q24, ending at $1,051B, a 0.5% year-over-year increase.",quarter,8,Financial Results,Q2_2024,2024-07-16
Total Loans and Leases by Portfolio ($B),"From 2Q23 to 2Q24, Commercial loans were relatively flat, ending at $596B. Consumer loans were also stable, starting at $454B and ending at $456B.",quarter,8,Financial Results,Q2_2024,2024-07-16
Loans and Leases in Business Segments ($B),"From 2Q23 to 2Q24, Consumer Banking loans increased by 2% to $312B. GWIM loans increased by 2% to $223B. Global Banking loans decreased by 3% to $373B. Global Markets loans increased by 5% to $135B.",quarter,8,Financial Results,Q2_2024,2024-07-16
Total Loans and Leases by Product ($B),"From 2Q23 to 2Q24, U.S. commercial loans increased slightly to $386B. Non-U.S. commercial loans and commercial real estate loans remained stable. Consumer credit card loans decreased slightly to $123B, while home lending and other loans also saw minor decreases.",quarter,8,Financial Results,Q2_2024,2024-07-16
"Net Interest Income (FTE, $B)","Net interest income (GAAP) declined from $14.2B in 2Q23 to $13.7B in 2Q24. Total FTE NII followed a similar trend, falling from $14.3B to $13.9B over the same period.",quarter,9,Financial Results,Q2_2024,2024-07-16
Net Interest Yield (FTE),"Reported net interest yield declined from 2.06% in 2Q23 to 1.93% in 2Q24. The net interest yield excluding Global Markets also decreased, from 2.65% in 2Q23 to 2.41% in 2Q24.",quarter,9,Financial Results,Q2_2024,2024-07-16
"Net Interest Income excl. GM (FTE, $B)","Net interest income excluding Global Markets (NII excl. GM) decreased from $14.0B in 2Q23 to $13.1B in 2Q24. NII from Global Markets remained relatively stable, fluctuating between $0.3B and $0.8B over the period.",quarter,9,Financial Results,Q2_2024,2024-07-16
Net Interest Income Outlook,"Net interest income is projected to increase from $13.9B in 2Q24 to approximately $14.5B in 4Q24. This outlook is driven by positive impacts from fixed-rate asset repricing (~$300MM), BSBY cessation (~$200MM), day count (~$125MM), and Global Markets NII (~$100MM). These are partially offset by negative impacts from interest rate cuts (~$225MM) and other balance sheet factors (~$50MM-$200MM).",quarter,10,Outlook,Q2_2024,2024-07-16
Total Noninterest Expense ($B),"Total noninterest expense was $16.0B in 2Q23, rose to a peak of $17.7B in 4Q23 (including a $2.1B FDIC special assessment), and then settled at $16.3B in 2Q24. Adjusted for the assessment, expense was $15.6B in 4Q23 and $16.5B in 1Q24.",quarter,11,Financial Results,Q2_2024,2024-07-16
Efficiency Ratio,"The efficiency ratio was relatively stable, hovering around 64% in 2Q23, 1Q24, and 2Q24, with a dip to 63% in 3Q23 and a peak of 66% in 4Q23.",quarter,11,Financial Results,Q2_2024,2024-07-16
Net Charge-offs ($MM),"Net charge-offs increased from $869MM in 2Q23 to $1,533MM in 2Q24. The net charge-off ratio also rose from 0.33% to 0.59% over the same period.",quarter,12,Financial Results,Q2_2024,2024-07-16
Provision for Credit Losses ($MM),"Provision for credit losses fluctuated, starting at $1,125MM in 2Q23, dipping to $1,104MM in 4Q23, and rising to $1,508MM in 2Q24.",quarter,12,Financial Results,Q2_2024,2024-07-16
Consumer Net Charge-offs ($MM),"Consumer net charge-offs, primarily driven by credit cards, increased steadily from $720MM in 2Q23 to $1,059MM in 2Q24. The consumer NCO ratio rose from 0.64% to 0.93% over the same period.",quarter,13,Financial Results,Q2_2024,2024-07-16
Commercial Net Charge-offs ($MM),"Commercial net charge-offs were low in 2Q23 and 3Q23, then rose significantly to $470MM in 1Q24 and $474MM in 2Q24, driven by commercial real estate. The commercial NCO ratio increased from 0.10% in 2Q23 to 0.32% in 2Q24.",quarter,13,Financial Results,Q2_2024,2024-07-16
Commercial Real Estate as a Percent of:,"Commercial real estate as a percentage of total commercial loans decreased from 21.2% in 4Q09 to 11.7% in 2Q24. As a percentage of total loans and leases, it decreased from 6.9% to 6.7% over the same period.",quarter,20,Financial Results,Q2_2024,2024-07-16
Geographic Distribution ($B),"The geographic distribution of the ~$70B commercial real estate portfolio is led by Northeast (23%, $16.0B), California (20%, $14.1B), and Southeast (17%, $11.9B). Other regions like Midsouth, Southwest, and Midwest each hold smaller shares.",quarter,20,Financial Results,Q2_2024,2024-07-16
Distribution by Property Type ($B),"The ~$70B commercial real estate portfolio is primarily concentrated in Office (23%, $16.3B), Industrial/Warehouse (21%, $14.7B), and Multi-family rental (16%, $11.6B). Other categories like Hotel/Motels and Shopping centers/Retail hold smaller shares.",quarter,20,Financial Results,Q2_2024,2024-07-16
Office Portfolio Scheduled Maturities ($B),"Scheduled maturities for the office portfolio are $4.8B in 2H24, $3.7B in 2025, and $4.1B in 2026.",quarter,20,Financial Results,Q2_2024,2024-07-16
Total Corporation ($B),"Total average deposits increased by 35% from $1,410B in 4Q19 to $1,910B in 2Q24. The composition shifted towards more interest-bearing deposits over the period.",quarter,21,Financial Results,Q2_2024,2024-07-16
Consumer Banking ($B),"Consumer Banking average deposits increased by 32% from $720B in 4Q19 to $949B in 2Q24, with a notable increase in core operating deposits.",quarter,21,Financial Results,Q2_2024,2024-07-16
GWIM ($B),GWIM average deposits increased by 12% from $256B in 4Q19 to $288B in 2Q24. The proportion of sweep deposits has decreased relative to bank deposits.,quarter,21,Financial Results,Q2_2024,2024-07-16
Global Banking ($B),"Global Banking average deposits grew by 39% from $379B in 4Q19 to $525B in 2Q24, with a significant increase in interest-bearing deposits.",quarter,21,Financial Results,Q2_2024,2024-07-16
"Deposits in Excess of Loans (EOP, $B)","Deposits in excess of loans grew from $451B in 4Q19 to a peak of $1,085B in 4Q21, and have since moderated to $854B in 2Q24.",quarter,22,Financial Results,Q2_2024,2024-07-16
Cash and Securities Portfolios ($B),"The cash and securities portfolio grew from $634B in 4Q19 to a peak of $1,331B in 4Q21 and stood at $1,199B in 2Q24. HTM securities have decreased since 4Q21, while cash & cash equivalents have increased.",quarter,22,Financial Results,Q2_2024,2024-07-16
