caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Payment Spend ($ Volume) and YoY % Growth,The bar chart shows total payment spend volume increasing from $0.9T in 1Q22 to $1.1T in 1Q25. The year-over-year growth rate has slowed from 13% in 1Q22 to 4% in 1Q25.,quarter,4,Financial Results,Q1_2025,2025-04-15
Payment Spend ($ and Transaction Volume) Quarterly YoY % Growth,"The line chart illustrates the quarterly year-over-year percentage growth for both payment volume and transaction numbers. Both metrics show a declining growth trend from a peak in early 2021, stabilizing to low single-digit growth by 1Q25, where volume growth was 4% and transaction growth was 2%.",quarter,4,Financial Results,Q1_2025,2025-04-15
1Q25 Credit and Debit YoY % Growth,This bar chart displays the year-over-year growth in spend volume and transaction numbers across different categories. Travel & Entertainment saw 3% volume growth and 5% transaction growth. Services also grew strongly with 5% volume and 2% transaction growth. Gas spending declined by 4% in volume.,quarter,4,Financial Results,Q1_2025,2025-04-15
Payment Transaction Volume 1Q25 vs. 1Q19,"Comparing payment transaction volumes in 1Q25 to 1Q19, P2P/P2B transactions have grown by 109%. ACH/Wire and Credit/Debit transactions also grew by 52% and 27% respectively, while Cash/Check transactions declined by 39%.",quarter,4,Financial Results,Q1_2025,2025-04-15
CET1 Ratio Drivers,"This waterfall chart explains the change in the CET1 ratio from 11.9% at the end of 4Q24 to 11.8% at the end of 1Q25. Net income added 41 bps, while common dividends (-12 bps), RWA growth (-11 bps), share repurchases (-27 bps), and other factors (-2 bps) reduced the ratio. The final 1Q25 ratio of 11.8% is approximately 110 bps above the regulatory minimum.",quarter,8,Financial Results,Q1_2025,2025-04-15
Total Corporation ($B),"Total corporate average deposits increased to $1,958B in 1Q25, up from $1,907B in 1Q24. The total rate paid decreased slightly to 1.79% in 1Q25 from 1.94% in 4Q24, while the proportion of interest-bearing deposits has been growing.",quarter,9,Financial Results,Q1_2025,2025-04-15
Consumer Banking ($B),"Consumer Banking average deposits decreased to $948B in 1Q25 from $952B in 1Q24. The total rate paid was 0.61% in 1Q25, a slight decrease from 0.64% in 4Q24, but up from 0.55% in 1Q24.",quarter,9,Financial Results,Q1_2025,2025-04-15
GWIM ($B),GWIM average deposits decreased to $286B in 1Q25 from $297B in 1Q24. The total rate paid has decreased to 2.50% in 1Q25 from a peak of 2.89% in 4Q23.,quarter,9,Financial Results,Q1_2025,2025-04-15
Global Banking ($B),Global Banking average deposits increased to $575B in 1Q25 from $525B in 1Q24. The total rate paid decreased to 2.73% in 1Q25 from 3.12% in 1Q24.,quarter,9,Financial Results,Q1_2025,2025-04-15
Total Loans and Leases ($B),"Total average loans and leases grew steadily from $1,048B in 1Q24 to $1,094B in 1Q25, representing a 4% year-over-year increase.",quarter,10,Financial Results,Q1_2025,2025-04-15
Total Loans and Leases by Portfolio ($B),"The portfolio mix shows Consumer loans at $462B and Commercial loans at $632B in 1Q25. Both segments have grown over the past year, with commercial loans showing slightly stronger growth.",quarter,10,Financial Results,Q1_2025,2025-04-15
Loans and Leases in Business Segments ($B),"By business segment, Global Markets showed the strongest YoY growth at +19% reaching $160B. Global Banking grew 6% to $232B, while Consumer Banking and GWIM both grew 1% to $315B and $379B respectively.",quarter,10,Financial Results,Q1_2025,2025-04-15
Total Loans and Leases by Product ($B),"By product, U.S. commercial loans ($412B), consumer credit cards ($123B), and commercial real estate ($139B) are the largest components. Most loan categories show modest growth over the past year.",quarter,10,Financial Results,Q1_2025,2025-04-15
"Net Interest Income (FTE, $B)","Net interest income (FTE basis) has been increasing, reaching $14.6B in 1Q25 from $14.2B in 1Q24. GAAP NII also rose to $14.4B in 1Q25.",quarter,11,Financial Results,Q1_2025,2025-04-15
Net Interest Yield (FTE),"Reported net interest yield was 1.99% in 1Q25, flat compared to 1Q24. The net interest yield excluding Global Markets (GM) has been trending upwards, reaching 2.47% in 1Q25.",quarter,11,Financial Results,Q1_2025,2025-04-15
"Net Interest Income Mix (FTE, $B)","The bar chart shows total FTE NII increasing to $14.6B in 1Q25. The component from Global Markets (GM NII) has been relatively volatile, while NII excluding GM has been more stable, standing at $13.4B in 1Q25.",quarter,11,Financial Results,Q1_2025,2025-04-15
Net Interest Income Outlook 1Q25 to 4Q25,"This waterfall chart projects the change in Net Interest Income (FTE basis) from $14.6B in 1Q25 to a range of $15.5B-$15.7B in 4Q25. Positive drivers include day count (~$250MM), fixed-rate asset repricing (~$550MM), Global Markets NII (~$200MM), and other growth/mix effects (~$350MM-$550MM). This is partially offset by an expected negative impact from interest rate cuts of ~$450MM.",quarter,12,Outlook,Q1_2025,2025-04-15
Total Noninterest Expense ($B),"Total noninterest expense was $17.8B in 1Q25, an increase from $16.8B in 4Q24 and $17.2B in 1Q24. The 1Q25 expense consists of $10.9B in compensation and benefits and $6.9B in other expenses. Prior quarters included an FDIC special assessment, which was absent in 1Q25.",quarter,13,Financial Results,Q1_2025,2025-04-15
Efficiency Ratio,"The efficiency ratio was 65% in 1Q25. It fluctuated over the past year, with a high of 67% in 4Q24 and a low of 64% in 1Q24 and 2Q24.",quarter,13,Financial Results,Q1_2025,2025-04-15
