text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"1Q24 results included additional FDIC special assessment accrual of $0.7B in pretax noninterest expense, which reduced earnings by $0.07 per diluted common share.",quarter,2,Financial Results,Q1_2024,2024-04-16
"Consumer Banking: Added ~245,000 net new checking accounts; 21 consecutive quarters of growth.",quarter,3,Financial Results,Q1_2024,2024-04-16
Consumer Banking: Added over 1MM credit card accounts.,quarter,3,Financial Results,Q1_2024,2024-04-16
"Consumer Banking: Record 3.9MM consumer investment accounts, with $44B net client flows since 1Q23.",quarter,3,Financial Results,Q1_2024,2024-04-16
"Global Wealth & Investment Management: Added over 7,300 net new relationships across Merrill and Private Bank.",quarter,3,Financial Results,Q1_2024,2024-04-16
"Global Wealth & Investment Management: Opened ~29,000 new bank accounts.",quarter,3,Financial Results,Q1_2024,2024-04-16
"Global Wealth & Investment Management: Record client balances of nearly $4T, up 13% YoY.",quarter,3,Financial Results,Q1_2024,2024-04-16
"$5.6T total deposits, loans, and investments balances.",quarter,3,Financial Results,Q1_2024,2024-04-16
$60B total net wealth spectrum flows since 1Q23.,quarter,3,Financial Results,Q1_2024,2024-04-16
Global Banking: #3 investment banking fee ranking; grew market share 115 bps vs. 1Q23.,quarter,3,Financial Results,Q1_2024,2024-04-16
Global Banking: Grew investment banking fees 35% YoY to $1.6B.,quarter,3,Financial Results,Q1_2024,2024-04-16
Global Banking: Added 25% more Global Commercial Banking new clients YTD vs. 1Q23.,quarter,3,Financial Results,Q1_2024,2024-04-16
"Global Banking: Grew average deposits 7% from 1Q23, including 12% growth in Corporate Bank deposits.",quarter,3,Financial Results,Q1_2024,2024-04-16
Global Markets: 8 consecutive quarters of YoY sales and trading revenue growth.,quarter,3,Financial Results,Q1_2024,2024-04-16
Global Markets: Highest 1Q sales and trading revenue in over a decade.,quarter,3,Financial Results,Q1_2024,2024-04-16
"Global Markets: Record average loan balances of $134B, up 7% YoY.",quarter,3,Financial Results,Q1_2024,2024-04-16
Global Markets: Zero trading loss days in 1Q24.,quarter,3,Financial Results,Q1_2024,2024-04-16
"Comparisons to 1Q23, unless otherwise noted.",quarter,4,Financial Results,Q1_2024,2024-04-16
