text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Hello and welcome to Citi's Second Quarter 2024 Earnings Call. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks at which time you will be given instructions for the question-and-answer session. Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,OPERATOR,Host,1,Introduction,Q2_2024,2024-07-12
"Ms. Landis, you may begin.",quarter,OPERATOR,Host,1,Introduction,Q2_2024,2024-07-12
"Thank you, operator. Good morning and thank you all for joining our second quarter 2024 earnings call. I am joined today by our Chief Executive Officer, Jane Fraser, and our Chief Financial Officer, Mark Mason.",quarter,JENNIFER LANDIS,Host,1,Introduction,Q2_2024,2024-07-12
"I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our earnings materials as well as in our SEC filings.",quarter,JENNIFER LANDIS,Host,1,Disclaimer,Q2_2024,2024-07-12
"And with that, I'll turn it over to Jane.",quarter,JENNIFER LANDIS,Host,1,Introduction,Q2_2024,2024-07-12
"Thank you, Jenn, and good morning to everyone. Before I discuss the results of the quarter, let me first address the regulatory actions by the Federal Reserve and the Office of the Comptroller of the Currency which were announced on Wednesday. These actions pertain to the consent orders we entered into with both agencies in 2020 and those orders covered four primary areas: risk management, data governance, controls and compliance.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"Addressing these areas is the primary goal of our Transformation, our number one priority. It is a multi-year effort to modernize our infrastructure, unify disparate tech platforms and automate processes and controls.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
This week’s actions focused primarily on data quality management. We have been public this year about the fact that we were behind in this particular area and that we had increased our investment as a result.,quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"The regulatory actions consisted of two civil money penalties and, under the amended consent order with the OCC, a new process designed to ensure we are allocating sufficient resources to meet our remediation milestones, called the Resource Review Plan. We are currently developing the Plan for submission to the OCC.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"By way of background, while the Federal Reserve is the primary regulator for Citigroup, our bank holding company, the OCC is the primary regulator for Citibank, N.A. or CBNA, which is our largest banking vehicle with approximately 70% of our assets.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"The amended consent order with the OCC allows CBNA, to continue paying to Citigroup, at a minimum, the dividends necessary for debt service, preferred dividends, and other non-discretionary obligations. While we are developing and seeking OCC consent for our Resource Review Plan, dividend amounts above that would require the OCC’s non-objection.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"These dividends are intercompany payments that are made from CBNA ultimately to the parent, Citigroup. They should not be confused with the common dividends Citigroup pays to its shareholders.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"Indeed, there is no restriction on Citigroup’s ability to pay common dividends to shareholders, nor is there a restriction to buying back shares.",quarter,JANE FRASER,CEO,1,Prepared remarks,Q2_2024,2024-07-12
"And let me be very clear, even with the investments needed for our Transformation, Citigroup has more than sufficient resources to also invest in our businesses, and make the planned return of capital to our shareholders. We will increase our dividend from 53 to 56 cents a share, as we announced in late June, and will resume modest buybacks this quarter.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"While these actions were not entirely unexpected to us, it is no doubt disappointing for our investors and our people. We completely understand that. At the same time, we are confident in our ability to get these specific areas where they need to be, as we have been able to do in other areas of the Transformation.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"And we are pleased that it was acknowledged on Wednesday that we have made meaningful progress in executing our Transformation, and simplifying our firm. A multi-year undertaking such as this was never going to be linear.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"The investments we have been making are starting to come together to reduce risk, improve controls and deliver tangible outcomes. The tech investments we have made are making a difference. We have reduced the time it takes to book loans; automated controls for our traders to reduce errors; moved risk analytics to a cloud-based infrastructure; and increased the resiliency of our platforms to reduce downtime.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"The changes to our organization and our culture are making a difference. We have eliminated managerial constructs and layers whilst empowering our leaders. We introduced new tools to better manage human capital needs. Our focus on culture has increased accountability and attracted great new talent such as Vis Raghavan, Tim Ryan and Andy Sieg.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"You have my and the entire management team’s commitment that we will address any area of the consent order where we are behind by putting the necessary resources and focus behind it. We will get this work where it needs to be, as we have with the execution of our strategy and the simplification of our organization.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Now, turning to what was another good quarter, our results show the relentless focus we have in executing our strategy as we continue to drive towards our medium-term return targets. We reported net income of $3.2 billion with an earnings per share of $1.52 and an ROTCE of 7.2%.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Revenues were up 4% overall, as well as up in each of our five core businesses, where all but one had positive operating leverage. Expenses were down 2% year-over-year. The steps we are taking to simplify our organization, right-size businesses such as Markets and Wealth, and reduce stranded costs are beginning to take hold, even as we increase investment in our Transformation.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Over the medium term, we expect these simplification and stranded cost actions to drive the $2 to $2.5 billion in annual run-rate saves.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Services grew 3% driven by solid fee growth, which we have prioritized. TTS saw increased activity in cross border payments and in commercial cards. Securities Services was up 10%, with new client onboardings, deepening with existing clients, and market valuations helping increase our assets under custody by a preliminary 9%.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"At our recent Services Investor Day, we very much enjoyed the opportunity to talk to you in-depth about how we are going to continue to grow this high-returning business. And we are very pleased that people are starting to recognize why we describe it as our crown jewel.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Overall, Markets had a strong finish to the quarter leading to better performance than we had anticipated. Fixed Income was slightly down year-on-year due to lower FX and Rates, but we had good issuance and loan growth in Financing & Securitization, an area which generates attractive returns. Equities was up 37%, driven by strong performance in derivatives which includes a gain on the Visa B exchange offer.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Banking was up 38% as the wallet rebound gained some momentum and we again grew share. Our clients continued to access the debt capital markets with investment grade issuance near record levels. Equity issuance increased, particularly in convertibles, as companies wait for a fuller opening of the IPO window. Investment Banking fees were up 63% versus the prior year.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"We have seen some healthy volumes associated with announced deals year to date, particularly in Natural Resources and Technology. Combined with a strong pipeline, advisory activity looks promising as we think about the rest of the year and into next year.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Wealth is starting to improve. Growth in client investment assets drove stronger Investment revenue, especially in Citigold, and was up a preliminary 15%.",quarter,JANE FRASER,CEO,2,Prepared remarks,Q2_2024,2024-07-12
"Our focus on rationalizing the expense base is starting to pay off, with expenses down 4%. Andy and his team continue to attract top talent from the industry as they focus on our investments business and on enhancing the client experience.",quarter,JANE FRASER,CEO,3,Prepared remarks,Q2_2024,2024-07-12
"U.S. Personal Banking saw revenue growth of 6%, with all three businesses again contributing to the topline. There was good revolving balance and loan growth in both branded cards and retail services. We continue to see differentiation in the credit segments with the lower income customers seeing pressure.",quarter,JANE FRASER,CEO,3,Prepared remarks,Q2_2024,2024-07-12
"Retail Banking benefitted from higher mortgage loans and improved deposit spreads, while delivering strong referrals to Wealth. Overall, while we saw operating margin expansion, our poor returns were pressured by the combination of credit seasonality and the normalization of certain vintages. We certainly expect USPB’s returns to improve from here.",quarter,JANE FRASER,CEO,3,Prepared remarks,Q2_2024,2024-07-12
"The recent stress tests again showcased the strength of our balance sheet. Our CET1 ratio now stands at 13.6%, and we expect our regulatory capital requirement to decrease to 12.1% as of October 1st given the reduction of our stress capital buffer. Our tangible book value per share grew to $87.53.",quarter,JANE FRASER,CEO,3,Prepared remarks,Q2_2024,2024-07-12
"During the quarter, we returned $1 billion in capital to our common shareholders, and we are increasing our dividend by 6%. We expect to buyback $1 billion in common shares this quarter and we will continue to assess the level of buybacks on a quarterly basis, particularly given the uncertainty around the Basel III endgame.",quarter,JANE FRASER,CEO,3,Prepared remarks,Q2_2024,2024-07-12
