text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Hello, and welcome to Citi's First Quarter 2023 Earnings Review with the Chief Executive Officer, Jane Fraser, and Chief Financial Officer, Mark Mason. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks, at which time you will be given instructions for the question-and-answer session. Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,Operator,Host,1,Introduction,Q1_2023,2023-04-14
"Ms. Landis, you may begin.",quarter,Operator,Host,1,Introduction,Q1_2023,2023-04-14
"Thank you, operator. Good morning and thank you all for joining us. I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements, which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our SEC filings.",quarter,Jennifer Landis,Host,1,Disclaimer,Q1_2023,2023-04-14
"With that, I'll turn it over to Jane.",quarter,Jennifer Landis,Host,1,Introduction,Q1_2023,2023-04-14
"Thank you, Jenn, hello to everyone joining us today. Well, 2023 is shaping up to be another interesting year, given the tumultuous events of the last few weeks. I am going to share some observations, and then we'll turn to what was a good quarter.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
"First, our banking system as a whole is very strong. While a small handful of institutions still have challenges to overcome, the U.S. financial system remains unmatched globally. And I feel confident saying that as someone who has worked in many different systems around the world.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
"The U.S. system comprises a healthy mix of community banks, regional banks and global banks including Citi. We all have important but different roles to play, serving different clients with different needs and on different scales. I would also point to the rapid response by state, federal and international regulators that helped reinforce confidence in the system at a critical juncture.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
I am pleased that Citi has been a source of stability for the financial system and a source of strength for our clients. That’s not an accident.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
"We are in a position to play this role because our strategy is delivering a simpler, more focused bank. We benefit from a diversified earnings base and resilient business model. This is reinforced by our robust balance sheet management, liquidity position and strong risk management frameworks. We are disciplined in how we run the firm, from client selection to capital planning.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
And it is also thanks to our people. I want to express my pride in our colleagues around the world who have worked tirelessly last month to serve clients as they turned to Citi as a port in the storm.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
Recent events have shown that prudent asset and liability management is absolutely paramount.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14
"While Mark is going to walk you through our approach and our focus on interest rate risk, liquidity, and capital, I do want to mention a few things.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"In terms of assets, our loans are high-quality and short-duration. We have highly-liquid investment securities and a significant amount of cash.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"We have over $1 trillion of available liquidity resources, including $584 billion of HQLA and an LCR of 120%. And we maintain a diverse set of funding sources, including over $1.3 trillion of deposits across corporates, consumers, industries, and regions, many of which are operational in nature.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"The cornerstone is our institutional deposit base, which comprises about 60% of our deposits. Most of these deposits are particularly sticky because they sit in operating accounts that are fully integrated into how our multinational clients run their businesses around the world – from their payrolls to their supply chains to their cash and liquidity management.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"80% of these deposits are with clients who use all three of our integrated services- payments & collections, liquidity management and working capital solutions.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"The data that we aggregate from these deposits and their related flows is fundamental to how our clients manage their efficiency, risk and compliance. This greatly increases our deposit stickiness. And that is also why nearly 80% of these deposits are from client relationships that are 15 years old or more.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"Finally, we operate a strong risk framework that looks at both asset and liability concentrations across client segment, industry, and region, and we are confident in the size and nature of our exposures given our rigorous stress testing. We also diligently manage counterparty risk, which is critical given the interconnectedness of financial institutions.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
We are in a strong position to navigate whatever environment we face – which is particularly relevant given the degree of uncertainty today.,quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"The Fed continues to use rate policy to battle inflation, which has been more than stubborn in services, even as we see signs of cooling in labor and manufacturing. We expect the recent events to be disinflationary and credit to contract. We believe it is now more likely that the U.S. will enter into a shallow recession later this year. That could be exacerbated in depth and duration in a more severe “credit crunch.” But right now, the biggest unknown is the impact on terminal short-term US interest rates and, of course, how the debt ceiling plays out.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"In Europe, the ECB is on a similar, but more difficult, quest to tame inflation. They have had some help from lower-than-expected energy prices and the outlook continues to be a bit brighter. However, the war in Ukraine sadly shows no sign of ending and Europe faces more structural challenges such as the need for increased defense spending, higher energy costs and fiscal burdens that will make efforts to dampen inflation and stimulate growth more difficult.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"In Asia, the reopening of China is adding to the momentum in the region although the Chinese consumer has been slower to rebound than expected. I saw many green shoots firsthand talking to our clients and our bankers in my various trips to India, Japan, and Hong Kong this year. We have to keep a close eye on geopolitics as the US-China relationship becomes increasingly strained and is fragmenting economic blocs. We see this translate into shifts in flows and heightened cross-border volume across TTS and our global network.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
"Now, turning to how we performed during the quarter… We reported net income of $4.6 billion and an EPS of $2.19. We had good revenue growth of 6% ex-divestitures and both revenue and expenses were in line with our guidance. Our ROTCE of nearly 11% benefitted from the closing of the sales of our consumer businesses in India and Vietnam and would have been over 9% without those gains.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14
Let me highlight our operating performance in each of our five core businesses.,quarter,Jane Fraser,CEO,3,Prepared remarks,Q1_2023,2023-04-14
