text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Hello, and welcome to Citi's Second Quarter 2023 Earnings Review with the Chief Executive Officer, Jane Fraser; and Chief Financial Officer, Mark Mason. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks, at which time you will be given instructions for the question-and-answer session. Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,Operator,Host,1,Introduction,Q2_2023,2023-07-14
"Ms. Landis, you may begin.",quarter,Operator,Host,1,Introduction,Q2_2023,2023-07-14
"Thank you, operator. Good morning and thank you all for joining us.",quarter,Jennifer Landis,Host,1,Introduction,Q2_2023,2023-07-14
"I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements, which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our earnings materials as well as in our SEC filings.",quarter,Jennifer Landis,Host,1,Disclaimer,Q2_2023,2023-07-14
"With that, I'll turn it over to Jane.",quarter,Jennifer Landis,Host,1,Introduction,Q2_2023,2023-07-14
"Thank you, Jenn, and good morning to everyone. While this quarter wasn’t as eventful as the first quarter, it was not without its moments.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"The global economy continues to be remarkedly resilient, although the macro backdrop differs across key markets. While the bulk of the tightening is behind us, central banks are responding vigorously to inflation and have made it clear that the cycle of hikes isn’t over.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"In the U.S., the tight labor market keeps pushing the timing of this elusive recession later into this year or 2024, with the robust demand for services providing a backstop for the economy.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"The Eurozone has also exceeded expectations; however, most countries are facing pressure from labor and energy costs, challenging the region’s longer-term competitiveness.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"China is the biggest disappointment, as growth decelerated after an initial post-reopening pop. I was there last month, and let’s just say few on the ground expect China to be as strong a driver of global growth this year as some had hoped.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"So bottom line, globally we continue to see the same quite challenging macro-economic conditions that we saw in the first quarter. From Citi’s perspective, we continue to see the benefits of our diversified business model and strong balance sheet. We remain laser focused on executing our strategy and simplifying and modernizing our bank. Despite the turbulence and macro backdrop of the first half, we are on track with the plan we laid out at Investor Day and remained committed to our strategy and medium-term ROTCE target.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
Today we reported net income of $2.9 billion and an EPS of $1.33. Our revenues ex-divestitures are relatively flat to last year and we remain on track to meet our revenue guidance of $78-79 billion for the year.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14
"We are also on track to meet the expense guidance for the year. And, consistent with the plan we shared with you at our Investor Day, we are pursuing cost saving opportunities to help offset the significant investments in our Transformation.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"In Services, TTS continues to deliver, with revenues up a healthy 15%. This was driven by both net interest income and non-interest revenue as we win fee-generating mandates with new clients and deepen our relationships with existing large corporate and commercial clients. We are proud of our number one ranking for large institutional clients1. And this week, we announced our latest innovation, Citi Direct Commercial Banking, a digital platform to help our growing commercial clients tap into our global network.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Securities Services revenues were also up 15%, driven by higher interest rates across currencies. We are really pleased with execution in this business as we continue to bring in new assets under custody and administration, which are up by approximately $2.4 trillion in the last year. And we have gained 100 basis points in share year-over-year as a result of the investments we have been making2.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Markets revenues were down 13%, compared to an exceptionally strong second quarter last year. From early April, clients stood on the sidelines as the debt ceiling played out and we continued to experience very low levels of volatility throughout the quarter. Despite this, our corporate client flows remained strong, and we achieved our medium-term revenue-to-RWA target again this quarter.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"In Banking, the momentum in investment grade debt has spread into other DCM products. But the long-awaited rebound in Investment Banking has yet to materialize, and it was a disappointing quarter in terms of both the wallet and our own performance with Investment Banking revenues down 24%. We continue to right-size the business to the environment whilst making investments in selected areas such as Technology and Healthcare.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"In the U.S., taken together our cards businesses had double-digit revenue growth aided by customer engagement and the continued normalization in payment rates. In Branded Cards, spend is still strong in travel and entertainment, and acquisitions remain pretty healthy. This is a great franchise, and we have launched a raft of new innovations from transforming our ThankYou rewards platform to our enhanced value proposition for the premium card with our longtime partner, American Airlines.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Credit normalization is happening faster in Retail Services, given the profile of the portfolio. And overall, I’d say we are seeing a more cautious consumer but not necessarily a recessionary one.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Wealth revenues were down 5% as the business continues to be negatively impacted by the deposit mix shift, particularly in the Private Bank, and by lower investment revenues. However, we have seen activity pick up a bit in Asia for two quarters with growing net new assets. Referrals from the U.S. retail bank are increasing, and globally, new client acquisition in the Private Bank and Wealth at Work has grown significantly on the back of our investments in our network of client advisors and bankers.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Turning to expenses, they were elevated this quarter, as we expected. This includes the additional repositioning actions we took to right size certain businesses and functions in light of the current environment. Year-to-date, severance is about $450 million, including $200 million in the quarter.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
"Separate to repositioning, we remain committed to bending our expense curve by the end of 2024 through three significant efforts.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14
