text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Hello, and welcome to Citi's Fourth Quarter 2023 Earnings Call. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks, at which time you will be given instructions for the question-and-answer session.",quarter,Operator,Host,1,Introduction,Q4_2023,2024-01-12
"Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,Operator,Host,1,Introduction,Q4_2023,2024-01-12
"Ms. Landis, you may begin.",quarter,Operator,Host,1,Introduction,Q4_2023,2024-01-12
"Thank you, operator. Good afternoon and thank you all for joining our Fourth Quarter 2023 Earnings Call. I am joined today by our Chief Executive Office, Jane Fraser, and our Chief Financial Officer, Mark Mason.",quarter,Jennifer Landis,Host,1,Introduction,Q4_2023,2024-01-12
"I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements, which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our earnings materials as well as in our SEC filings.",both,Jennifer Landis,Host,1,Disclaimer,Q4_2023,2024-01-12
"And with that, I'll turn it over to Jane.",both,Jennifer Landis,Host,1,Introduction,Q4_2023,2024-01-12
"Thank you, Jenn, and a very happy New Year to everyone.  I hope you all had a good break.  At Citi, we are back at it. Given the notable items, and our new financial reporting structure, we have a lot to cover today so I’m going to get right to it.",both,Jane Fraser,CEO,1,Prepared remarks,Q4_2023,2024-01-12
2023 was a foundational year in which we made substantial progress simplifying Citi and executing the strategy we laid out at Investor Day.  With that said the fourth quarter was clearly very disappointing.,both,Jane Fraser,CEO,1,Prepared remarks,Q4_2023,2024-01-12
"Today I will provide a high-level view on our progress in 2023, discuss our Q4 results, and finish with our priorities for 2024.  We know 2024 is critical as we prepare to enter the next phase of our journey and we are completely focused on delivering our medium-term targets and our transformation.",both,Jane Fraser,CEO,1,Prepared remarks,Q4_2023,2024-01-12
"So, turning to what we accomplished in terms of executing our strategy. As you can see on slide 5, in 2023, we saw a record year for Services, where we maintained our #1 ranking among large institutions in TTS with client wins up 27% and a sustained win/loss rate above 80%.",year,Jane Fraser,CEO,1,Prepared remarks,Q4_2023,2024-01-12
