text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Operator: Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Fourth Quarter 2023 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go to the live presentation. Please stand by.",quarter,Operator,Host,2,Introduction,Q4_2023,2024-01-12
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q4_2023,2024-01-12
Thank you and good morning everyone. The presentation is available on our website and please refer to the disclaimer in the back.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Starting on page 1, the firm reported net income of $9.3 billion, EPS of $3.04 on revenue of $39.9 billion and delivered an ROTCE of 15%. These results included the $2.9 billion FDIC special assessment and $743 million of net investment securities losses in Corporate.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"On page 2, we have more on our fourth quarter results. Similar to prior quarters, we have called out the impact of First Republic where relevant. You'll also note that we have now allocated certain deposits, which were previously in CCB, to the appropriate lines of business. For the quarter, First Republic contributed $1.9 billion of revenue, $890 million of expense and $647 million of net income.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Now focusing on the Firmwide fourth quarter results excluding First Republic, revenue of $38.1 billion was up $2.5 billion or 7% year-on-year. NII ex. Markets was up $2.2 billion or 11%, predominantly driven by higher rates. NIR ex. Markets was up $139 million or 1%, and Markets revenue was up $141 million or 2%. Expenses of $23.6 billion were up $4.6 billion or 24% year-on-year, predominantly driven by the FDIC special assessment and higher compensation, including wage inflation and growth in front office and technology.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"And credit costs were $2.6 billion, reflecting net charge-offs of $2.2 billion and a net reserve build of $474 million. Net charge-offs were up $1.3 billion, predominantly driven by Card and single name exposures in Wholesale, which were largely previously reserved. The net reserve build was primarily driven by loan growth in Card and a deterioration in the outlook related to commercial real estate valuations in the Commercial Bank.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Looking at the full year results on page 3, the firm reported net income of $50 billion, EPS of $16.23 and revenue of $162 billion. And we delivered an ROTCE of 21%.",year,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"On to balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15%, up 70 basis points versus the prior quarter, primarily driven by net income, OCI gains and lower RWA, partially offset by a continued modest pace of capital distributions as the firm builds towards the proposed Basel III Endgame requirements.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Now, let's go to our businesses starting with CCB on page 5. Total debit and credit card spend was up 7% year-on-year, driven by strong account growth, and consumer spend remained stable. Turning now to the financial results excluding First Republic, CCB reported net income of $4.4 billion on revenue of $17 billion, which was up 8% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"In Banking & Wealth Management, revenue was up 6% year-on-year, reflecting higher NII on higher rates, largely offset by lower deposits with average balances down 8% year-on-year. Client investment assets were up 25%, driven by market performance and strong net inflows – in fact, it's been a record year for retail net new money.",both,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"In Home Lending, revenue was up $230 million, predominantly driven by the absence of an MSR loss this quarter versus the prior year, and higher NII.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Moving to Card Services & Auto – revenue was up 8% year-on-year, driven by higher Card Services NII on higher revolving balances, partially offset by lower Auto lease income. Card outstandings were up 14%, due to strong account acquisition and continued normalization of revolve. And in Auto, originations were $9.9 billion, up 32% as we gained market share, while retaining strong margins.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
"Expenses of $8.7 billion were up 10% year-on-year, largely driven by compensation, including an increase in employees, primarily in bankers, advisors and technology, and wage inflation, as well as continued investments in marketing and technology.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2023,2024-01-12
