text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Operator: Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's First Quarter 2024 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. Please standby.",quarter,Operator,Host,2,Introduction,Q1_2024,2024-04-12
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon; and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q1_2024,2024-04-12
"Thank you very much, and good morning, everyone. The presentation is available on our website and please refer to the disclaimer in the back.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Starting on page 1 – the firm reported net income of $13.4 billion, EPS of $4.44 on revenue of $42.5 billion and delivered an ROTCE of 21%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
These results included a $725 million increase to the special assessment resulting from the FDIC's updated estimate of expected losses from the closures of Silicon Valley Bank and Signature Bank.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Touching on a couple of highlights. Firmwide IB fees were up 18% year-on-year, reflecting particular strength in underwriting fees, and we've seen strong net inflows across AWM as well as in the CCB Wealth Management business.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"On page 2, we have some more detail. This is the last quarter we'll discuss results excluding First Republic given that, going forward, First Republic results will naturally be included in the prior period, making year-on-year results comparable. For this quarter, First Republic contributed $1.7 billion of revenue, $806 million of expense and $668 million of net income.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Now, focusing on the Firmwide results excluding First Republic – revenue of $40.9 billion was up $1.5 billion or 4% year-on-year. NII ex. Markets was up $736 million or 4%, driven by the impact of balance sheet mix and higher rates as well as higher revolving balances in Card, largely offset by deposit margin compression and lower deposit balances in CCB.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"NIR ex. Markets was up $1.2 billion or 12%, driven by higher Firmwide Asset Management and Investment Banking fees as well as lower net investment securities losses.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
And Markets revenue was down $400 million or 5% year-on-year.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Expenses of $22 billion were up $1.8 billion or 9% year-on-year, driven by higher compensation, including growth in employees and the increase to the FDIC's special assessment.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"And credit costs were $1.9 billion, reflecting net charge-offs of $2 billion and a net reserve release of $38 million. Net charge-offs were up $816 (sic) million, predominately driven by Card.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"On the balance sheet and capital, on page 3. We ended the quarter with a CET1 ratio of 15%, relatively flat versus the prior quarter, reflecting net income which was predominantly offset by higher RWA and capital distribution. This quarter's higher RWA is largely due to seasonal effects including higher client activity in Markets and higher risk weights on deferred tax assets, partially offset by lower Card loans.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Now, let's go to our businesses, starting with CCB on page 4. Consumers remain financially healthy supported by a resilient labor market. While cash buffers have largely normalized, balances are still above pre-pandemic levels and wages are keeping pace with inflation. When looking at a stable cohort of customers, overall spend is in line with the prior year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Turning now to the financial results, excluding First Republic. CCB reported net income of $4.4 billion on revenue of $16.6 billion, which was up 1% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"In Banking & Wealth Management, revenue was down 4% year-on-year, reflecting lower NII on lower deposits with average balances down 7%, as our CD mix increased.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Client investment assets were up 25% year-on-year, driven by market performance and strong net inflows.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"In Home Lending, revenue was up 10% year-on-year, predominantly driven by higher NII and production revenue. Originations, while still modest, were up 10%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Moving to Card Services & Auto, revenue was up 8% year-on-year, driven by higher Card Services NII on higher revolving balances, partially offset by higher Card acquisition costs from new account growth and lower auto lease income.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Card outstandings were up 13% due to strong account acquisition and the continued normalization of revolve. And in Auto, originations were $8.9 billion, down 3%, while we maintained healthy margins and market share.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
"Expenses of $8.8 billion were up 9% year-on-year, largely driven by field compensation and continued growth in technology and marketing.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12
