text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"2Q23 FINANCIAL RESULTS EARNINGS CALL TRANSCRIPT July 14, 2023",quarter,Other,Other,1,Introduction,Q2_2023,2023-07-14
"Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Second Quarter 2023 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go to the live presentation. Please stand by.",quarter,Operator,Host,2,Prepared remarks,Q2_2023,2023-07-14
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Prepared remarks,Q2_2023,2023-07-14
"Thanks, operator. Good morning, everyone. The presentation is available on our website, and please refer to the disclaimer in the back.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Starting on page 1, the firm reported net income of $14.5 billion, EPS of $4.75 on revenue of $42.4 billion, and delivered an ROTCE of 25%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"These results included the First Republic bargain purchase gain of $2.7 billion, a credit reserve build for the First Republic lending portfolio of $1.2 billion as well as $900 million of net investment securities losses in Corporate.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Touching on a few highlights: CCB client investment assets were up 18% year-on-year, we had record long-term inflows in AWM, and we ranked number one in IB fee wallet share.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Before giving you more detail on the financials, let me give you a brief update on the status of the First Republic integration on page 2. The settlement process with the FDIC is on schedule with a number of key milestones being recently completed.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
Systems integration is also proceeding apace and we are targeting being substantially complete by mid-2024.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
First Republic employees have formally joined us as of July 2nd and we're pleased to have had very high acceptance rates on our offers.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And although it's still early days, as we get the sales force back in the market we are happy to see that client retention is strong with about $6 billion of net deposit inflows since the acquisition.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Now turning back to this quarter's results on page 3. You'll see that in various parts of the presentation, we have specifically called out the impact of First Republic where relevant.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"To make things easier, I'm going to start by discussing the overall impact of First Republic on this quarter's results at the Firmwide level.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Then, for the rest of the presentation, I will generally exclude the impact of First Republic in order to improve comparability with prior periods.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"With that in mind, in this quarter First Republic contributed $4 billion of revenue, $599 million of expense, and $2.4 billion of net income.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"As noted on the first page, this includes $2.7 billion of bargain purchase gain which is reflected in NIR in the Corporate segment, as well as $1.2 billion of allowance build.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And remember that the deal happened on May 1st, so the First Republic numbers only represent two months of results.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"You'll see in the line of business results that we are showing First Republic revenue and allowance in CCB, CB and AWM. And for the purposes of this quarter's results, all of the deposits are in CCB and substantially all of the expenses are in Corporate.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"As the integration continues, some of those items will get allocated across the segments.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Now, turning back to Firmwide results excluding First Republic. Revenue of $38.4 billion was up $6.7 billion or 21% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"NII ex. Markets was up $7.8 billion or 57%, driven by higher rates.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"NIR ex. Markets was down $293 million, largely driven by the net investment securities losses I mentioned earlier, partially offset by a number of less notable items primarily in the prior year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
And Markets revenue was down $772 million or 10% year-on-year.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Expenses of $20.2 billion were up $1.5 billion or 8% year-on-year, primarily driven by higher compensation expense, including wage inflation and higher legal expense.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And credit costs of $1.7 billion included net charge-offs of $1.4 billion, predominantly in Card.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"The net reserve build included a $389 million build in the Commercial Bank, a $200 million build in Card, and a $243 million release in Corporate, all of which I will cover in more detail later.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"On to balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 13.8%, flat versus the prior quarter as the benefit of net income less distributions was offset by the impact of First Republic.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And as you can see in the two charts on the page, we've given you some information about the impact of the transaction on both RWA and CET1 ratio.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And as you know, we completed CCAR a couple of weeks ago. Our new indicative SCB is 2.9% versus our current requirement of 4% and it goes into effect in 4Q23.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
The new SCB also reflects the board's intention to increase the dividend to $1.05 per share in the third quarter.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"On liquidity, our Bank LCR for the second quarter ended at 129%, in line with what we anticipated at Investor Day.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
About half of the reduction is associated with the First Republic transaction.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"And while we're on the balance sheet, as we previewed in the 10-K, we will be updating our Earnings at Risk model to incorporate the impact of deposit repricing lags.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"So when we release this quarter's 10-Q, you will see the up 100-basis point parallel shift scenario will be about positive $2.5 billion whereas in the absence of the change it would have been about negative $1.5 billion.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
Now let's go to our businesses starting with CCB on page 5. Both U.S. consumers and small businesses remain resilient and we haven't observed any meaningful changes to the trends in our data we discussed at Investor Day.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
"Turning now to the financial results which I will speak to excluding the impact of First Republic for CCB, CB and AWM. CCB reported net income of $5 billion on revenue of $16.4 billion, which was up 31% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2023,2023-07-14
