text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning, ladies and gentlemen. Welcome to JPMorganChase's Fourth Quarter 2024 Earnings Call. This call is being recorded.",quarter,Operator,Host,2,Introduction,Q4_2024,2025-01-15
Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorganChase's website.,quarter,Operator,Host,2,Introduction,Q4_2024,2025-01-15
Please refer to the disclaimer in the back concerning forward-looking statements. Please stand by.,quarter,Operator,Host,2,Disclaimer,Q4_2024,2025-01-15
"At this time, I would like to turn the call over to JPMorganChase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q4_2024,2025-01-15
"Thank you, and good morning, everyone. Starting on page 1, the Firm reported net income of $14 billion, EPS of $4.81 on revenue of $43.7 billion, with an ROTCE of 21%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"On page 2, we have more on our fourth-quarter results. The Firm reported revenue of $43.7 billion, up $3.8 billion or 10% year-on-year. NII ex. Markets was down $548 million or 2%, driven by the impact of lower rates and the associated deposit margin compression, as well as lower deposit balances in CCB, largely offset by the impact of securities reinvestment, higher revolving balances in Card and higher wholesale deposit balances. NIR ex. Markets was up $3.1 billion or 30%. Excluding the prior year's net investment securities losses, it was up 21%, largely on higher asset management fees and investment banking fees. And Markets revenue was up $1.2 billion or 21%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Expenses of $22.8 billion were down $1.7 billion or 7% year-on-year. Excluding the prior year's FDIC special assessment, expenses were up $1.2 billion or 5%, predominantly driven by compensation as well as higher brokerage and distribution fees. And credit costs were $2.6 billion, reflecting net charge-offs of $2.4 billion and a net reserve of $267 million.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"On page 3, you can see the reported results for the full year. I'll remind you that there were a number of significant items in 2024. Excluding those items, the Firm reported net income of $54 billion, EPS of $18.22, revenue of $173 billion, and we delivered an ROTCE of 20%.",year,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Touching on a couple of highlights for the year. In CCB, we had a record number of first-time investors and acquired nearly 10 million new card accounts. In CIB, we had record revenue in Markets, Payments and Securities Services. And in AWM, we had record long-term net inflows of $234 billion, positive across all channels, regions and asset classes.",year,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"On to balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.7%, up 40 basis points versus the prior quarter, as net income and lower RWA were largely offset by both OCI losses and capital distributions, which included $4 billion of net common share repurchases this quarter. The $24 billion decrease in RWA reflects a seasonal decline in Markets activity and lower wholesale lending, which was predominantly offset by a seasonal increase in Card.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Now, let's go to our businesses starting with CCB on page 5. CCB reported net income of $4.5 billion on revenue of $18.4 billion, which was up 1% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"In Banking & Wealth Management, revenue was down 7% year-on-year on deposit margin compression and lower deposits, partially offset by growth in Wealth Management revenues. Average deposits were down 4% year-on-year and flat sequentially as consumer balances have stabilized. Client investment assets were up 14% year-on-year, predominantly driven by market performance, and we continue to see healthy flows across branch and digital channels.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"In Home Lending, revenue was up 12% year-on-year, predominantly driven by higher production revenue. Turning to Card Services & Auto, revenue was up 14% year-on-year, largely driven by Card NII on higher revolving balances. Card outstandings were up 11% due to strong account acquisition and revolve growth. And in Auto, originations were $10.6 billion, up 7%, reflecting higher lease volume on robust new vehicle inventory.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Expenses of $9.7 billion were up 4% year-on-year, predominantly driven by field compensation and growth in technology. In terms of credit performance this quarter, credit costs were $2.6 billion, reflecting net charge-offs of $2.1 billion, up $428 million year-on-year, driven by Card. The net reserve build was $557 million, predominantly driven by higher Card revolving balances.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Next, the Commercial & Investment Bank on page 6. CIB reported net income of $6.6 billion on revenue of $17.6 billion. IB fees were up 49% year-on-year, and we ranked number 1 with wallet share of 9.3% for 2024.",both,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
"Advisory fees were up 41%, benefiting from large deals and share growth in a number of key sectors. Underwriting fees were up meaningfully with debt up 56% and equity up 54%, primarily driven by favorable market conditions. In terms of the outlook for the overall investment banking wallet, in light of the positive momentum, we remain optimistic about our pipeline.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q4_2024,2025-01-15
