text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Third Quarter 2023 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. Please stand by.",quarter,Operator,Host,2,Introduction,Q3_2023,2023-10-13
"At this time I would like to turn the call over to JPMorgan Chase's Chief Financial Officer, Jeremy Barnum, and their Chairman and CEO, Jamie Dimon. Mr. Dimon, please go ahead.",quarter,Operator,Host,2,Introduction,Q3_2023,2023-10-13
"Good morning, everybody. Before we start the actual call, I want to repeat something we just said on the press call, so before we get into the discussions about third quarter earnings, I just want to say how deeply saddened we all are about the recent horrific attacks on Israel and the resulting bloodshed and more. Terrorism and hatred have no place in our civilized world and all the hearts at JPMorgan Chase go out to all who are suffering.",quarter,Jamie Dimon,CEO,2,Introduction,Q3_2023,2023-10-13
"Thanks, Jamie. And of course, I very much echo the sentiment. Now let's turn to our third quarter earnings results. The presentation is available on our website and please refer to the disclaimer in the back.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Starting on page 1, the firm reported net income of $13.2 billion, EPS of $4.33 on revenue of $40.7 billion and delivered an ROTCE of 22%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"These results included $669 million of net investment securities losses in Corporate and $665 million of Firmwide legal expense. On page 2, we have some more detail.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Similar to last quarter, we have called out the impact of First Republic where relevant. For this quarter, First Republic contributed $2.2 billion of revenue, $858 million of expense and $1.1 billion of net income.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Now, focusing on the Firmwide results, excluding First Republic, revenue of $38.5 billion was up $5 billion, or 15% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"NII ex. Markets was up $4.8 billion, or 28%, driven by higher rates and higher revolving balances in Card, partially offset by lower deposit balances.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"NIR ex. Markets was up $374 million, or 4%, which included lower net investment securities losses than the prior year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"And Markets revenue was down $190 million, or 3% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Expenses of $20.9 billion were up $1.7 billion, or 9%, year-on-year, primarily driven by ongoing growth in front office and technology staffing as well as wage inflation and higher legal expense.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"And credit costs were $1.4 billion, predominantly driven by net charge-offs in Card and included a $102 million net reserve release, driven by changes in the central scenario, primarily offset by Card loan growth.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"On to balance sheet and capital on page 3. We ended the quarter with a CET1 ratio of 14.3%, up about 50 basis points versus the prior quarter, as the benefit of net income less capital distributions was partially offset by AOCI.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"We had $2 billion of net share repurchases this quarter, and the pace of buybacks will likely remain modest in light of the Basel III Endgame proposal.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"In line with our capital hierarchy, we will continue to reassess the buyback trajectory as circumstances evolve or opportunities emerge.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"And on the topic of the Basel III endgame, you'll see that we added a couple of pages on it, so let's cover that now starting on page 4.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Given the significance of this proposal for us, the broader industry, as well as households and businesses as end-users, we thought it was important to spend time discussing it.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"And while we know there's interest in having us quantify the expected impact of this proposal in a lot of granular detail, it's important to start by asking why the proposed increase is so large given the repeated statement over time by policymakers that banks are well-capitalized and well-positioned to deal with stress.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Given that context, the absence of detailed analysis supporting a capital increase of this magnitude is disconcerting and there's a lot that does not make sense to us.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"Starting with RWA, we've already said we expect the firm's RWA to increase by around 30% or $500 billion, which results in capital requirements increasing by about 25% or $50 billion.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"One immediate thing to point out is that at 4.5% GSIB, a $500 billion increase in RWA requires $22.5 billion of additional capital with no change in our systemic risk footprint.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"We've been on the record for a long time. The GSIB was conceptually flawed and mis-calibrated originally; since implementation, the failure to address economic growth, despite the Fed themselves acknowledging this problem at the outset has made matters worse.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
"And now, all of those problems are being applied to an additional $500 billion of RWA.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q3_2023,2023-10-13
Our view is that the combined proposals could have adjusted the surcharge levels to keep dollars of capital associated with GSIB buffer constant rather than simply multiplying the RWA increase by the existing surcharges.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
Another lense on the proposed increases is the introduction of RWA for operational risk and its clear overlap with op risk losses already capitalized through the Stress Capital Buffer.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"Although there's limited disclosure from the Fed on this point, we have estimated that we have about $15 billion of operational risk capital embedded in the SCB based on the information the Fed does disclose.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"Once we capitalize with this new op risk RWA, our required capital will go up by around $30 billion without any change to our portfolio.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"Now, let's turn to page 5 which shows the impact of the actual and proposed capital rules over the last few years. Zooming out from the details of this most recent proposal, this page reminds us of what's happened since 2017.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"Since then, SA-CCR and the Stress Capital Buffer have been adopted, and our GSIB surcharge will increase to 4.5%.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"So assuming the Basel III Endgame and GSIB proposals are finalized in their current form, we would see a 45% increase in our capital requirements relative to that 2017 starting point.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"This illustrates again how over calibrated these proposals are, and it's not done yet.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"We still expect the Fed to incorporate CECL into CCAR, which will likely increase the SCB.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"And of course, given the absence of a fix to the GSIB flaws it continues to present a headwind into the indefinite future.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"And aside from those dynamics, there remains the longstanding issue of procyclicality in the overall capital framework.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"We think it's also important to point out that the agencies did actually have a choice here. While it may technically be true that the proposal is Basel compliant, Basel compliance does not mandate a 25% increase in capital requirements.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"Implementing the Basel III Endgame consistently with how the Europeans have, by retaining credit risk modeling and also addressing the compounding effects of GSIB and SCB, would have achieved Basel compliance without creating this unnecessary increase in capital requirements.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"As you would expect, we will continue to engage and forcefully advocate during the comment period and beyond, in a great deal of technical detail.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"For the purposes of this call, we wanted to make the equally important broader points about both the level of capital increase and the flaws in the construct of the framework itself, since coherent design is critical to the framework's durability over time.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
The current proposal exacerbates existing features that discourage beneficial scale and diversification.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
"If it goes through as written, there will likely be significant impacts on pricing and availability of credit for businesses and consumers.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q3_2023,2023-10-13
