text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Second Quarter 2024 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorgan Chase's website, and please refer to the disclaimer in the back concerning forward-looking statements. Please standby.",quarter,Operator,Host,2,Introduction,Q2_2024,2024-07-12
"At this time I would like to turn the call over to JPMorgan Chase's Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q2_2024,2024-07-12
"Thank you, and good morning, everyone. Starting on page 1, the Firm reported net income of $18.1 billion, EPS of $6.12 on revenue of $51 billion, with an ROTCE of 28%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
These results included the $7.9 billion net gain related to Visa shares and the $1 billion Foundation contribution of the appreciated Visa stock.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
Also included is $546 million of net investment securities losses in Corporate.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Excluding these items, the Firm had net income of $13.1 billion, EPS of $4.40, and an ROTCE of 20%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Touching on a couple of highlights. In the CIB, IB fees were up 50% year-on-year and 17% quarter-on-quarter, and Markets revenue was up 10% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"In CCB, we had a record number of first-time investors and strong customer acquisition across checking accounts and Card, and we've continued to see strong net inflows across AWM.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Now, before I give more detail on the results, I just want to mention that starting this quarter we are no longer explicitly calling out the First Republic contribution in the presentation. Going forward, we'll only specifically call it out if it is a meaningful driver in the year-on-year comparison.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"As a reminder, we acquired First Republic in May of last year, so the prior-year quarter only has two months of First Republic results compared to the full three months this quarter. Also, in the prior-year quarter, most of the expenses were in Corporate, whereas now they are primarily in the relevant line of business.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Now, turning to page 2 for the Firmwide results. The Firm reported revenue of $51 billion, up $8.6 billion or 20% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Excluding both the Visa gain that I mentioned earlier, as well as last year's First Republic bargain purchase gain of $2.7 billion, revenue of $43.1 billion was up $3.4 billion or 9%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"NII ex. Markets was up $568 million or 3%, driven by the impact of balance sheet mix and higher rates, higher revolving balances in Card, and the additional month of First Republic-related NII, partially offset by deposit margin compression and lower deposit balances.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"NIR ex. Markets was up $7.3 billion or 56%. Excluding the items I just mentioned, it was up $2.1 billion or 21%, largely driven by higher Investment Banking revenue and Asset Management fees.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
Both periods included net investment securities losses. And Markets revenue was up $731 million or 10% year-on-year.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Expenses of $23.7 billion were up $2.9 billion or 14% year-on-year. Excluding the Foundation contribution I previously mentioned, expenses were up 9%, primarily driven by compensation, including revenue-related compensation and growth in employees.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"And credit costs were $3.1 billion, reflecting net charge-offs of $2.2 billion and a net reserve build of $821 million.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
"Net charge-offs were up $820 million year-on-year, predominantly driven by Card.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q2_2024,2024-07-12
