caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Citi's Five Core Businesses and Priorities for 2024 and Beyond,"The diagram illustrates Citi's strategic focus for 2024 and beyond, centered on five core interconnected businesses: Services, Markets, Banking, Wealth, and U.S. Personal Banking. These businesses are framed by two overarching priorities: 'Execute on the Transformation' and 'Improve Business Performance'.",quarter,3,Vision,Q1_2024,2024-04-12
Quarterly Expense Trend,"Reported expenses were $14.2B in 1Q24, down from a peak of $16.0B in 4Q23 but up from $13.3B in 1Q23. The 4Q23 peak was driven by significant restructuring (~$0.8B) and FDIC special assessment charges. Expenses excluding divestitures and the FDIC special assessment were $13.8B in 1Q24, up from $13.2B in 1Q23. Repositioning costs were ~$0.3B in 1Q24.",quarter,7,Financial Results,Q1_2024,2024-04-12
Net Interest Income,"Citigroup's Net Interest Income (NII) was $13.51 billion in 1Q24, a slight decrease from $13.82 billion in 4Q23 but an increase from $13.35 billion in 1Q23. The Net Interest Margin (NIM) has remained relatively stable, at 2.42% in 1Q24. NII from Markets has fluctuated, while NII from Ex-Markets has been more consistent, showing a slight increase year-over-year.",quarter,8,Financial Results,Q1_2024,2024-04-12
Average Loans,"Average loans have shown consistent growth, increasing 4% year-over-year and 1% quarter-over-quarter to reach $679 billion in 1Q24. This growth was driven by increases in both Consumer loans (up 5% YoY) and Corporate loans (up 2% YoY).",quarter,8,Financial Results,Q1_2024,2024-04-12
Average Deposits,"Total average deposits decreased by 3% year-over-year to $1,326 billion in 1Q24, but showed a slight 1% increase from the previous quarter. Consumer deposits were down 3% YoY, while Corporate deposits were down 2% YoY.",quarter,8,Financial Results,Q1_2024,2024-04-12
Gross Loan Yield and Cost of Interest-Bearing Deposits,"Both Gross Loan Yield and Cost of Interest-Bearing Deposits have been on an upward trend since 1Q23, reflecting the higher interest rate environment. Gross Loan Yield increased from 8.26% in 1Q23 to 9.22% in 1Q24, while the Cost of Interest-Bearing Deposits rose from 2.72% to 3.70% over the same period.",quarter,8,Financial Results,Q1_2024,2024-04-12
EOP Loans by Segment,"The composition of EOP loans by segment has remained stable, with Branded Cards accounting for 68% and Retail Services for 32% in 1Q24, similar to previous quarters.",quarter,9,Financial Results,Q1_2024,2024-04-12
EOP Loans by FICO Score,"The vast majority of EOP loans are to borrowers with a FICO score of 660 or greater, accounting for 85% in 1Q24, a slight decrease from 86% in the preceding quarters.",quarter,9,Financial Results,Q1_2024,2024-04-12
Corporate Lending Exposure by Region,"Corporate lending exposure is split between U.S. (56%) and International (44%). Within the international exposure, 90% is to Investment Grade (IG) or multinational corporations (MNCs) and their subsidiaries.",quarter,9,Financial Results,Q1_2024,2024-04-12
Corporate Lending Exposure by Grade Rating,"The corporate lending portfolio remains predominantly Investment Grade (IG), which constituted 82% of the exposure in 1Q24, a slight decrease from 83% in previous quarters.",quarter,9,Financial Results,Q1_2024,2024-04-12
End of Period Assets,"Total end-of-period assets were $2,433 billion in 1Q24, a 1% increase quarter-over-quarter but a 1% decrease year-over-year. Key components include Trading-Related Assets ($837B), Loans, net ($656B), and Investments, net ($515B). Cash decreased 17% YoY to $273B.",quarter,10,Financial Results,Q1_2024,2024-04-12
End of Period Liabilities and Equity,"Total end-of-period liabilities and equity were $2,433 billion in 1Q24, up 1% QoQ and down 1% YoY. Deposits are the largest component at $1,307 billion, down 2% YoY. Equity remained stable at $207 billion.",quarter,10,Financial Results,Q1_2024,2024-04-12
