text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Our Vision: Be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management and a valued personal bank in our home market of the United States.",quarter,2,Vision,Q1_2025,2025-04-15
"Priorities Largely Complete include: Simplification (Focus on five core interconnected businesses, Exit 14 international consumer markets, Simplify the organization and management structure), and Culture and Talent (Build a winning culture, Invest in talent, Deliver One Citi).",quarter,2,Vision,Q1_2025,2025-04-15
"Main Priorities for 2025 and 2026 include: Transformation (#1 priority, Relentless execution, Regulatory remediation, Modernize infrastructure, Data enhancements), and Enhance Business Performance (Maximize unique global network, Scale Wealth, Target share gains in Services, Banking, Markets and U.S. Personal Banking, Grow Commercial Banking client segment).",quarter,2,Vision,Q1_2025,2025-04-15
"$21.6B of revenues, up 3% YoY.",quarter,3,Financial Results,Q1_2025,2025-04-15
Record revenues in USPB and Wealth.,quarter,3,Financial Results,Q1_2025,2025-04-15
"Expenses of $13.4B, efficiency ratio of 62% improved by ~490 bps YoY.",quarter,3,Financial Results,Q1_2025,2025-04-15
Positive operating leverage for Citi and across all businesses.,quarter,3,Financial Results,Q1_2025,2025-04-15
RoTCE of 9.1% up ~150 bps YoY.,quarter,3,Financial Results,Q1_2025,2025-04-15
"CET1 Capital Ratio of 13.4%, ~130 bps above current regulatory minimum.",quarter,3,Financial Results,Q1_2025,2025-04-15
Returned ~$2.8 billion to common shareholders through buybacks & dividends.,quarter,3,Financial Results,Q1_2025,2025-04-15
Services: Continued momentum with TTS gaining ~65 bps of market share YoY and Securities Services gaining ~100 bps of market share YoY.,quarter,4,Financial Results,Q1_2025,2025-04-15
"Markets: 12% revenue growth, with Equities revenues up 23% YoY and Fixed Income revenues up 8% YoY.",quarter,4,Financial Results,Q1_2025,2025-04-15
Banking: IB Wallet Share Gains with IB Fees up 14% YoY and Advisory Fees up 84% YoY.,quarter,4,Financial Results,Q1_2025,2025-04-15
Wealth: Executing on strategy with NIR up 16% YoY and Client Investment Assets up 16% YoY.,quarter,4,Financial Results,Q1_2025,2025-04-15
USPB: Improving Returns with RoTCE at 12.9% (up ~740 bps YoY) and revenue up 2% YoY.,quarter,4,Financial Results,Q1_2025,2025-04-15
"Business Achievement - Services: Citi Payments Express live in 19 countries, with increased volumes by 10x since 4Q24.",quarter,5,Financial Results,Q1_2025,2025-04-15
Business Achievement - Markets: Continued to support the growth of Equities and Prime by progressing platform strengths across Execution and Financing.,quarter,5,Financial Results,Q1_2025,2025-04-15
Business Achievement - Wealth: Signed a partnership with Palantir to modernize data leverage and improve client experience.,quarter,5,Financial Results,Q1_2025,2025-04-15
Business Achievement - USPB: Improved customer support through Gen AI pilot and launched Flex Pay on Apple Pay.,quarter,5,Financial Results,Q1_2025,2025-04-15
Business Achievement - Cross LOBs: Enhanced institutional client planning tool for ~2K relationship managers.,quarter,5,Financial Results,Q1_2025,2025-04-15
"Modernizing Our Bank: Continued to optimize, modernize and simplify by retiring or replacing 130 applications in 1Q25.",quarter,5,Financial Results,Q1_2025,2025-04-15
