row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,Revenues increased by 3% year-over-year.,21.6,,,,,,billion USD,4,Financial Results,Q1_2025,2025-04-15
Net Income,2,,Net Income increased by 21% year-over-year.,4.1,,,,,,billion USD,4,Financial Results,Q1_2025,2025-04-15
EPS,3,,EPS increased by 24% year-over-year.,1.96,,,,,,USD,4,Financial Results,Q1_2025,2025-04-15
RoTCE,4,,RoTCE increased from 7.6% in 1Q24 to 9.1% in 1Q25.,9.1,,7.6,,,,%,4,Financial Results,Q1_2025,2025-04-15
CET1 Capital Ratio,5,,CET1 Capital Ratio slightly decreased from 13.5% in 1Q24 to 13.4% in 1Q25.,13.4,,13.5,,,,%,4,Financial Results,Q1_2025,2025-04-15
Tangible Book Value Per Share,6,,Tangible Book Value Per Share increased by 6% year-over-year.,91.52,,,,,,USD,4,Financial Results,Q1_2025,2025-04-15
Net Interest Income,1,Increased by 2% from the preceding quarter.,Increased by 4% from the same quarter last year.,14012.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Non-Interest Revenue,2,Increased by 32% from the preceding quarter.,Increased by 1% from the same quarter last year.,7584.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Total Revenues,3,Increased by 11% from the preceding quarter.,Increased by 3% from the same quarter last year.,21596.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Expenses,4,Increased by 3% from the preceding quarter.,Decreased by 5% from the same quarter last year.,13425.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
NCLs,5,Increased by 10% from the preceding quarter.,Increased by 7% from the same quarter last year.,2459.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
ACL Build and Other,6,Decreased by 25% from the preceding quarter.,Increased by 326% from the same quarter last year.,264.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Credit Costs,7,Increased by 5% from the preceding quarter.,Increased by 15% from the same quarter last year.,2723.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
EBT,8,Increased by 43% from the preceding quarter.,Increased by 20% from the same quarter last year.,5448.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Income Taxes,9,Increased by 47% from the preceding quarter.,Increased by 18% from the same quarter last year.,1340.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Net Income,10,Increased by 42% from the preceding quarter.,Increased by 21% from the same quarter last year.,4064.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Net Income to Common,11,Increased by 46% from the preceding quarter.,Increased by 23% from the same quarter last year.,3768.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
Diluted EPS,12,Increased by 46% from the preceding quarter.,Increased by 24% from the same quarter last year.,1.96,,,,,,USD,6,Financial Results,Q1_2025,2025-04-15
Efficiency Ratio (Δ in bps),13,Improved by 490 bps from the preceding quarter.,Improved by 490 bps from the same quarter last year.,62.0,,,,,,%,6,Financial Results,Q1_2025,2025-04-15
ROCE,14,,,8.0,,,,,,%,6,Financial Results,Q1_2025,2025-04-15
RoTCE (Δ in bps),15,Improved by 300 bps from the preceding quarter.,Improved by 150 bps from the same quarter last year.,9.1,,,,,,%,6,Financial Results,Q1_2025,2025-04-15
CET1 Capital Ratio,16,,,13.4,,,,,,%,6,Financial Results,Q1_2025,2025-04-15
NII ex-Markets,17,Increased by 1% from the preceding quarter.,Increased by 2% from the same quarter last year.,11999.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
NIR ex-Markets,18,Increased by 20% from the preceding quarter.,Decreased by 6% from the same quarter last year.,3611.0,,,,,,MM USD,6,Financial Results,Q1_2025,2025-04-15
EOP Credit Card Loans,1,Decreased from $171B in 4Q24.,Increased from $159B in 1Q24.,163.0,171.0,159.0,,,,B USD,8,Financial Results,Q1_2025,2025-04-15
NCLs,2,Increased from $1.8B in 4Q24.,Increased from $1.8B in 1Q24.,1.9,1.8,1.8,,,,B USD,8,Financial Results,Q1_2025,2025-04-15
% of Average Loans,3,Increased from 4.4% in 4Q24.,Increased from 4.5% in 1Q24.,4.7,4.4,4.5,,,,%,8,Financial Results,Q1_2025,2025-04-15
90+ Days Past Due (DPD) %,4,Remained stable at 1.6% from 4Q24.,Remained stable at 1.6% from 1Q24.,1.6,1.6,1.6,,,,%,8,Financial Results,Q1_2025,2025-04-15
ACLL / EOP Loans,5,Increased from 7.9% in 4Q24.,Remained stable at 8.2% from 1Q24.,8.2,7.9,8.2,,,,%,8,Financial Results,Q1_2025,2025-04-15
EOP Corporate Loans,1,Increased from $301B in 4Q24.,Increased from $293B in 1Q24.,316.0,301.0,293.0,,,,B USD,8,Financial Results,Q1_2025,2025-04-15
NCLs,2,Increased from $0.1B in 4Q24.,Remained stable at $0.2B from 1Q24.,0.2,0.1,0.2,,,,B USD,8,Financial Results,Q1_2025,2025-04-15
% of Average Loans,3,Increased from 0.1% in 4Q24.,Remained stable at 0.2% from 1Q24.,0.2,0.1,0.2,,,,%,8,Financial Results,Q1_2025,2025-04-15
NALs,4,Remained stable at $1.4B from 4Q24.,Decreased from $1.5B in 1Q24.,1.4,1.4,1.5,,,,B USD,8,Financial Results,Q1_2025,2025-04-15
% of Loans,5,Decreased from 0.5% in 4Q24.,Decreased from 0.5% in 1Q24.,0.4,0.5,0.5,,,,%,8,Financial Results,Q1_2025,2025-04-15
ACLL / EOP Loans,6,Remained stable at 0.9% from 4Q24.,Decreased from 1.0% in 1Q24.,0.9,0.9,1.0,,,,%,8,Financial Results,Q1_2025,2025-04-15
