caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Five interconnected businesses,"This graphic displays Citigroup's five core business segments—Services, Markets, Banking, Wealth, and U.S. Personal Banking—arranged in a circle to show their interconnectedness in driving performance.",year,4,Financial Results,Q4_2024,2025-01-15
Progress and Path Forward Timeline 2021-2026,A timeline from 2021 to 2026 highlights key strategic accomplishments each year. The focus for 2025 and 2026 is on 'Continue Transformation Progress' and 'Enhance Business Performance'.,year,5,Vision,Q4_2024,2025-01-15
Full year revenue trend from 2021 to 2024,"Reported revenue grew from $71.9B in 2021 to $81.1B in 2024, representing a 4% CAGR. Growth was led by Services (16% CAGR) and U.S. Personal Banking (9% CAGR), while Banking experienced a decline (-8% CAGR).",year,8,Financial Results,Q4_2024,2025-01-15
Full year expense overview (2021-2024),"Reported expenses increased from $48.2B in 2021 to $54.0B in 2024. The reported efficiency ratio was 67% in 2024, the same as in 2021. Technology and transformation investments were $11.8B and $2.9B respectively in 2024.",year,9,Financial Results,Q4_2024,2025-01-15
YoY Standardized CET1 Ratio Walk,"The Standardized CET1 Ratio increased from 13.4% in 4Q23 to 13.6% in 4Q24. The increase was driven by Net Income to Common (+101 bps) and Unrealized AFS Gains (+8 bps), partially offset by Capital Distribution (-58 bps) and RWA/DTA Impact (-31 bps).",quarter,10,Financial Results,Q4_2024,2025-01-15
End of Period Assets,"Total assets decreased by 2% YoY to $2,357B in 4Q24 from $2,412B in 4Q23. The decrease was driven by declines in Investments and Trading-Related Assets, partially offset by an increase in Cash.",quarter,10,Financial Results,Q4_2024,2025-01-15
End of Period Liabilities and Equity,"Total liabilities and equity decreased by 2% YoY to $2,357B in 4Q24. The decrease was primarily due to a 2% drop in deposits and an 8% drop in trading-related liabilities.",quarter,10,Financial Results,Q4_2024,2025-01-15
EBT Trend,"Wealth EBT surged to $413 million in 4Q24, a significant increase from $37 million in 4Q23, marking a 1,016% year-over-year growth.",quarter,14,Financial Results,Q4_2024,2025-01-15
Full Year Revenue Trend and 2025 Outlook,"Reported revenues are forecasted to grow from $81.1B in 2024 to a range of $83.5B-$84.5B in 2025, representing a ~3-4% increase. This growth is mirrored in the revenue ex-divestitures forecast.",year,18,Outlook,Q4_2024,2025-01-15
2025 NII ex-Markets Outlook,"NII ex-Markets is expected to grow modestly in 2025 from a base of $47.1B in 2024. Positive drivers include volume/mix (loan and deposit growth) and rates (reinvestment benefit), while negative drivers include lower rates and other factors like potential card fee reductions.",year,19,Outlook,Q4_2024,2025-01-15
Full Year Expense Trend and 2025 Outlook,"Reported expenses are projected to be slightly lower than ~$53.8B in 2025, down from $54.0B in 2024. Expenses ex-FDIC special assessment are also expected to decrease slightly from $53.8B in 2024.",year,20,Outlook,Q4_2024,2025-01-15
Return on Tangible Common Equity Trend and Target,"Return on Tangible Common Equity is projected to increase from 7.0% in 2024 to 'Higher than 2024' in 2025, with a medium-term target of 10-11% in 2026.",year,21,Outlook,Q4_2024,2025-01-15
Net Interest Income,"Citigroup's NII was $13.73B in 4Q24, a QoQ increase of $0.37B but a YoY decrease of $0.09B. NII ex-Markets was relatively stable QoQ and slightly up YoY.",quarter,27,Financial Results,Q4_2024,2025-01-15
Average Loans,"Total average loans increased by 2% YoY to $688B in 4Q24, driven by 2% growth in both consumer and corporate loans.",quarter,27,Financial Results,Q4_2024,2025-01-15
Average Deposits,"Total average deposits were flat YoY at $1,320B in 4Q24. A 3% increase in corporate deposits was offset by a 3% decrease in consumer deposits.",quarter,27,Financial Results,Q4_2024,2025-01-15
EOP Loans by Segment,"The share of Branded Cards in EOP loans increased from 67% in 4Q23 to 69% in 4Q24, while Retail Services' share decreased from 33% to 31%.",quarter,28,Financial Results,Q4_2024,2025-01-15
EOP Loans by FICO Score,"The credit quality of the U.S. card loan portfolio remained high and stable, with 86% of loans having a FICO score of 660 or higher in 4Q24, unchanged from 4Q23.",quarter,28,Financial Results,Q4_2024,2025-01-15
Corporate Lending Exposure By Region,"The corporate lending exposure is split between International (44%) and U.S. (56%). Within International, 89% is to Investment Grade/MNCs or subsidiaries.",quarter,28,Financial Results,Q4_2024,2025-01-15
Corporate Lending Exposure By Grade Rating,"The share of Investment Grade (IG) loans in the corporate lending portfolio decreased from 83% in 4Q23 to 79% in 4Q24, with a corresponding increase in Non-IG exposure.",quarter,28,Financial Results,Q4_2024,2025-01-15
Branded Cards - 90+DPD and NCL,"For Branded Cards, both Net Credit Loss (NCL) and 90+ Days Past Due (DPD) rates showed a consistent upward trend from 4Q22 to 4Q24. NCL increased from 1.68% to 3.55%, and 90+DPD increased from 0.63% to 1.18%.",quarter,29,Financial Results,Q4_2024,2025-01-15
Branded Cards - ACLL Balance and ACLL / EOP Loans,"The ACLL Balance for Branded Cards grew steadily from $6.2B in 4Q22 to $7.5B in 4Q24, while the ACLL / EOP Loans ratio remained relatively stable, ending at 6.4% in 4Q24.",quarter,29,Financial Results,Q4_2024,2025-01-15
Retail Services - 90+DPD and NCL,"For Retail Services, both NCL and 90+DPD rates increased from 4Q22 to 4Q24. NCL rose from 3.30% to 6.21%, and 90+DPD rose from 1.56% to 2.46%.",quarter,29,Financial Results,Q4_2024,2025-01-15
Retail Services - ACLL Balance and ACLL / EOP Loans,The ACLL Balance for Retail Services increased from $5.2B in 4Q22 to $6.1B by 1Q24 and has since stabilized. The ACLL / EOP Loans ratio increased from 10.3% to 11.3% over the same period.,quarter,29,Financial Results,Q4_2024,2025-01-15
Net Investment Change in Argentina Since 4Q23,"Net investment in Argentina grew from $1.0B in 4Q23 to $1.5B in 4Q24. The change included a $0.4B capital repatriation, a $0.2B devaluation loss, a $0.2B transfer risk reserve release, and $0.9B in other net income.",quarter,30,Financial Results,Q4_2024,2025-01-15
Trend in Russia Exposure Since 4Q21,"Total Russia exposure decreased from $9.8B in 4Q21 to $9.0B in 4Q24, with fluctuations in between. 82% of the remaining exposure is from unremittable corporate dividends.",quarter,31,Financial Results,Q4_2024,2025-01-15
Trend in Russia Net Investment Since 4Q21,"Net investment in Russia declined from $1.0B in 4Q21 to approximately $0.0B in 4Q24, with a significant drop in 2023 due to a $1.2B impact from a transfer risk reserve build.",quarter,31,Financial Results,Q4_2024,2025-01-15
Historical average deposit growth (4Q18 - 4Q24),"Total average deposits grew from $1,006B in 4Q18 to $1,320B in 4Q24. Growth was driven by the Services segment, which expanded from $598B to $839B. Wealth deposits also grew, while USPB and All other segments declined over the period.",quarter,32,Financial Results,Q4_2024,2025-01-15
