row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,increased by 9% year-over-year,20.1,,,,,,billion,2,Financial Results,Q3_2023,2023-10-13
Net Income,2,,increased by 2% year-over-year,3.5,,,,,,billion,2,Financial Results,Q3_2023,2023-10-13
EPS,3,,,1.63,,,,,,USD,2,Financial Results,Q3_2023,2023-10-13
RoTCE,4,,decreased from 8.2% in 3Q22,7.7,,8.2,,,,%,2,Financial Results,Q3_2023,2023-10-13
CET1 Capital Ratio,5,,increased from 12.3% in 3Q22,13.5,,12.3,,,,%,2,Financial Results,Q3_2023,2023-10-13
Tangible Book Value Per Share,6,,increased by 8% year-over-year,86.9,,,,,,USD,2,Financial Results,Q3_2023,2023-10-13
Net Interest Income,1,decreased by 1% quarter-over-quarter,increased by 10% year-over-year,13828.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Non-Interest Revenue,2,increased by 14% quarter-over-quarter,increased by 6% year-over-year,6311.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Total Revenues,3,increased by 4% quarter-over-quarter,increased by 9% year-over-year,20139.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Expenses,4,,increased by 6% year-over-year,13511.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
NCLs,5,increased by 9% quarter-over-quarter,increased by 85% year-over-year,1637.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
ACL Build and Other,6,decreased by 37% quarter-over-quarter,decreased by 58% year-over-year,203.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Credit Costs,7,increased by 1% quarter-over-quarter,increased by 35% year-over-year,1840.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
EBT,8,increased by 18% quarter-over-quarter,increased by 9% year-over-year,4788.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Income Taxes,9,increased by 10% quarter-over-quarter,increased by 37% year-over-year,1203.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Net Income,10,increased by 22% quarter-over-quarter,increased by 2% year-over-year,3546.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Net Income to Common,11,increased by 22% quarter-over-quarter,,3213.0,,,,,,MM,4,Financial Results,Q3_2023,2023-10-13
Diluted EPS,12,increased by 23% quarter-over-quarter,,1.63,,,,,,USD,4,Financial Results,Q3_2023,2023-10-13
Efficiency Ratio (Δ in bps),13,decreased by 270 bps quarter-over-quarter,decreased by 180 bps year-over-year,67.0,,,,,,%,4,Financial Results,Q3_2023,2023-10-13
ROE,14,,,6.7,,,,,,%,4,Financial Results,Q3_2023,2023-10-13
RoTCE,15,,,7.7,,,,,,%,4,Financial Results,Q3_2023,2023-10-13
CET1 Capital Ratio,16,,,13.5,,,,,,%,4,Financial Results,Q3_2023,2023-10-13
Gross Loan Yield,1,increased from 8.63% in 2Q23,increased from 6.55% in 3Q22,9.02,8.63,6.55,,,,%,6,Financial Results,Q3_2023,2023-10-13
Cost of Interest-Bearing Deposits,1,increased from 3.09% in 2Q23,increased from 1.21% in 3Q22,3.41,3.09,1.21,,,,%,6,Financial Results,Q3_2023,2023-10-13
US Cards - NCLs,1,,decreased from $1.4B at CECL Day 1,1.3,,,,,,B,7,Financial Results,Q3_2023,2023-10-13
US Cards - % of Avg Loans,2,,decreased from 3.8% at CECL Day 1,3.3,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
US Cards - 90+ DPD,3,,remained stable at 1.3% compared to CECL Day 1,1.3,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
US Cards - ACLL / Funded Loans,4,,increased from 7.5% at CECL Day 1,7.8,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
Corporate - NCLs,1,,remained stable at $0.1B compared to CECL Day 1,0.1,,,,,,B,7,Financial Results,Q3_2023,2023-10-13
Corporate - % of Avg Loans,2,,remained stable at 0.1% compared to CECL Day 1,0.1,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
Corporate - NALs,3,,remained stable at $2.0B compared to CECL Day 1,2.0,,,,,,B,7,Financial Results,Q3_2023,2023-10-13
Corporate - % of Loans,4,,remained stable at 0.7% compared to CECL Day 1,0.7,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
Corporate - ACLL / Funded Loans,5,,increased from 0.6% at CECL Day 1,1.0,,,,,,%,7,Financial Results,Q3_2023,2023-10-13
CET1 Capital,1,increased from $154B in 2Q23,increased from $145B in 3Q22,156.0,154.0,145.0,,,,B,8,Financial Results,Q3_2023,2023-10-13
CET1 Capital Ratio - Standardized,2,increased from 13.4% in 2Q23,increased from 12.3% in 3Q22,13.5,13.4,12.3,,,,%,8,Financial Results,Q3_2023,2023-10-13
CET1 Capital Ratio - Advanced,3,remained stable at 12.5% compared to 2Q23,increased from 11.7% in 3Q22,12.5,12.5,11.7,,,,%,8,Financial Results,Q3_2023,2023-10-13
Supplementary Leverage Ratio,4,remained stable at 6.0% compared to 2Q23,increased from 5.7% in 3Q22,6.0,6.0,5.7,,,,%,8,Financial Results,Q3_2023,2023-10-13
Liquidity Coverage Ratio,5,decreased from 119% in 2Q23,remained stable at 117% compared to 3Q22,117.0,119.0,117.0,,,,%,8,Financial Results,Q3_2023,2023-10-13
Tangible Book Value Per Share,6,increased from $85.34 in 2Q23,increased from $80.34 in 3Q22,86.9,85.34,80.34,,,,USD,8,Financial Results,Q3_2023,2023-10-13
Net Interest Income,1,decreased by 2% quarter-over-quarter,increased by 20% year-over-year,5494.0,,,,,,MM,10,Financial Results,Q3_2023,2023-10-13
Non-Interest Revenue,2,increased by 7% quarter-over-quarter,increased by 5% year-over-year,5150.0,,,,,,MM,10,Financial Results,Q3_2023,2023-10-13
Total Revenues,3,increased by 2% quarter-over-quarter,increased by 12% year-over-year,10644.0,,,,,,MM,10,Financial Results,Q3_2023,2023-10-13
Net Income,4,increased by 11% quarter-over-quarter,increased by 12% year-over-year,2429.0,,,,,,MM,10,Financial Results,Q3_2023,2023-10-13
RoTCE,5,,,10.0,,,,,,%,10,Financial Results,Q3_2023,2023-10-13
Average Loans,6,,decreased by 4% year-over-year,278.0,,,,,,B,10,Financial Results,Q3_2023,2023-10-13
Average Deposits,7,decreased by 2% quarter-over-quarter,,821.0,,,,,,B,10,Financial Results,Q3_2023,2023-10-13
EOP Loans,8,increased by 1% quarter-over-quarter,,280.0,,,,,,B,10,Financial Results,Q3_2023,2023-10-13
EOP Deposits,9,decreased by 4% quarter-over-quarter,decreased by 2% year-over-year,782.0,,,,,,B,10,Financial Results,Q3_2023,2023-10-13
Total ICG Clients,10,,increased by 3% year-over-year,23795.0,,,,,,,10,Financial Results,Q3_2023,2023-10-13
Treasury and Trade Solutions Revenues,1,increased by 2% quarter-over-quarter,increased by 12% year-over-year,3591.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Securities Services Revenues,2,decreased by 2% quarter-over-quarter,increased by 16% year-over-year,1124.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Total Services Revenues,3,increased by 1% quarter-over-quarter,increased by 13% year-over-year,4715.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Fixed Income Markets,4,increased by 1% quarter-over-quarter,increased by 14% year-over-year,3562.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Equity Markets,5,decreased by 16% quarter-over-quarter,decreased by 3% year-over-year,918.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Total Markets Revenues,6,decreased by 3% quarter-over-quarter,increased by 10% year-over-year,4480.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Investment Banking,7,increased by 38% quarter-over-quarter,increased by 34% year-over-year,844.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
Total Banking Revenues,8,increased by 21% quarter-over-quarter,increased by 17% year-over-year,1496.0,,,,,,MM,11,Financial Results,Q3_2023,2023-10-13
TTS - Average Loans,1,,increased 2% YoY,82.0,,,,,,B,11,Financial Results,Q3_2023,2023-10-13
TTS - Cross Border Transaction Value,2,,increased 16% YoY,88.0,,,,,,B,11,Financial Results,Q3_2023,2023-10-13
Securities Services - AUC/AUA,3,,increased 10% YoY,23.0,,,,,,T,11,Financial Results,Q3_2023,2023-10-13
Banking - Average Loans,4,,decreased 8% YoY,181.0,,,,,,B,11,Financial Results,Q3_2023,2023-10-13
Net Interest Income,1,increased 7% QoQ,increased 9% YoY,6356.0,,,,,,MM,12,Financial Results,Q3_2023,2023-10-13
Total Revenues,2,increased 6% QoQ,increased 10% YoY,6778.0,,,,,,MM,12,Financial Results,Q3_2023,2023-10-13
Expenses,3,increased 2% QoQ,increased 5% YoY,4301.0,,,,,,MM,12,Financial Results,Q3_2023,2023-10-13
Credit Costs,4,decreased 8% QoQ,increased 31% YoY,1457.0,,,,,,MM,12,Financial Results,Q3_2023,2023-10-13
