caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Revenue by Segment,"Total revenue increased to $20.3 billion in 3Q24 from $20.1 billion in 2Q24 and 3Q23. In 3Q24, Services and USPB were the largest contributors at $5.0 billion each, followed by Markets at $4.8 billion. Wealth and Banking contributed $2.0 billion and $1.6 billion respectively.",quarter,5,Financial Results,Q3_2024,2024-10-15
Quarterly Expense Trend,"Reported expenses ex-FDIC special assessment and Civil Money Penalties were $13.3B in 3Q24, a slight increase from $13.2B in 2Q24. Expenses peaked in 4Q23 at $14.3B and have since trended downwards.",quarter,6,Financial Results,Q3_2024,2024-10-15
Net Interest Income,"Citigroup's Net Interest Income (NII) was $13.36B in 3Q24, a slight decrease from $13.49B in 2Q24 and $13.83B in 3Q23. The Net Interest Margin (NIM) has steadily declined over the last five quarters, reaching 2.33% in 3Q24. NII ex-Markets increased sequentially to $11.96B.",quarter,7,Financial Results,Q3_2024,2024-10-15
Average Loans,"Total average loans increased to $687B in 3Q24, up 1% QoQ and 4% YoY. Both Consumer and Corporate loan portfolios saw modest growth over the past year.",quarter,7,Financial Results,Q3_2024,2024-10-15
Average Deposits,"Total average deposits were relatively stable at $1,311B in 3Q24. Corporate deposits increased 2% QoQ and 3% YoY to $845B, while Consumer deposits decreased 2% QoQ and 3% YoY to $401B.",quarter,7,Financial Results,Q3_2024,2024-10-15
U.S. Cards EOP Loans by Segment,"The composition of U.S. card loans remained stable in 3Q24, with Branded Cards accounting for 68% and Retail Services for 32%, consistent with the previous year.",quarter,8,Financial Results,Q3_2024,2024-10-15
U.S. Cards EOP Loans by FICO Score,"In 3Q24, 85% of U.S. card loans were to borrowers with FICO scores of 660 or higher, a slight decrease from 86% in the previous two quarters.",quarter,8,Financial Results,Q3_2024,2024-10-15
Corporate Lending Exposure by Region,"Corporate lending exposure in 3Q24 was primarily domestic, with 57% in the U.S. and 43% international.",quarter,8,Financial Results,Q3_2024,2024-10-15
Corporate Lending Exposure by Grade Rating,"The proportion of investment-grade (IG) corporate lending exposure decreased slightly to 81% in 3Q24, down from 82% in 2Q24 and 83% in 3Q23.",quarter,8,Financial Results,Q3_2024,2024-10-15
End of Period Assets,"Total End of Period Assets increased by 1% QoQ and 3% YoY to $2,431B in 3Q24. This was driven by a 23% QoQ increase in Cash, while Investments and Trading-Related Assets decreased.",quarter,9,Financial Results,Q3_2024,2024-10-15
End of Period Liabilities and Equity,"Total End of Period Liabilities and Equity increased by 1% QoQ and 3% YoY to $2,431B in 3Q24. Deposits increased by 2% QoQ to $1,310B and Long Term Debt increased by 7% QoQ to $299B, while Trading-Related Liabilities decreased by 5% QoQ.",quarter,9,Financial Results,Q3_2024,2024-10-15
3Q24 QoQ Standardized CET1 Capital Ratio Walk,"The Standardized CET1 Capital Ratio increased from 13.6% in 2Q24 to 13.7% in 3Q24. The increase was driven by a +27 bps impact from Net Income to Common and a +12 bps impact from Unrealized AFS Gains, which were partially offset by a -18 bps impact from Capital Distribution and a -9 bps impact from DTA, RWA & Other.",quarter,10,Financial Results,Q3_2024,2024-10-15
CET1 Standardized Regulatory Capital Requirement,"The actual CET1 Capital ratio stood at 13.7% in 3Q24, comfortably above the effective regulatory requirement of 12.3%. As of October 1, the requirement will decrease to 12.1%, mainly due to a reduction in the Stress Capital Buffer from 4.3% to 4.1%.",quarter,10,Financial Results,Q3_2024,2024-10-15
Wealth EBT Trend,"Wealth EBT increased to $368 million in 3Q24, up significantly from $281 million in 2Q24 and $164 million in 3Q23, representing a 124% year-over-year increase.",quarter,14,Financial Results,Q3_2024,2024-10-15
