row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues 2Q24,1,,Revenues increased by 4% compared to 2Q23.,20.1,,,,,,billion,5,Financial Results,Q2_2024,2024-07-12
Net Income 2Q24,2,,Net Income increased by 10% compared to 2Q23.,3.2,,,,,,billion,5,Financial Results,Q2_2024,2024-07-12
EPS 2Q24,3,,EPS increased by 14% compared to 2Q23.,1.52,,,,,,,5,Financial Results,Q2_2024,2024-07-12
RoTCE,4,,RoTCE increased from 6.4% in 2Q23 to 7.2% in 2Q24.,7.2,,6.4,,,,%,5,Financial Results,Q2_2024,2024-07-12
CET1 Capital Ratio,5,,CET1 Capital Ratio increased from 13.4% in 2Q23 to 13.6% in 2Q24.,13.6,,13.4,,,,%,5,Financial Results,Q2_2024,2024-07-12
Tangible Book Value Per Share,6,,Tangible Book Value Per Share increased by 3% compared to 2Q23.,87.53,,,,,,,5,Financial Results,Q2_2024,2024-07-12
Net Interest Income,1,,decreased by 3%,13493.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,2,decreased by 13%,increased by 20%,6646.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Total Revenues,3,decreased by 5%,increased by 4%,20139.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Expenses,4,decreased by 6%,decreased by 2%,13353.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
NCLs,5,decreased by 1%,increased by 52%,2283.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
ACL Build and Other,6,Not Meaningful (NM),decreased by 40%,193.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Credit Costs,7,increased by 5%,increased by 36%,2476.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
EBT,8,decreased by 5%,increased by 7%,4310.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Income Taxes,9,decreased by 8%,decreased by 4%,1047.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Net Income,10,decreased by 5%,increased by 10%,3217.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Net Income to Common (for diluted EPS purposes),11,decreased by 3%,increased by 14%,2962.0,,,,,,$ in MM,6,Financial Results,Q2_2024,2024-07-12
Diluted EPS,12,decreased by 4%,increased by 14%,1.52,,,,,,USD,6,Financial Results,Q2_2024,2024-07-12
Efficiency Ratio (Δ in bps),13,,,66.0,,,,,,%,6,Financial Results,Q2_2024,2024-07-12
ROE,14,,,6.3,,,,,,%,6,Financial Results,Q2_2024,2024-07-12
RoTCE,15,,,7.2,,,,,,%,6,Financial Results,Q2_2024,2024-07-12
CET1 Capital Ratio,16,,,13.6,,,,,,%,6,Financial Results,Q2_2024,2024-07-12
Restructuring,1,Restructuring costs decreased from ~$0.2B in 1Q24 to ~$0.0B in 2Q24.,,0.0,0.2,,,,,Billion USD,7,Outlook,Q2_2024,2024-07-12
