row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,Revenues decreased by 2% year-over-year.,21.1,,,,,,billion USD,5,Financial Results,Q1_2024,2024-04-12
Net Income,2,,Net Income decreased by 27% year-over-year.,3.4,,,,,,billion USD,5,Financial Results,Q1_2024,2024-04-12
EPS,3,,EPS decreased by 28% year-over-year.,1.58,,,,,,USD,5,Financial Results,Q1_2024,2024-04-12
ROTCE,4,,ROTCE decreased from 10.9% in 1Q23 to 7.6% in 1Q24.,7.6,,10.9,,,,%,5,Financial Results,Q1_2024,2024-04-12
CET1 Capital Ratio,5,,CET1 Capital Ratio increased slightly from 13.4% in 1Q23 to 13.5% in 1Q24.,13.5,,13.4,,,,%,5,Financial Results,Q1_2024,2024-04-12
Tangible Book Value Per Share,6,,Tangible Book Value Per Share increased by 3% year-over-year.,86.67,,,,,,USD,5,Financial Results,Q1_2024,2024-04-12
Net Interest Income,1,Decreased by 2% from the preceding quarter.,Increased by 1% from the same quarter last year.,13507.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Non-Interest Revenue,2,Change from the preceding quarter is not meaningful.,Decreased by 6% from the same quarter last year.,7597.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Total Revenues,3,Increased by 21% from the preceding quarter.,Decreased by 2% from the same quarter last year.,21104.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Expenses,4,Decreased by 11% from the preceding quarter.,Increased by 7% from the same quarter last year.,14195.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
NCLs,5,Increased by 15% from the preceding quarter.,Increased by 77% from the same quarter last year.,2303.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
ACL Build and Other,6,Change from the preceding quarter is not meaningful.,Change from the same quarter last year is not meaningful.,62.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Credit Costs,7,Decreased by 33% from the preceding quarter.,Increased by 20% from the same quarter last year.,2365.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
EBT,8,Change from the preceding quarter is not meaningful.,Decreased by 27% from the same quarter last year.,4544.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Income Taxes,9,Change from the preceding quarter is not meaningful.,Decreased by 26% from the same quarter last year.,1136.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Net Income,10,Change from the preceding quarter is not meaningful.,Decreased by 27% from the same quarter last year.,3371.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Net Income to Common,11,Change from the preceding quarter is not meaningful.,Decreased by 29% from the same quarter last year.,3062.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Diluted EPS,12,Change from the preceding quarter is not meaningful.,Decreased by 28% from the same quarter last year.,1.58,,,,,,USD,6,Financial Results,Q1_2024,2024-04-12
Efficiency Ratio,13,Change from the preceding quarter is not meaningful.,Increased by 530 bps from the same quarter last year.,67.0,,,,,,%,6,Financial Results,Q1_2024,2024-04-12
ROE,14,,,6.6,,,,,,%,6,Financial Results,Q1_2024,2024-04-12
RoTCE,15,,,7.6,,,,,,%,6,Financial Results,Q1_2024,2024-04-12
CET1 Capital Ratio,16,,,13.5,,,,,,%,6,Financial Results,Q1_2024,2024-04-12
Incremental FDIC special assessment related to regional bank failures from March 2023,1,,,-251.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Restructuring charges related to organizational simplification,2,,,-225.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Notable items,3,,,-476.0,,,,,,MM USD,6,Financial Results,Q1_2024,2024-04-12
Restructuring,1,,,0.2,0.8,0.0,,,,B USD,7,Financial Results,Q1_2024,2024-04-12
Repositioning,2,,,0.3,0.1,0.2,,,,B USD,7,Financial Results,Q1_2024,2024-04-12
EOP Card Loans,1,Decreased from $165B in 4Q23.,Increased from $146B in 1Q23.,159.0,165.0,146.0,,,,B USD,9,Financial Results,Q1_2024,2024-04-12
NCLs,2,Increased from $1.5B in 4Q23.,Increased from $1.0B in 1Q23.,1.8,1.5,1.0,,,,B USD,9,Financial Results,Q1_2024,2024-04-12
% of Avg Loans,3,Increased from 3.8% in 4Q23.,Increased from 2.8% in 1Q23.,4.5,3.8,2.8,,,,%,9,Financial Results,Q1_2024,2024-04-12
90+ DPD,4,Increased from 1.5% in 4Q23.,Increased from 1.1% in 1Q23.,1.6,1.5,1.1,,,,%,9,Financial Results,Q1_2024,2024-04-12
ACLL / EOP Loans,5,Increased from 7.7% in 4Q23.,Increased from 8.1% in 1Q23.,8.2,7.7,8.1,,,,%,9,Financial Results,Q1_2024,2024-04-12
EOP Corporate Loans,1,Decreased from $300B in 4Q23.,Increased from $288B in 1Q23.,293.0,300.0,288.0,,,,B USD,9,Financial Results,Q1_2024,2024-04-12
NCLs,2,Remained stable at $0.2B from 4Q23.,Increased from $0.1B in 1Q23.,0.2,0.2,0.1,,,,B USD,9,Financial Results,Q1_2024,2024-04-12
% of Avg Loans,3,Remained stable at 0.1% from 4Q23.,Increased from 0.0% in 1Q23.,0.1,0.1,0.0,,,,%,9,Financial Results,Q1_2024,2024-04-12
NALs,4,Decreased from $1.9B in 4Q23.,Increased from $1.2B in 1Q23.,1.5,1.9,1.2,,,,B USD,9,Financial Results,Q1_2024,2024-04-12
% of Loans,5,Decreased from 0.6% in 4Q23.,Increased from 0.4% in 1Q23.,0.5,0.6,0.4,,,,%,9,Financial Results,Q1_2024,2024-04-12
ACLL / EOP Loans,6,Increased from 0.9% in 4Q23.,Remained stable at 1.0% from 1Q23.,1.0,0.9,1.0,,,,%,9,Financial Results,Q1_2024,2024-04-12
CET1 Capital,1,Slightly decreased from 154B in 4Q23.,Slightly decreased from 154B in 1Q23.,153.0,154.0,154.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
Standardized RWA,2,"Decreased from 1,149B in 4Q23.","Decreased from 1,144B in 1Q23.",1137.0,1149.0,1144.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
CET1 Capital Ratio - Standardized,3,Increased from 13.4% in 4Q23.,Increased from 13.4% in 1Q23.,13.5,13.4,13.4,,,,%,10,Financial Results,Q1_2024,2024-04-12
Advanced RWA,4,"Increased from 1,269B in 4Q23.","Increased from 1,266B in 1Q23.",1278.0,1269.0,1266.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
CET1 Capital Ratio - Advanced,5,Decreased from 12.1% in 4Q23.,Decreased from 12.1% in 1Q23.,12.0,12.1,12.1,,,,%,10,Financial Results,Q1_2024,2024-04-12
Supplementary Leverage Ratio,6,Remained stable at 5.8% from 4Q23.,Decreased from 6.0% in 1Q23.,5.8,5.8,6.0,,,,%,10,Financial Results,Q1_2024,2024-04-12
Liquidity Coverage Ratio,7,Increased from 116% in 4Q23.,Decreased from 120% in 1Q23.,117.0,116.0,120.0,,,,%,10,Financial Results,Q1_2024,2024-04-12
Average HQLA,8,Decreased from 561B in 4Q23.,Decreased from 584B in 1Q23.,552.0,561.0,584.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
Total Available Liquidity Resources,9,Remained stable at 965B from 4Q23.,"Decreased from 1,033B in 1Q23.",965.0,965.0,1033.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
AFS Securities (Duration: ~2 Years),10,Decreased from $257B in 4Q23.,Increased from $240B in 1Q23.,255.0,257.0,240.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
HTM Securities (Duration: ~3 Years),11,Decreased from $254B in 4Q23.,Decreased from $264B in 1Q23.,252.0,254.0,264.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
Tangible Book Value Per Share,12,Increased from $86.19 in 4Q23.,Increased from $84.21 in 1Q23.,86.67,86.19,84.21,,,,USD,10,Financial Results,Q1_2024,2024-04-12
Corporate Deposits (EOP),13,Increased from $803B in 4Q23.,Decreased from $821B in 1Q23.,812.0,803.0,821.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
Consumer Deposits (EOP),14,Decreased from $426B in 4Q23.,Decreased from $437B in 1Q23.,423.0,426.0,437.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
All Other Deposits (EOP),15,Decreased from $80B in 4Q23.,Remained stable at $73B from 1Q23.,73.0,80.0,73.0,,,,B USD,10,Financial Results,Q1_2024,2024-04-12
Net Interest Income,1,Decreased by 6% from the preceding quarter.,Increased by 4% from the same quarter last year.,2723.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Non-Interest Revenue,2,Increased by 42% from the preceding quarter.,Increased by 9% from the same quarter last year.,793.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Treasury and Trade Solutions,3,Increased by 2% from the preceding quarter.,Increased by 5% from the same quarter last year.,3516.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Securities Services,4,Increased by 16% from the preceding quarter.,Increased by 18% from the same quarter last year.,1250.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Total Revenues,5,Increased by 6% from the preceding quarter.,Increased by 8% from the same quarter last year.,4766.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Expenses,6,Increased by 3% from the preceding quarter.,Increased by 11% from the same quarter last year.,2666.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
NCLs,7,Change is not meaningful.,,6.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
ACL Build (Release) and Other,8,Decreased by 91% from the preceding quarter.,Change is not meaningful.,58.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
Credit Costs,9,Decreased by 90% from the preceding quarter.,Change is not meaningful.,64.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
EBT,10,Increased by 60% from the preceding quarter.,Increased by 2% from the same quarter last year.,2036.0,,,,,,MM USD,12,Financial Results,Q1_2024,2024-04-12
