row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,"Revenues increased by 12% year-over-year, or 6% excluding divestitures.",21.4,,,,,,billion USD,2,Financial Results,Q1_2023,2023-04-14
Net Income,2,,"Net Income increased by 7% year-over-year, but decreased by 19% excluding divestitures.",4.6,,,,,,billion USD,2,Financial Results,Q1_2023,2023-04-14
EPS,3,,EPS increased by 8% year-over-year.,2.19,,,,,,USD,2,Financial Results,Q1_2023,2023-04-14
RoTCE,4,,RoTCE increased from 10.5% in 1Q22 to 10.9% in 1Q23.,10.9,,10.5,,,,%,2,Financial Results,Q1_2023,2023-04-14
CET1 Capital Ratio,5,,CET1 Capital Ratio increased from 11.4% in 1Q22 to 13.4% in 1Q23.,13.4,,11.4,,,,%,2,Financial Results,Q1_2023,2023-04-14
Tangible Book Value Per Share,6,,Tangible Book Value Per Share increased by 7% year-over-year.,84.21,,,,,,USD,2,Financial Results,Q1_2023,2023-04-14
Net Interest Income,1,Increased by 1% from 4Q22.,Increased by 23% from 1Q22.,13348.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Non-Interest Revenue,2,Increased by 71% from 4Q22.,Decreased by 3% from 1Q22.,8099.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Total Revenues,3,Increased by 19% from 4Q22.,Increased by 12% from 1Q22.,21447.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Expenses,4,Increased by 2% from 4Q22.,Increased by 1% from 1Q22.,13289.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
NCLs,5,Increased by 10% from 4Q22.,Increased by 49% from 1Q22.,1302.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
ACL Build and Other,6,Increased by 1% from 4Q22.,Change from 1Q22 is not meaningful.,673.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Credit Costs,7,Increased by 7% from 4Q22.,Change from 1Q22 is not meaningful.,1975.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
EBT,8,Increased by 95% from 4Q22.,Increased by 17% from 1Q22.,6183.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Income Taxes,9,Change from 4Q22 is not meaningful.,Increased by 63% from 1Q22.,1531.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Net Income,10,Increased by 83% from 4Q22.,Increased by 7% from 1Q22.,4606.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
