text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
Earnings Results Presentation for the Third Quarter of 2024.,quarter,1,Title,Q3_2024,2024-10-15
"Our Vision is to be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management, and a valued personal bank in our home market.",quarter,2,Vision,Q3_2024,2024-10-15
"The company is focused on delivering on its Investor Day priorities through four key elements of strategy: Transformation, Investment for Growth, Simplification, and Culture and Talent.",quarter,2,Vision,Q3_2024,2024-10-15
"Transformation priorities include relentless execution, regulatory remediation, modernizing infrastructure, and data enhancements.",quarter,2,Vision,Q3_2024,2024-10-15
"Investment for Growth priorities include maximizing the unique global network, growing the Commercial Banking client segment, scaling Wealth, and targeting share gains in Banking, Markets, and U.S. Personal Banking.",quarter,2,Vision,Q3_2024,2024-10-15
"Simplification priorities include focusing on five core interconnected businesses, exiting 14 international consumer markets, and simplifying the organization and management structure.",quarter,2,Vision,Q3_2024,2024-10-15
"Culture and Talent priorities include building a winning culture, investing in talent, and delivering One Citi.",quarter,2,Vision,Q3_2024,2024-10-15
"Transformation: Closed the 2013 BSA/AML Consent Order with the FRB, retired approximately 450 legacy applications, launched a new strategic Operations capacity planning tool, and continued the roll out of the strategic loan servicing platform.",quarter,3,Vision,Q3_2024,2024-10-15
"Strategic Execution: Achieved a record quarter in Services, saw Markets momentum driven by strength in Equities, gained overall Investment Banking share, and experienced strong growth in Wealth client investment assets.",quarter,3,Vision,Q3_2024,2024-10-15
"Progress on divestitures: On track with the separation of banks in Mexico in 4Q24 and wind-downs are ahead of schedule in Korea, China, and Russia.",quarter,3,Vision,Q3_2024,2024-10-15
"Organization, Culture and Talent: Hired Achintya Mangla as Head of Financing for Investment Banking, made several significant hires in Wealth, and launched employee development programs like Resources@Citi and Development 365.",quarter,3,Vision,Q3_2024,2024-10-15
"Executing with excellence across all priorities to unlock the value of Citi through driving revenue growth, disciplined expense management, maintaining robust capital and liquidity, and improving returns over the medium-term.",quarter,3,Vision,Q3_2024,2024-10-15
Returned ~$2.1 billion in capital to common shareholders through dividends and share buybacks.,quarter,4,Financial Results,Q3_2024,2024-10-15
Services: Achieved positive operating leverage and continued momentum with gained share across TTS and Securities Services.,quarter,4,Financial Results,Q3_2024,2024-10-15
Markets: Achieved positive operating leverage with strength in Equities (up 32% YoY) and strong performance in Spread Products (up 5% YoY).,quarter,4,Financial Results,Q3_2024,2024-10-15
"Banking: Showed positive operating leverage and continued share gains of a recovering IB wallet, with DCM Fees up 75% YoY.",quarter,4,Financial Results,Q3_2024,2024-10-15
"Wealth: Demonstrated positive operating leverage with NIR up 15% YoY and NII up 6% YoY, driven by higher investment fee revenue and client asset growth.",quarter,4,Financial Results,Q3_2024,2024-10-15
USPB: Attained positive operating leverage with revenue growth of 3% YoY and an efficiency ratio below 50%.,quarter,4,Financial Results,Q3_2024,2024-10-15
"Revenues were up 1% YoY to $20.3 billion. Excluding divestiture-related impacts, revenues were up 3% YoY, driven by growth across each business.",quarter,5,Financial Results,Q3_2024,2024-10-15
"Expenses were down 2% YoY to $13.3 billion, primarily driven by savings from organizational simplification and stranded cost reductions.",quarter,5,Financial Results,Q3_2024,2024-10-15
"Credit Costs were $2.7 billion, largely driven by net credit losses in cards and ACL builds for portfolio growth.",quarter,5,Financial Results,Q3_2024,2024-10-15
"At quarter-end, Citi had over $22 billion in total reserves with a reserve-to-funded loans ratio of approximately 2.7%.",quarter,5,Financial Results,Q3_2024,2024-10-15
"Net Income was $3.2 billion, down 9% YoY, primarily due to higher cost of credit, partially offset by higher revenues and lower expenses.",quarter,5,Financial Results,Q3_2024,2024-10-15
"Transformation investments are driving expenses to modernize infrastructure, automate manual processes, and enhance data analytics.",quarter,6,Financial Results,Q3_2024,2024-10-15
"Business-led investments in product innovation, front office talent, and technology platforms are aimed at driving revenue growth.",quarter,6,Financial Results,Q3_2024,2024-10-15
"Volume-related expenses are driven by marketing, transaction-related costs, and incentive compensation tied to revenue growth.",quarter,6,Financial Results,Q3_2024,2024-10-15
"Structural and other expenses are driven by investments in risk and control, technology (including cyber and cloud), and macro factors like inflation, offset by benefits from organizational simplification.",quarter,6,Financial Results,Q3_2024,2024-10-15
"Citi expects FY24 expenses to be in line with previous guidance of $53.5B-$53.8B (ex-FDIC special assessment and Civil Money Penalties), likely at the higher end.",quarter,6,Financial Results,Q3_2024,2024-10-15
Total End of Period (EOP) Consumer Loans stood at $389 billion.,quarter,8,Financial Results,Q3_2024,2024-10-15
Total Corporate Lending Exposure amounted to $733 billion.,quarter,8,Financial Results,Q3_2024,2024-10-15
"The CET1 Capital ratio of 13.7% in 3Q24 was driven by strength in earnings and unrealized AFS gains, mostly offset by capital distribution and an increase in RWA.",quarter,10,Financial Results,Q3_2024,2024-10-15
"Citi remains well capitalized with a CET1 Capital ratio of 13.7%, which is approximately 140bps above the 3Q24 regulatory capital requirement and includes a 100bps management buffer.",quarter,10,Financial Results,Q3_2024,2024-10-15
"The regulatory capital requirement decreased to 12.1% as of October 1, 2024, driven by a reduction in the Stress Capital Buffer from 4.3% to 4.1%.",quarter,10,Financial Results,Q3_2024,2024-10-15
"Revenues up 8% YoY, reflecting continued momentum across Securities Services and TTS.",quarter,11,Financial Results,Q3_2024,2024-10-15
"NII was roughly flat, as higher deposit volumes were offset by a decline in interest rates in Argentina.",quarter,11,Financial Results,Q3_2024,2024-10-15
"NIR increased 33%, driven by a smaller impact from currency devaluation in Argentina and continued strength in underlying fee drivers. Excluding the peso devaluation, NIR increased 11%.",quarter,11,Financial Results,Q3_2024,2024-10-15
"Expenses up 3% YoY, driven by investments in technology, risk controls, and product innovation, resulting in positive operating leverage.",quarter,11,Financial Results,Q3_2024,2024-10-15
"Credit Costs were $127 million, driven by a net ACL build of $113 million.",quarter,11,Financial Results,Q3_2024,2024-10-15
Net Income of $1.7 billion was up 23% YoY.,quarter,11,Financial Results,Q3_2024,2024-10-15
RoTCE was 26.4%; Year-to-date RoTCE was 24.7%.,quarter,11,Financial Results,Q3_2024,2024-10-15
"Revenues up 1% YoY, driven by growth in Equity markets, partially offset by a decline in Fixed Income markets.",quarter,12,Financial Results,Q3_2024,2024-10-15
"Equity markets revenues increased 32% YoY, driven by momentum in Prime, growth in Derivatives and higher Cash volumes. Prime balances were up 22% YoY.",quarter,12,Financial Results,Q3_2024,2024-10-15
"Fixed Income markets revenues decreased (6)% YoY, driven by Rates and Currencies down (10)% YoY, partially offset by Spread Products and Other Fixed Income up 5% YoY.",quarter,12,Financial Results,Q3_2024,2024-10-15
"Expenses up 1% YoY, primarily due to higher volume related expenses, resulting in positive operating leverage.",quarter,12,Financial Results,Q3_2024,2024-10-15
"Credit Costs were $141 million, driven by an ACL build of $117 million, primarily related to portfolio mix in Spread Products.",quarter,12,Financial Results,Q3_2024,2024-10-15
"Net Income was $1.1 billion, up 2% YoY.",quarter,12,Financial Results,Q3_2024,2024-10-15
RoTCE of 7.9%; Year-to-date RoTCE of 9.7%.,quarter,12,Financial Results,Q3_2024,2024-10-15
"Revenues were up 16% YoY, largely driven by growth in Investment Banking.",quarter,13,Financial Results,Q3_2024,2024-10-15
"Investment Banking revenues were up 31% and fees were up 44%, with increases across DCM, Advisory and ECM.",quarter,13,Financial Results,Q3_2024,2024-10-15
