text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Our Vision is to be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management, and a valued personal bank in our home market.",quarter,2,Vision,Q2_2024,2024-07-12
"We are delivering on our Investor Day priorities through four elements of our strategy: Transformation, Investment for Growth, Simplification, and Culture and Talent.",quarter,2,Vision,Q2_2024,2024-07-12
"Transformation focuses on relentless execution, regulatory remediation, modernizing infrastructure, and data enhancements.",quarter,2,Vision,Q2_2024,2024-07-12
"Investing for Growth involves maximizing our global network, growing the Commercial Banking client sector, scaling Wealth, and targeting share gains in Banking, Markets, and U.S. Personal Banking.",quarter,2,Vision,Q2_2024,2024-07-12
"Simplification includes focusing on five core interconnected businesses, exiting 14 international consumer markets, and simplifying the organizational structure.",quarter,2,Vision,Q2_2024,2024-07-12
"Culture and Talent is centered on building a winning culture, investing in talent, and delivering One Citi.",quarter,2,Vision,Q2_2024,2024-07-12
The Federal Reserve Board (FRB) issued a civil money penalty of $60.6 million to Citigroup Inc. for delays in its data quality management program and inadequate controls.,quarter,3,Financial Results,Q2_2024,2024-07-12
"The Office of the Comptroller of the Currency (OCC) issued a $75.0 million civil money penalty to Citibank, N.A. (CBNA) for being behind on its data quality management for regulatory reporting.",quarter,3,Financial Results,Q2_2024,2024-07-12
"The OCC amended CBNA's 2020 Consent Order, requiring a ""Resource Review Plan"" to ensure sufficient resources are allocated towards achieving compliance.",quarter,3,Financial Results,Q2_2024,2024-07-12
"While the plan is being finalized, CBNA's intercompany dividend payments to Citigroup beyond a certain threshold will require no objection from the OCC.",quarter,3,Financial Results,Q2_2024,2024-07-12
Citigroup (Parent) has no restrictions on paying common dividends or repurchasing common stock.,quarter,3,Financial Results,Q2_2024,2024-07-12
There are no restrictions on intercompany dividends paid to Citigroup by other operating entities.,quarter,3,Financial Results,Q2_2024,2024-07-12
"Transformation highlights include simplifying technology by retiring almost 300 applications YTD, rolling out a strategic loan servicing platform, and implementing the T+1 Settlement Cycle.",quarter,4,Financial Results,Q2_2024,2024-07-12
"Strategic Execution showed continued momentum in Services, strong performance in Markets, wallet share gains in Banking, and accelerated investment revenue growth in Wealth.",quarter,4,Financial Results,Q2_2024,2024-07-12
"Progress on divestitures includes the completion of the sale of China portfolios, essentially finalizing the exit of consumer banking in China, with wind-downs in Korea and Russia ahead of schedule.",quarter,4,Financial Results,Q2_2024,2024-07-12
