row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,Revenues increased by 1% YoY.,20.3,,,,,,billion USD,4,Financial Results,Q3_2024,2024-10-15
Net Income,2,,Net Income decreased by 9% YoY.,3.2,,,,,,billion USD,4,Financial Results,Q3_2024,2024-10-15
EPS,3,,EPS decreased by 7% YoY.,1.51,,,,,,USD,4,Financial Results,Q3_2024,2024-10-15
RoTCE,4,,RoTCE decreased from 7.7% in 3Q23 to 7.0% in 3Q24.,7.0,,7.7,,,,%,4,Financial Results,Q3_2024,2024-10-15
CET1 Capital Ratio,5,,CET1 Capital Ratio increased slightly from 13.6% in 3Q23 to 13.7% in 3Q24.,13.7,,13.6,,,,%,4,Financial Results,Q3_2024,2024-10-15
Tangible Book Value Per Share,6,,Tangible Book Value Per Share increased by 3% YoY.,89.67,,,,,,USD,4,Financial Results,Q3_2024,2024-10-15
Net Interest Income,1,Net Interest Income decreased by 1% from the preceding quarter.,Net Interest Income decreased by 3% from the same quarter last year.,13362.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Non-Interest Revenue,2,Non-Interest Revenue increased by 5% from the preceding quarter.,Non-Interest Revenue increased by 10% from the same quarter last year.,6953.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Total Revenues,3,Total Revenues increased by 1% from the preceding quarter.,Total Revenues increased by 1% from the same quarter last year.,20315.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Expenses,4,Expenses decreased by 1% from the preceding quarter.,Expenses decreased by 2% from the same quarter last year.,13250.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
NCLs,5,NCLs decreased by 5% from the preceding quarter.,NCLs increased by 33% from the same quarter last year.,2172.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
ACL Build and Other,6,,,503.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Credit Costs,7,Credit Costs increased by 8% from the preceding quarter.,Credit Costs increased by 45% from the same quarter last year.,2675.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
EBT,8,EBT increased by 2% from the preceding quarter.,EBT decreased by 8% from the same quarter last year.,4390.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Income Taxes,9,Income Taxes increased by 7% from the preceding quarter.,Income Taxes decreased by 7% from the same quarter last year.,1116.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Net Income,10,Net Income increased by 1% from the preceding quarter.,Net Income decreased by 9% from the same quarter last year.,3238.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Net Income to Common,11,Net Income to Common decreased by 1% from the preceding quarter.,Net Income to Common decreased by 8% from the same quarter last year.,2925.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
Diluted EPS,12,Diluted EPS decreased by 1% from the preceding quarter.,Diluted EPS decreased by 7% from the same quarter last year.,1.51,,,,,,USD,5,Financial Results,Q3_2024,2024-10-15
Efficiency Ratio,13,Efficiency Ratio improved by 110 bps from the preceding quarter.,Efficiency Ratio improved by 190 bps from the same quarter last year.,65.0,,,,,,%,5,Financial Results,Q3_2024,2024-10-15
ROE,14,,,6.2,,,,,,%,5,Financial Results,Q3_2024,2024-10-15
ROTCE,15,,,7.0,,,,,,%,5,Financial Results,Q3_2024,2024-10-15
CET1 Capital Ratio,16,,,13.7,,,,,,%,5,Financial Results,Q3_2024,2024-10-15
NII ex-Markets,17,NII ex-Markets increased by 4% from the preceding quarter.,NII ex-Markets decreased by 1% from the same quarter last year.,11957.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
NIR ex-Markets,18,NIR ex-Markets decreased by 2% from the preceding quarter.,NIR ex-Markets increased by 9% from the same quarter last year.,3541.0,,,,,,MM USD,5,Financial Results,Q3_2024,2024-10-15
EOP Card Loans,1,EOP Card Loans remained flat at $164B compared to the preceding quarter.,EOP Card Loans increased from $156B in the same quarter last year.,164.0,164.0,156.0,,,,B USD,8,Financial Results,Q3_2024,2024-10-15
NCLs,2,NCLs decreased from $1.9B in the preceding quarter.,NCLs increased from $1.3B in the same quarter last year.,1.8,1.9,1.3,,,,B USD,8,Financial Results,Q3_2024,2024-10-15
% of Average Loans,3,The percentage of average loans as NCLs decreased from 4.7% in the preceding quarter.,The percentage of average loans as NCLs increased from 3.3% in the same quarter last year.,4.4,4.7,3.3,,,,%,8,Financial Results,Q3_2024,2024-10-15
90+ Days Past Due (DPD),4,90+ DPD remained flat at 1.5% compared to the preceding quarter.,90+ DPD increased from 1.3% in the same quarter last year.,1.5,1.5,1.3,,,,%,8,Financial Results,Q3_2024,2024-10-15
ACLL / EOP Loans,5,ACLL / EOP Loans increased slightly from 8.1% in the preceding quarter.,ACLL / EOP Loans increased from 7.8% in the same quarter last year.,8.2,8.1,7.8,,,,%,8,Financial Results,Q3_2024,2024-10-15
EOP Corporate Loans,1,EOP Corporate Loans decreased slightly from $302B in the preceding quarter.,EOP Corporate Loans increased from $289B in the same quarter last year.,300.0,302.0,289.0,,,,B USD,8,Financial Results,Q3_2024,2024-10-15
NCLs,2,NCLs remained flat at $0.1B compared to the preceding quarter and the same quarter last year.,NCLs remained flat at $0.1B compared to the preceding quarter and the same quarter last year.,0.1,0.1,0.1,,,,B USD,8,Financial Results,Q3_2024,2024-10-15
% of Average Loans,3,The percentage of average loans as NCLs remained flat at 0.1% compared to the preceding quarter and the same quarter last year.,The percentage of average loans as NCLs remained flat at 0.1% compared to the preceding quarter and the same quarter last year.,0.1,0.1,0.1,,,,%,8,Financial Results,Q3_2024,2024-10-15
NALs,4,NALs decreased from $1.0B in the preceding quarter.,NALs decreased significantly from $2.0B in the same quarter last year.,0.9,1.0,2.0,,,,B USD,8,Financial Results,Q3_2024,2024-10-15
% of Loans,5,The percentage of loans as NALs remained flat at 0.3% compared to the preceding quarter.,The percentage of loans as NALs decreased from 0.7% in the same quarter last year.,0.3,0.3,0.7,,,,%,8,Financial Results,Q3_2024,2024-10-15
ACLL / EOP Loans,6,ACLL / EOP Loans increased from 0.8% in the preceding quarter.,ACLL / EOP Loans decreased from 1.0% in the same quarter last year.,0.9,0.8,1.0,,,,%,8,Financial Results,Q3_2024,2024-10-15
CET1 Capital,1,,,158.0,154.0,156.0,,,,B USD,9,Financial Results,Q3_2024,2024-10-15
Standardized RWA,2,,,1153.0,1136.0,1149.0,,,,B USD,9,Financial Results,Q3_2024,2024-10-15
CET1 Capital Ratio - Standardized,3,,,13.7,13.6,13.6,,,,%,9,Financial Results,Q3_2024,2024-10-15
Advanced RWA,4,,,1297.0,1269.0,1250.0,,,,B USD,9,Financial Results,Q3_2024,2024-10-15
CET1 Capital Ratio - Advanced,5,,,12.2,12.2,12.5,,,,%,9,Financial Results,Q3_2024,2024-10-15
Supplementary Leverage Ratio,1,,,5.8,5.9,6.0,,,,%,9,Financial Results,Q3_2024,2024-10-15
Liquidity Coverage Ratio,1,,,117.0,117.0,117.0,,,,%,9,Financial Results,Q3_2024,2024-10-15
Average HQLA,2,,,551.0,542.0,569.0,,,,B USD,9,Financial Results,Q3_2024,2024-10-15
Total Available Liquidity Resources,3,,,959.0,899.0,937.0,,,,B USD,9,Financial Results,Q3_2024,2024-10-15
